nuts,April Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,60.331673
DE60,58.278847
DE71,63.819725
DE72,64.98379
DE73,63.7586
DE80,49.010284
DE91,59.325912
BG41,87.42592
BG42,76.206856
CH01,134.54575
AT32,117.30831
AT33,118.233536
AT34,123.88481
BE10,59.04464
BE23,60.835842
BE24,60.768566
BE25,58.54535
BE31,61.644417
BE32,63.66311
BE33,71.857704
BE34,77.7901
BE35,72.33907
BG31,78.61681
BG32,72.28268
BG33,62.584534
BG34,68.6036
DE92,60.975437
DE93,57.499283
DE94,57.8349
CZ07,63.598484
CZ08,70.49481
AL01,138.55191
AL02,111.77411
AL03,92.40892
AT11,58.263973
AT12,65.24888
AT13,54.078606
AT21,101.08006
AT22,90.82136
AT31,94.272316
DK05,50.46389
BE21,60.174488
BE22,62.507236
ES43,59.78473
ES51,69.09366
ES52,44.121326
ES53,32.010033
ES61,55.188225
ES62,33.176384
ES63,50.242397
ES64,33.97613
CH02,126.01934
CH03,107.93274
CH04,107.491425
CH05,120.172195
CH06,136.91649
CH07,163.96921
CY00,21.898678
CZ01,51.249653
CZ02,53.652737
CZ03,63.655037
CZ04,59.291683
CZ05,59.941135
CZ06,52.8058
DE40,48.25489
EL53,75.045044
EL54,92.273834
EL61,57.545677
EL62,58.027866
EL63,75.56249
ES70,0.547192
ITC1,137.48773
ITC2,139.06418
DE11,75.573746
DE12,77.58808
DE13,94.63337
DE14,93.00263
DE21,93.8095
DE22,72.379845
DE23,67.546486
DE24,65.29346
DE25,64.934105
DE26,65.65928
DE27,99.12573
DE30,47.23554
EL42,24.463924
LV00,50.915146
ME00,141.02872
MK00,79.87805
MT00,18.707617
NL11,56.060143
NL12,50.832874
EL64,52.569736
EL65,43.24451
ES11,129.12294
ES12,129.45534
ES13,108.23435
ES21,107.833626
ES22,95.84219
ES23,75.320946
ES24,63.84182
ES30,57.57213
IE05,79.76153
IE06,72.02096
IS00,101.96036
ITC3,107.23371
FI19,40.93345
FI1B,38.821182
FI1C,39.101162
DEA1,63.991493
DEA2,73.07497
DEA3,59.803047
DEA4,65.5561
DEA5,73.43365
DEB1,68.72944
DEB2,71.77528
DEB3,65.58967
DEC0,74.45849
DED2,59.560616
DED4,66.39702
DED5,52.776684
DEE0,51.075874
DEF0,52.454098
DEG0,61.642944
DK01,42.21318
DK02,40.903908
DK03,48.15778
DK04,49.891563
ES41,73.913086
ES42,58.730045
HU23,60.26138
HU31,58.043236
HU32,61.48699
HU33,59.15682
IE04,84.2558
EE00,42.98813
EL30,27.74066
EL41,40.90687
EL43,28.584757
EL51,66.24871
EL52,61.963196
FI20,34.9018
FR10,65.46866
FRB0,71.714966
FRC1,90.68791
FRC2,112.18616
FRD1,70.79741
FRD2,68.63783
FRE1,63.444374
FRE2,66.61411
FRF1,86.02699
NL13,55.30998
NL21,58.080624
NL22,58.83157
NL23,58.420685
NL31,59.899944
NL32,52.71698
ITG2,58.096577
ITH1,100.03768
ITH2,121.138954
FRI3,77.35145
FRJ1,92.575325
FRJ2,111.68675
FRK1,106.01039
FRK2,115.568405
FRL0,91.70144
FRM0,68.248405
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,58.061787
TR32,55.407322
TR33,61.0473
HR03,111.490295
HR02,77.90241
HU11,52.219383
HU12,54.44914
HU21,55.989773
HU22,55.946033
PT16,82.33864
PT17,57.15746
FRF2,77.10867
FRF3,81.06791
FRG0,67.37043
FRH0,73.33829
FRI1,104.17057
FRI2,107.956635
ITC4,111.040474
ITF1,89.35456
ITF2,78.32807
ITF3,88.569786
ITF4,51.469505
ITF5,65.944115
ITF6,68.92855
ITG1,45.870674
LT01,56.079735
LT02,53.28915
LU00,75.34002
PL22,68.170135
PL41,47.741463
PL42,50.934185
PT18,59.14357
PT20,0.0
PT30,0.0
RO11,94.344215
RO12,98.796814
RO21,77.84033
RO22,59.132267
RO31,73.99999
RO32,70.41756
ITH3,103.08057
ITH4,133.58508
ITH5,90.55856
ITI1,88.32552
ITI2,91.90471
ITI3,79.28818
ITI4,93.24943
LI00,132.11414
FI1D,38.992832
TR82,90.214745
TR83,87.83059
TR90,114.51444
TRA1,80.43684
TRA2,2.627261
PL43,51.721813
PL51,56.01868
PL52,56.942604
PL61,47.909206
PL62,50.60578
PL63,48.697186
PL71,52.68534
PL72,59.89875
PL81,60.34407
PL82,73.0489
PL84,57.158913
PL91,56.77564
PL92,55.05881
PT11,106.44824
PT15,52.78978
TRB1,103.820145
TRB2,7.6758447
TRC1,63.067753
RS12,61.33053
RS21,86.88047
RS22,78.605484
SE11,39.88442
SE12,46.030304
NL33,58.031242
NL34,57.006058
NL41,60.40221
NL42,61.77729
PL21,76.57393
UKM6,88.11425
TR22,62.64829
TRC2,69.08403
TRC3,14.228636
UKC1,67.30319
UKC2,65.63857
UKD1,79.60769
UKD3,79.211586
UKD4,81.9163
UKD6,71.45384
UKD7,74.618355
UKE1,59.817413
UKE2,70.40238
UKE3,66.49225
RO41,79.79498
RO42,86.92901
RS11,68.59873
TR41,65.057434
TR42,81.22561
TR51,58.17472
TR52,51.65954
TR61,66.62105
TR62,76.44994
TR63,76.32813
TR71,60.40176
TR72,83.11207
TR81,93.09042
UKK1,65.39702
UKK2,67.73324
UKK3,72.45933
UKK4,72.375694
UKL1,79.428764
UKL2,77.205826
UKM5,67.87846
UKM7,75.78938
UKM8,85.586174
UKM9,76.876236
UKN0,75.29631
SE21,44.59955
SE22,45.679993
SE23,53.00563
SE31,49.235065
SE32,51.65501
