nuts,Autumn Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,208.17232
DE60,225.31613
DE71,221.30287
DE72,223.82645
DE73,217.07993
DE80,180.85742
DE91,194.75496
BG41,172.51555
BG42,168.05736
CH01,405.11258
AT32,370.51505
AT33,365.2032
AT34,378.52307
BE10,196.67645
BE23,204.84726
BE24,198.71626
BE25,224.36482
BE31,198.4768
BE32,206.58273
BE33,229.30498
BE34,245.10834
BE35,222.26157
BG31,153.57954
BG32,156.33669
BG33,158.24269
BG34,169.16478
DE92,203.24753
DE93,204.38347
DE94,230.17917
CZ07,203.66074
CZ08,216.46344
AL01,439.5162
AL02,340.1447
AL03,359.66217
AT11,219.61166
AT12,218.89108
AT13,197.13823
AT21,369.90143
AT22,297.21576
AT31,292.89072
DK05,263.40088
BE21,203.58058
BE22,207.76152
ES43,158.8531
ES51,233.45021
ES52,163.72726
ES53,161.51323
ES61,131.25583
ES62,113.31529
ES63,157.48468
ES64,88.06523
CH02,375.68927
CH03,333.43326
CH04,323.68787
CH05,364.27753
CH06,418.30023
CH07,492.2916
CY00,76.371216
CZ01,166.83511
CZ02,178.08994
CZ03,198.93074
CZ04,190.16296
CZ05,202.3029
CZ06,182.73485
DE40,164.94931
EL53,191.33615
EL54,386.99863
EL61,213.4683
EL62,427.90018
EL63,307.713
ES70,2.9789827
ITC1,397.32947
ITC2,399.70795
DE11,239.68274
DE12,250.679
DE13,288.09354
DE14,276.75708
DE21,291.25815
DE22,233.98135
DE23,225.0494
DE24,225.85413
DE25,222.89923
DE26,221.62126
DE27,285.5219
DE30,160.23773
EL42,103.05592
LV00,214.5053
ME00,489.7858
MK00,198.00404
MT00,170.88843
NL11,245.85814
NL12,293.61447
EL64,177.19788
EL65,163.02388
ES11,315.4229
ES12,317.79736
ES13,273.14594
ES21,269.12222
ES22,226.23924
ES23,165.35033
ES24,171.88689
ES30,139.89796
IE05,300.7255
IE06,252.91942
IS00,459.88956
ITC3,392.75143
FI19,212.23732
FI1B,241.57843
FI1C,228.13693
DEA1,225.9523
DEA2,236.13367
DEA3,218.52872
DEA4,213.9997
DEA5,249.89487
DEB1,224.75452
DEB2,231.95944
DEB3,218.75085
DEC0,249.2017
DED2,196.7445
DED4,212.6174
DED5,180.10196
DEE0,171.43207
DEF0,232.2842
DEG0,199.45169
DK01,227.96646
DK02,217.80652
DK03,244.49632
DK04,253.90884
ES41,163.497
ES42,137.03198
HU23,208.83252
HU31,179.79169
HU32,181.34848
HU33,177.4882
IE04,358.6042
EE00,229.27467
EL30,101.46912
EL41,146.5538
EL43,101.71323
EL51,181.28503
EL52,196.87834
FI20,231.28593
FR10,191.45374
FRB0,207.40802
FRC1,264.7354
FRC2,350.14047
FRD1,238.33824
FRD2,218.89731
FRE1,225.87204
FRE2,202.90862
FRF1,280.45346
NL13,215.2797
NL21,216.46852
NL22,208.99648
NL23,239.30345
NL31,220.33093
NL32,294.86472
ITG2,175.70155
ITH1,322.13174
ITH2,374.0741
FRI3,222.0513
FRJ1,314.80215
FRJ2,256.01938
FRK1,265.36884
FRK2,341.4314
FRL0,274.9603
FRM0,248.05841
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,177.01718
TR32,149.18932
TR33,111.727776
HR03,464.3708
HR02,259.36694
HU11,183.40503
HU12,185.89192
HU21,198.15642
HU22,210.95734
PT16,218.55368
PT17,165.0075
FRF2,243.82574
FRF3,268.14047
FRG0,202.14175
FRH0,230.95134
FRI1,258.28403
FRI2,284.6954
ITC4,362.61655
ITF1,266.91223
