nuts,Summer Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,254.63235
DE60,262.21762
DE71,215.1467
DE72,226.14812
DE73,235.37215
DE80,236.63837
DE91,246.94366
BG41,184.83794
BG42,163.70384
CH01,430.4273
AT32,560.08905
AT33,566.83905
AT34,546.42175
BE10,206.91614
BE23,194.0485
BE24,213.93692
BE25,184.10683
BE31,213.68489
BE32,195.4225
BE33,250.59897
BE34,229.42545
BE35,229.7851
BG31,193.70383
BG32,189.4475
BG33,159.68546
BG34,142.7392
DE92,232.30554
DE93,256.0007
DE94,252.3846
CZ07,299.69296
CZ08,324.85187
AL01,123.09389
AL02,84.2685
AL03,67.19091
AT11,270.12137
AT12,333.11765
AT13,275.49603
AT21,433.42508
AT22,426.35126
AT31,432.74127
DK05,209.15327
BE21,212.67554
BE22,226.94693
ES43,22.881756
ES51,122.611855
ES52,50.384037
ES53,23.8322
ES61,18.887499
ES62,24.208286
ES63,16.471413
ES64,14.42826
CH02,473.5197
CH03,429.1457
CH04,415.47964
CH05,475.05994
CH06,579.7229
CH07,454.46564
CY00,3.9422371
CZ01,250.96504
CZ02,264.8348
CZ03,311.39413
CZ04,270.4482
CZ05,293.02097
CZ06,281.28128
DE40,233.74223
EL53,72.42338
EL54,55.706745
EL61,59.55194
EL62,25.7719
EL63,40.874542
ES70,0.73013616
ITC1,304.81555
ITC2,355.32684
DE11,255.21948
DE12,255.31073
DE13,319.3495
DE14,379.94843
DE21,444.49524
DE22,325.07565
DE23,283.54404
DE24,257.87375
DE25,250.28186
DE26,228.38742
DE27,443.19894
DE30,227.36191
EL42,2.0903125
LV00,282.24963
ME00,161.13387
MK00,110.74
MT00,4.84407
NL11,267.30234
NL12,255.13133
EL64,40.93016
EL65,21.283018
ES11,93.96135
ES12,169.73247
ES13,159.16382
ES21,147.7994
ES22,133.89355
ES23,110.50964
ES24,103.16153
ES30,42.045097
IE05,215.1207
IE06,219.33904
IS00,287.75583
ITC3,140.1434
FI19,282.00983
FI1B,240.58942
FI1C,261.7014
DEA1,239.09601
DEA2,248.12402
DEA3,237.42076
DEA4,242.74054
DEA5,268.86096
DEB1,216.00009
DEB2,213.25069
DEB3,206.63124
DEC0,204.84918
DED2,276.76373
DED4,288.2981
DED5,222.2788
DEE0,233.01141
DEF0,246.30528
DEG0,241.39827
DK01,228.45059
DK02,211.9763
DK03,231.38802
DK04,230.89372
ES41,73.234505
ES42,42.059605
HU23,199.3482
HU31,212.0134
HU32,211.28616
HU33,186.26532
IE04,271.15656
EE00,283.15063
EL30,9.120376
EL41,8.373399
EL43,7.0487857
EL51,94.20194
EL52,87.95634
FI20,199.95728
FR10,160.62872
FRB0,151.33395
FRC1,194.5747
FRC2,298.57632
FRD1,153.9024
FRD2,168.93541
FRE1,174.32942
FRE2,175.45398
FRF1,272.5623
NL13,260.52606
NL21,252.36563
NL22,235.90765
NL23,247.23625
NL31,227.9712
NL32,236.21333
ITG2,28.834484
ITH1,456.69107
ITH2,435.22055
FRI3,124.46846
FRJ1,133.71617
FRJ2,188.08594
FRK1,201.15427
FRK2,245.3035
FRL0,120.24337
FRM0,47.97602
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,16.905107
TR32,18.213991
TR33,35.040672
HR03,148.17378
HR02,219.70482
HU11,177.69177
HU12,184.73502
HU21,193.89888
HU22,227.6714
PT16,34.268345
PT17,14.271016
FRF2,196.21002
FRF3,223.87198
FRG0,115.10461
FRH0,125.821594
FRI1,160.39525
FRI2,187.17273
ITC4,296.3005
ITF1,124.53812
ITF2,96.762184
ITF3,60.773388
ITF4,51.05342
ITF5,62.991753
ITF6,50.75983
ITG1,21.125597
LT01,278.95135
LT02,267.4803
LU00,208.44681
PL22,313.15915
PL41,256.93878
PL42,265.16092
PT18,16.183372
PT20,0.0
PT30,0.0
RO11,325.1764
RO12,330.32224
RO21,279.8932
RO22,183.73485
RO31,231.70715
RO32,214.99066
ITH3,323.5295
ITH4,369.8112
ITH5,162.7276
ITI1,96.13997
ITI2,107.200386
ITI3,123.21444
ITI4,90.943054
LI00,618.96655
FI1D,291.16687
TR82,108.37822
