nuts,February Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,55.954464
DE60,57.146816
DE71,66.91378
DE72,67.21836
DE73,66.71633
DE80,48.78954
DE91,57.839184
BG41,67.16624
BG42,66.94671
CH01,130.93893
AT32,104.772354
AT33,99.87252
AT34,113.58871
BE10,61.595604
BE23,59.06834
BE24,64.14612
BE25,58.2432
BE31,66.95683
BE32,66.25041
BE33,83.98585
BE34,82.26091
BE35,77.702
BG31,57.489864
BG32,56.1686
BG33,57.041874
BG34,64.65843
DE92,58.827724
DE93,56.049862
DE94,57.95149
CZ07,54.92077
CZ08,57.747208
AL01,163.26323
AL02,120.434845
AL03,117.53672
AT11,51.546993
AT12,59.4795
AT13,53.33394
AT21,72.202896
AT22,75.17433
AT31,86.6082
DK05,52.635387
BE21,62.19376
BE22,70.80709
ES43,59.5093
ES51,48.427998
ES52,29.875381
ES53,36.134964
ES61,52.04471
ES62,23.506046
ES63,63.609978
ES64,29.272594
CH02,116.486755
CH03,89.90976
CH04,90.97512
CH05,94.551895
CH06,117.67172
CH07,98.08192
CY00,53.722633
CZ01,40.52736
CZ02,43.919373
CZ03,55.125175
CZ04,52.49414
CZ05,54.06357
CZ06,47.4185
DE40,47.99892
EL53,86.30712
EL54,143.72353
EL61,99.96576
EL62,144.27402
EL63,132.34671
ES70,0.8329692
ITC1,88.489815
ITC2,107.57957
DE11,72.96586
DE12,80.13809
DE13,88.64989
DE14,82.089195
DE21,82.917625
DE22,70.19277
DE23,65.919426
DE24,69.24473
DE25,65.93422
DE26,68.15458
DE27,88.11821
DE30,48.14628
EL42,76.70492
LV00,45.27733
ME00,164.40062
MK00,77.71216
MT00,49.460285
NL11,56.8118
NL12,60.665333
EL64,92.65373
EL65,86.883255
ES11,126.6624
ES12,113.53823
ES13,102.74866
ES21,103.64423
ES22,82.15601
ES23,59.29784
ES24,46.235256
ES30,46.778694
IE05,91.83509
IE06,74.1216
IS00,139.44342
ITC3,86.694435
FI19,36.838463
FI1B,44.839344
FI1C,41.84778
DEA1,72.12193
DEA2,80.476974
DEA3,65.127815
DEA4,64.58043
DEA5,83.09418
DEB1,68.30619
DEB2,72.69418
DEB3,63.877453
DEC0,75.60873
DED2,57.092556
DED4,62.937397
DED5,51.81899
DEE0,48.111153
DEF0,56.520306
DEG0,60.43206
DK01,49.1618
DK02,47.6287
DK03,55.252903
DK04,53.882324
ES41,57.93036
ES42,45.269688
HU23,57.005093
HU31,49.365986
HU32,50.553413
HU33,50.151382
IE04,98.1202
EE00,43.087406
EL30,57.35272
EL41,93.23808
EL43,71.081215
EL51,77.63865
EL52,67.90636
FI20,36.77839
FR10,59.923344
FRB0,65.33895
FRC1,83.80852
FRC2,114.771416
FRD1,71.67302
FRD2,63.3089
FRE1,63.413353
FRE2,62.750126
FRF1,84.163414
NL13,56.399944
NL21,58.652554
NL22,60.287666
NL23,59.731407
NL31,58.25284
NL32,63.11625
ITG2,56.255077
ITH1,68.76888
ITH2,75.38129
FRI3,70.11246
FRJ1,71.31712
FRJ2,86.369995
FRK1,82.80707
FRK2,100.47771
FRL0,70.17417
FRM0,63.72389
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,101.35517
TR32,100.186516
TR33,69.08867
HR03,121.478584
HR02,71.41453
HU11,45.20655
HU12,46.010944
HU21,49.38108
HU22,52.138283
PT16,84.06425
PT17,64.97329
FRF2,77.154
FRF3,81.42596
FRG0,64.13176
FRH0,75.57481
FRI1,87.21561
FRI2,93.85367
ITC4,73.33454
ITF1,80.78428
ITF2,77.957375
ITF3,112.6069
ITF4,65.43534
ITF5,72.3051
ITF6,91.19008
ITG1,64.06992
LT01,48.16542
LT02,46.966934
LU00,76.35519
PL22,56.61821
PL41,43.14999
PL42,48.4361
PT18,57.43542
PT20,0.0
PT30,0.0
RO11,61.983936
RO12,51.182774
RO21,49.239613
RO22,47.268055
RO31,52.602436
RO32,48.647736
ITH3,71.581604
ITH4,95.71226
ITH5,76.22673
ITI1,83.17469
ITI2,87.90741
ITI3,75.68272
ITI4,98.04979
LI00,132.06612
FI1D,38.719543
TR82,72.82039
TR83,66.98555
TR90,92.43036
TRA1,58.21506
TRA2,1.845122
PL43,47.997513
PL51,53.8203
PL52,49.03708
PL61,43.718124
PL62,48.828705
PL63,48.80809
PL71,46.42208
PL72,47.939182
PL81,50.399742
PL82,59.90249
PL84,47.50566
PL91,48.54064
PL92,48.096596
PT11,104.58509
PT15,48.126236
TRB1,102.0739
TRB2,7.4002905
TRC1,90.8689
RS12,53.262646
RS21,68.61518
RS22,62.993233
SE11,38.12223
SE12,38.346718
NL33,60.404747
NL34,58.40854
NL41,62.218994
NL42,68.06634
PL21,61.298313
UKM6,121.7209
TR22,92.65397
TRC2,83.712616
TRC3,17.05232
UKC1,68.856224
UKC2,68.72756
UKD1,99.42417
UKD3,78.45391
UKD4,93.13446
UKD6,65.27831
UKD7,72.382225
UKE1,53.40644
UKE2,70.13462
UKE3,58.81859
RO41,62.14017
RO42,61.85237
RS11,59.5847
TR41,70.11448
TR42,86.56604
TR51,52.454403
TR52,53.99395
TR61,96.46798
TR62,93.37165
TR63,98.50934
TR71,52.2752
TR72,61.370262
TR81,92.431854
UKK1,54.613342
UKK2,64.36922
UKK3,83.2795
UKK4,74.00121
UKL1,90.52972
UKL2,76.90539
UKM5,74.21896
UKM7,98.071785
UKM8,118.89509
UKM9,98.85494
UKN0,86.62305
SE21,45.468086
SE22,49.398273
SE23,50.878616
SE31,42.353367
SE32,48.174152
SE33,50.75176
SI03,82.26517
SI04,97.16033
SK01,51.47609
SK02,54.176033
SK03,62.782906
SK04,55.99809
TR10,83.33695
TR21,79.06335
UKE4,71.69841
UKF1,56.577686
UKF2,47.86857
UKF3,47.457176
UKG1,52.692448
UKG2,60.68078
UKG3,51.505325
UKH1,50.841946
UKH2,47.261074
UKH3,51.012157
UKI3,49.19395
UKI4,49.19395
UKI5,47.688477
UKI6,50.66464
UKI7,48.469257
UKJ1,49.5264
UKJ2,58.696594
UKJ3,59.245262
UKJ4,56.459373
NO09,101.02235
NO0A,159.74991
NO0B,57.768616
HR05,69.77805
HR06,67.83511
NO02,52.38857
NO06,94.90791
NO07,87.276474
NO08,60.899323
