nuts,August Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,72.9935
DE60,83.453926
DE71,61.330914
DE72,63.56331
DE73,70.81967
DE80,80.43901
DE91,75.889336
BG41,45.2077
BG42,33.49132
CH01,124.03638
AT32,160.37352
AT33,162.2198
AT34,153.82031
BE10,59.07326
BE23,56.79345
BE24,62.53925
BE25,56.536552
BE31,61.24429
BE32,56.981358
BE33,70.91944
BE34,63.64261
BE35,67.12722
BG31,51.714344
BG32,44.573826
BG33,36.381702
BG34,29.378227
DE92,72.37195
DE93,82.864655
DE94,74.18765
CZ07,87.253365
CZ08,95.03251
AL01,35.045467
AL02,22.167677
AL03,19.153786
AT11,78.72911
AT12,97.995155
AT13,76.848625
AT21,132.89793
AT22,133.28705
AT31,132.40292
DK05,74.102615
BE21,61.973763
BE22,66.794815
ES43,7.9994392
ES51,49.44753
ES52,20.150204
ES53,12.12922
ES61,5.279566
ES62,8.716958
ES63,8.992604
ES64,4.675244
CH02,142.30911
CH03,121.10069
CH04,112.555145
CH05,131.50195
CH06,166.95355
CH07,132.39157
CY00,0.5442879
CZ01,71.24408
CZ02,74.749084
CZ03,86.2369
CZ04,78.022484
CZ05,85.238495
CZ06,79.09379
DE40,70.81641
EL53,20.33888
EL54,15.68116
EL61,16.609354
EL62,8.377109
EL63,9.666146
ES70,0.14989756
ITC1,97.8172
ITC2,109.17857
DE11,72.97022
DE12,74.36704
DE13,87.47472
DE14,101.17635
DE21,121.82
DE22,91.195694
DE23,81.37503
DE24,74.92682
DE25,68.94087
DE26,64.09201
DE27,112.300224
DE30,63.501854
EL42,0.37948978
LV00,91.78183
ME00,44.486
MK00,26.85115
MT00,2.3047466
NL11,78.28167
NL12,81.29128
EL64,10.455519
EL65,5.949743
ES11,23.318064
ES12,46.709053
ES13,48.68536
ES21,41.810196
ES22,44.776398
ES23,31.052729
ES24,36.973377
ES30,10.418629
IE05,71.16645
IE06,69.615906
IS00,109.39067
ITC3,49.422478
FI19,93.76744
FI1B,88.42866
FI1C,96.19726
DEA1,71.320465
DEA2,72.22645
DEA3,69.89862
DEA4,74.01852
DEA5,80.940735
DEB1,62.451374
DEB2,59.319244
DEB3,59.88918
DEC0,54.536945
DED2,83.28446
DED4,83.89763
DED5,61.791378
DEE0,72.38954
DEF0,76.38773
DEG0,67.85404
DK01,77.84522
DK02,70.800316
DK03,73.769714
DK04,75.76531
ES41,17.854168
ES42,11.381866
HU23,56.063583
HU31,56.60166
HU32,54.763687
HU33,51.22316
IE04,95.71413
EE00,102.19787
EL30,2.6653197
EL41,0.9142002
EL43,1.7783468
EL51,17.430689
EL52,20.646923
FI20,83.13464
FR10,42.554264
FRB0,41.167583
FRC1,49.221886
FRC2,79.46239
FRD1,45.166714
FRD2,52.243027
FRE1,53.845783
FRE2,51.859814
FRF1,77.86059
NL13,70.10743
NL21,68.534
NL22,65.756485
NL23,71.051544
NL31,62.83656
NL32,72.9401
ITG2,9.161037
ITH1,135.75746
ITH2,121.913345
FRI3,36.251427
FRJ1,51.81798
FRJ2,61.580162
FRK1,62.142563
FRK2,72.05184
FRL0,36.844765
FRM0,15.500057
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,2.0129108
TR32,2.8333268
TR33,6.140454
HR03,51.065742
HR02,62.985733
HU11,45.628452
HU12,50.962757
HU21,56.888737
HU22,67.32325
PT16,8.354704
PT17,3.486202
FRF2,51.905884
FRF3,62.18427
FRG0,33.480206
FRH0,35.463116
FRI1,50.852043
FRI2,54.55774
ITC4,84.83061
ITF1,34.737873
ITF2,28.29936
ITF3,20.252403
ITF4,15.342071
ITF5,20.355923
ITF6,20.47805
ITG1,9.979595
LT01,84.7704
LT02,82.73463
LU00,58.674976
PL22,95.96675
PL41,68.52211
PL42,76.59422
PT18,5.065599
PT20,0.0
PT30,0.0
RO11,79.593636
RO12,95.98589
RO21,78.41405
RO22,48.783768
RO31,60.387337
RO32,53.98784
ITH3,97.45237
ITH4,123.96188
ITH5,53.34163
ITI1,33.906017
ITI2,32.579876
ITI3,39.906685
ITI4,27.549032
LI00,179.2254
FI1D,96.10981
TR82,21.392435
TR83,16.563618
TR90,73.71953
TRA1,19.263136
TRA2,0.9161485
PL43,72.18842
PL51,82.59145
PL52,80.664635
PL61,69.33926
PL62,72.26805
PL63,81.85985
PL71,73.46939
PL72,82.31886
PL81,80.306755
PL82,86.72877
PL84,74.83014
PL91,75.25325
PL92,72.1108
PT11,15.351595
PT15,3.074054
TRB1,6.8016014
TRB2,0.4911927
TRC1,2.3632405
RS12,54.054962
RS21,54.436726
RS22,49.65631
SE11,81.67163
SE12,91.620384
NL33,64.24893
NL34,60.58063
NL41,65.70324
NL42,65.99308
PL21,99.92402
UKM6,112.2738
TR22,5.598426
TRC2,1.6752509
TRC3,0.2893353
UKC1,68.47884
UKC2,73.51925
UKD1,91.9701
UKD3,79.28745
UKD4,93.25718
UKD6,65.75818
UKD7,77.97076
UKE1,64.96214
UKE2,72.18625
UKE3,61.675373
RO41,62.407604
RO42,70.32111
RS11,46.67649
TR41,11.085907
TR42,24.184334
TR51,7.258375
TR52,4.5727077
TR61,8.272938
TR62,12.6560335
TR63,5.188921
TR71,3.4230475
TR72,5.6112356
TR81,33.5391
UKK1,53.253815
UKK2,54.746086
UKK3,53.934196
UKK4,54.235764
UKL1,71.364235
UKL2,62.06609
UKM5,78.98204
UKM7,90.16314
UKM8,103.659485
UKM9,91.401924
UKN0,90.07483
SE21,79.96688
SE22,78.765526
SE23,99.35009
SE31,106.626526
SE32,113.16914
SE33,107.18425
SI03,96.673744
SI04,105.98432
SK01,73.91141
SK02,72.62768
SK03,85.37859
SK04,78.591995
TR10,14.95101
TR21,10.245791
UKE4,73.28796
UKF1,61.547115
UKF2,55.69992
UKF3,60.760155
UKG1,50.774086
UKG2,55.366287
UKG3,51.00338
UKH1,53.911777
UKH2,51.125206
UKH3,49.291336
UKI3,52.132645
UKI4,52.132645
UKI5,49.975574
UKI6,51.731308
UKI7,52.612072
UKJ1,54.261906
UKJ2,52.812428
UKJ3,53.15973
UKJ4,51.59666
NO09,114.840996
NO0A,186.5079
NO0B,45.238373
HR05,71.61551
HR06,70.61738
NO02,119.89376
NO06,145.76395
NO07,120.955986
NO08,108.44359
