nuts,Autumn Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,205.99333
DE60,214.62555
DE71,217.5033
DE72,219.0035
DE73,209.85722
DE80,177.1489
DE91,199.48988
BG41,169.67479
BG42,159.75494
CH01,413.7325
AT32,364.02454
AT33,357.8421
AT34,388.69885
BE10,190.83981
BE23,193.28714
BE24,195.5041
BE25,212.36613
BE31,200.8038
BE32,204.184
BE33,230.25792
BE34,241.84502
BE35,222.48781
BG31,148.17789
BG32,152.02957
BG33,156.2534
BG34,169.40697
DE92,201.20703
DE93,203.21419
DE94,221.79852
CZ07,194.56528
CZ08,206.32327
AL01,441.7087
AL02,330.41824
AL03,344.1098
AT11,200.7139
AT12,202.93307
AT13,178.26973
AT21,366.67688
AT22,289.7479
AT31,279.7078
DK05,255.65451
BE21,198.52261
BE22,208.64572
ES43,181.76724
ES51,226.53075
ES52,157.98985
ES53,163.9228
ES61,153.26501
ES62,118.41928
ES63,194.03656
ES64,91.88678
CH02,386.94717
CH03,331.0188
CH04,319.3873
CH05,372.83942
CH06,437.22256
CH07,491.70236
CY00,79.68896
CZ01,158.93118
CZ02,165.7135
CZ03,181.67186
CZ04,188.61243
CZ05,190.86192
CZ06,170.21494
DE40,157.71031
EL53,185.53802
EL54,378.96765
EL61,207.09714
EL62,416.4197
EL63,316.8681
ES70,3.6655447
ITC1,377.52014
ITC2,375.8271
DE11,239.14977
DE12,258.09924
DE13,294.3026
DE14,280.59485
DE21,293.70868
DE22,226.31871
DE23,214.63031
DE24,221.97992
DE25,213.49393
DE26,219.02145
DE27,294.50604
DE30,159.82433
EL42,108.092514
LV00,216.02637
ME00,474.47177
MK00,182.42737
MT00,159.35243
NL11,242.37962
NL12,290.77805
EL64,185.30746
EL65,180.67798
ES11,347.15643
ES12,323.3189
ES13,277.42194
ES21,269.51974
ES22,232.50494
ES23,167.83844
ES24,165.8929
ES30,156.50133
IE05,290.40353
IE06,244.7454
IS00,438.18317
ITC3,380.767
FI19,199.4707
FI1B,229.6666
FI1C,213.52365
DEA1,222.71875
DEA2,236.451
DEA3,213.93846
DEA4,221.74408
DEA5,249.67218
DEB1,223.44974
DEB2,229.4469
DEB3,217.2207
DEC0,249.52312
DED2,193.90443
DED4,211.75069
DED5,176.02086
DEE0,171.78395
DEF0,218.70708
DEG0,197.77657
DK01,224.01573
DK02,211.06071
DK03,237.16957
DK04,241.14433
ES41,180.48091
ES42,149.7237
HU23,201.30852
HU31,169.91937
HU32,169.78922
HU33,162.28896
IE04,342.0689
EE00,227.4908
EL30,114.18363
EL41,149.05208
EL43,109.27981
EL51,172.5211
EL52,177.07301
FI20,221.64185
FR10,192.34666
FRB0,204.44951
FRC1,273.60745
FRC2,353.78903
FRD1,228.69893
FRD2,214.83888
FRE1,210.30125
FRE2,204.55623
FRF1,281.24008
NL13,213.32698
NL21,210.72949
NL22,207.91132
NL23,241.45471
NL31,223.2703
NL32,294.81433
ITG2,174.24994
ITH1,313.36407
ITH2,358.48312
FRI3,218.92644
FRJ1,295.96118
FRJ2,257.32523
FRK1,272.18863
FRK2,348.06638
FRL0,269.6802
FRM0,255.4099
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,181.73611
TR32,164.30144
TR33,125.04029
HR03,446.4394
HR02,250.30074
HU11,167.9341
HU12,169.09096
HU21,187.30774
HU22,205.91039
PT16,254.0669
PT17,188.6953
FRF2,245.49693
FRF3,274.07068
FRG0,202.49342
FRH0,227.42798
FRI1,254.14362
FRI2,280.85294
ITC4,349.59592
ITF1,277.83847
ITF2,257.34805
ITF3,358.71503
ITF4,209.40248
ITF5,206.59619
ITF6,276.875
ITG1,198.62787
LT01,188.49144
LT02,203.45499
LU00,232.2314
PL22,204.62015
PL41,152.46448
PL42,181.4999
PT18,169.23308
PT20,0.0
PT30,0.0
RO11,211.44589
RO12,176.68262
RO21,151.22536
RO22,132.2851
RO31,148.96124
RO32,140.92848
ITH3,363.17654
ITH4,508.89072
ITH5,295.3758
ITI1,336.4927
ITI2,294.07916
ITI3,260.20538
ITI4,352.3731
LI00,443.02292
FI1D,194.12996
TR82,197.40494
TR83,179.01541
TR90,361.97287
TRA1,143.47946
TRA2,6.2268996
PL43,159.65295
PL51,181.32468
PL52,178.06773
PL61,153.27417
PL62,181.65018
PL63,188.92654
PL71,163.71611
PL72,171.5526
