nuts,Winter Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,212.42917
DE60,209.01375
DE71,223.19914
DE72,225.29514
DE73,213.48097
DE80,170.92905
DE91,197.57661
BG41,183.6162
BG42,193.50053
CH01,400.41608
AT32,300.8208
AT33,286.63733
AT34,354.47095
BE10,214.1257
BE23,206.2563
BE24,220.99681
BE25,206.67766
BE31,225.18353
BE32,226.44223
BE33,270.93753
BE34,290.62698
BE35,262.43713
BG31,150.12436
BG32,158.37143
BG33,156.96925
BG34,180.6294
DE92,206.22507
DE93,200.67625
DE94,220.06735
CZ07,165.90533
CZ08,174.69286
AL01,464.105
AL02,349.3515
AL03,352.0787
AT11,129.50963
AT12,161.1807
AT13,130.3707
AT21,209.3832
AT22,207.83543
AT31,267.5172
DK05,207.18442
BE21,216.05586
BE22,232.31459
ES43,189.31947
ES51,139.20908
ES52,106.69353
ES53,129.74617
ES61,166.04774
ES62,81.11866
ES63,241.19016
ES64,94.78751
CH02,375.69363
CH03,304.5501
CH04,297.30283
CH05,295.6935
CH06,374.49075
CH07,263.85632
CY00,203.66563
CZ01,137.22635
CZ02,151.3976
CZ03,176.57008
CZ04,178.23492
CZ05,185.34108
CZ06,139.66734
DE40,162.09834
EL53,221.6067
EL54,423.04266
EL61,289.05252
EL62,446.68677
EL63,401.13638
ES70,5.2409873
ITC1,242.10886
ITC2,320.95398
DE11,241.84367
DE12,265.78842
DE13,294.69696
DE14,261.59897
DE21,261.1513
DE22,229.7792
DE23,225.4066
DE24,227.28743
DE25,220.40425
DE26,226.25429
DE27,270.45117
DE30,158.86316
EL42,257.38083
LV00,164.8743
ME00,463.50937
MK00,208.17632
MT00,196.8695
NL11,217.36296
NL12,239.49773
EL64,276.96246
EL65,269.6326
ES11,419.98325
ES12,335.51038
ES13,288.72913
ES21,301.12643
ES22,225.7004
ES23,164.98257
ES24,130.15544
ES30,144.8775
IE05,306.95203
IE06,244.78204
IS00,439.65558
ITC3,287.29587
FI19,138.62767
FI1B,172.7497
FI1C,158.58218
DEA1,245.36934
DEA2,262.8055
DEA3,230.64018
DEA4,222.70929
DEA5,276.159
DEB1,227.89157
DEB2,250.45865
DEB3,214.12628
DEC0,269.9432
DED2,193.6777
DED4,216.33455
DED5,171.91132
DEE0,163.87498
DEF0,209.34784
DEG0,191.05356
DK01,183.1678
DK02,179.99188
DK03,208.3771
DK04,203.00269
ES41,187.05974
ES42,135.88762
HU23,154.49298
HU31,130.55876
HU32,142.12512
HU33,139.10034
IE04,347.85556
EE00,164.6088
EL30,194.04352
EL41,308.71182
EL43,239.40387
EL51,231.56888
EL52,205.003
FI20,157.1008
FR10,204.71643
FRB0,210.1935
FRC1,266.12955
FRC2,375.4201
FRD1,254.8685
FRD2,224.85464
FRE1,224.47112
FRE2,219.12231
FRF1,285.4946
NL13,207.58221
NL21,219.4534
NL22,218.75519
NL23,225.8911
NL31,214.75012
NL32,243.5918
ITG2,168.41617
ITH1,203.9941
ITH2,202.43166
FRI3,231.59557
FRJ1,221.72202
FRJ2,258.67844
FRK1,246.85114
FRK2,310.16385
FRL0,215.80096
FRM0,219.71678
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,327.75842
TR32,329.11353
TR33,196.7378
HR03,358.83304
HR02,204.33646
HU11,131.71806
HU12,132.69485
HU21,144.22882
HU22,141.07896
PT16,279.1435
PT17,212.54585
FRF2,268.81296
FRF3,292.796
FRG0,226.97273
FRH0,272.65616
FRI1,263.28653
FRI2,284.1757
ITC4,202.12776
ITF1,252.90709
ITF2,238.2553
ITF3,332.95184
ITF4,190.09682
ITF5,214.95798
ITF6,304.4231
ITG1,205.26659
LT01,167.8981
LT02,165.88417
LU00,265.70483
PL22,179.83102
PL41,149.68307
PL42,173.47742
PT18,181.68332
PT20,0.0
PT30,0.0
RO11,197.7515
RO12,154.50087
RO21,130.95297
RO22,132.32794
RO31,142.90474
RO32,136.29271
ITH3,208.20735
ITH4,271.71472
ITH5,215.22583
ITI1,237.02869
ITI2,234.14082
ITI3,213.10272
ITI4,282.46976
LI00,383.26462
FI1D,130.99734
TR82,236.37901
TR83,207.48425
TR90,296.1246
TRA1,161.89095
TRA2,6.1846385
PL43,159.1726
PL51,172.96959
PL52,155.14017
PL61,145.42932
PL62,163.70833
PL63,167.39743
PL71,151.28085
PL72,144.87654
PL81,149.70247
PL82,175.07567
PL84,151.76273
PL91,152.31282
PL92,149.74475
PT11,365.2293
PT15,173.81833
TRB1,293.53156
TRB2,20.305714
TRC1,288.55252
RS12,154.98485
RS21,194.43987
RS22,176.40726
SE11,149.44835
SE12,145.2341
NL33,222.35837
NL34,210.36319
NL41,212.83714
NL42,223.20454
PL21,177.18661
UKM6,447.6942
TR22,269.47205
TRC2,258.45206
TRC3,51.850975
UKC1,231.32553
UKC2,233.44855
UKD1,370.72165
UKD3,282.54266
UKD4,343.1136
UKD6,230.61769
UKD7,271.4649
UKE1,182.6448
UKE2,239.10521
UKE3,192.92584
RO41,164.83554
RO42,190.06523
RS11,160.08882
TR41,206.03699
TR42,274.3254
TR51,160.68797
TR52,177.10428
TR61,327.79507
TR62,322.08133
TR63,303.3355
TR71,162.90106
TR72,181.14775
TR81,297.19534
UKK1,205.03851
UKK2,240.56158
UKK3,300.59467
UKK4,270.85593
UKL1,349.63083
UKL2,284.99405
UKM5,249.90741
UKM7,327.69766
UKM8,421.07068
UKM9,347.2384
UKN0,295.66296
SE21,167.53404
SE22,183.14832
SE23,196.36095
SE31,154.97743
SE32,175.50592
SE33,173.30766
SI03,217.17175
SI04,272.81393
SK01,130.17966
SK02,153.43872
SK03,178.47234
SK04,158.54164
TR10,263.42413
TR21,217.22064
UKE4,238.31836
UKF1,192.78552
UKF2,166.13628
UKF3,165.22913
UKG1,190.14508
UKG2,210.44087
UKG3,183.81606
UKH1,174.56749
UKH2,166.05896
UKH3,176.22704
UKI3,170.81787
UKI4,170.81787
UKI5,168.49007
UKI6,177.44286
UKI7,172.56068
UKJ1,178.07603
UKJ2,222.04031
UKJ3,220.55182
UKJ4,201.9403
NO09,366.3293
NO0A,612.7667
NO0B,194.5431
HR05,195.18712
HR06,188.56299
NO02,199.22838
NO06,355.43204
NO07,291.1977
NO08,220.39795
