nuts,January Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,76.22592
DE60,75.645836
DE71,86.87536
DE72,86.73271
DE73,82.81463
DE80,62.531948
DE91,73.86751
BG41,51.505215
BG42,58.476463
CH01,140.67705
AT32,106.03492
AT33,100.2721
AT34,123.50909
BE10,76.61557
BE23,76.7443
BE24,78.916176
BE25,76.12339
BE31,80.78608
BE32,82.87993
BE33,103.05303
BE34,107.63044
BE35,96.84161
BG31,47.63627
BG32,52.003582
BG33,53.908726
BG34,58.84623
DE92,77.7468
DE93,73.32181
DE94,81.38445
CZ07,58.226295
CZ08,58.730095
AL01,147.01167
AL02,105.99803
AL03,102.051254
AT11,43.359413
AT12,57.255245
AT13,44.92079
AT21,69.126625
AT22,70.538345
AT31,97.706795
DK05,81.15604
BE21,79.20616
BE22,86.08179
ES43,67.229866
ES51,57.690132
ES52,42.280594
ES53,48.387184
ES61,54.02791
ES62,32.616646
ES63,82.38217
ES64,38.49093
CH02,126.44422
CH03,104.63046
CH04,105.810234
CH05,106.84887
CH06,126.304054
CH07,98.884796
CY00,62.836082
CZ01,49.15462
CZ02,55.54528
CZ03,68.98876
CZ04,64.96359
CZ05,67.73122
CZ06,50.856934
DE40,59.422276
EL53,63.778305
EL54,125.14629
EL61,84.39452
EL62,126.57985
EL63,123.9043
ES70,1.4023885
ITC1,92.68398
ITC2,118.16861
DE11,94.503654
DE12,102.84524
DE13,107.52289
DE14,91.87117
DE21,90.396324
DE22,88.12408
DE23,88.60688
DE24,89.3741
DE25,86.457184
DE26,90.57788
DE27,99.3878
DE30,59.022198
EL42,83.062454
LV00,62.269882
ME00,152.52655
MK00,57.707706
MT00,63.440254
NL11,78.8738
NL12,85.626686
EL64,85.91455
EL65,80.42305
ES11,154.52687
ES12,124.609215
ES13,101.90067
ES21,103.568596
ES22,83.63327
ES23,65.6884
ES24,50.45206
ES30,52.74476
IE05,116.03248
IE06,90.66927
IS00,161.50233
ITC3,105.58616
FI19,53.18655
FI1B,66.37049
FI1C,61.189552
DEA1,95.163376
DEA2,100.23399
DEA3,88.05838
DEA4,85.85771
DEA5,107.55615
DEB1,86.38984
DEB2,92.08628
DEB3,77.680145
DEC0,92.75073
DED2,69.40209
DED4,78.536354
DED5,63.40047
DEE0,61.55087
DEF0,75.292465
DEG0,73.368484
DK01,69.36052
DK02,66.39705
DK03,78.05631
DK04,77.20196
ES41,68.7921
ES42,48.285484
HU23,49.316742
HU31,44.787155
HU32,47.267696
HU33,43.352924
IE04,126.53488
EE00,61.55114
EL30,56.27656
EL41,95.77938
EL43,73.844154
EL51,68.0787
EL52,57.2882
FI20,57.165318
FR10,71.15062
FRB0,77.67232
FRC1,98.088715
FRC2,133.8907
FRD1,90.12955
FRD2,79.627235
FRE1,82.496086
FRE2,77.80306
FRF1,105.51156
NL13,76.15142
NL21,79.76993
NL22,78.12683
NL23,79.588806
NL31,75.33954
NL32,83.85234
ITG2,56.806946
ITH1,70.058044
ITH2,65.04338
FRI3,91.74488
FRJ1,86.33292
FRJ2,89.8293
FRK1,89.8099
FRK2,107.77066
FRL0,83.564
FRM0,74.00454
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,114.15494
TR32,116.84465
TR33,71.33902
HR03,123.26708
HR02,67.35959
HU11,45.093178
HU12,45.845146
HU21,49.47119
HU22,46.29295
PT16,106.08409
PT17,73.170105
FRF2,96.2041
FRF3,104.09316
FRG0,87.01688
FRH0,98.40884
FRI1,95.31146
FRI2,107.3033
ITC4,70.793816
ITF1,77.9358
ITF2,78.77193
ITF3,114.26414
ITF4,59.53767
ITF5,69.31319
ITF6,98.218636
ITG1,69.347
LT01,60.576916
LT02,62.306854
LU00,97.261925
PL22,61.029366
PL41,53.378128
PL42,64.34243
PT18,59.896294
PT20,0.0
PT30,0.0
RO11,65.7841
RO12,51.573616
RO21,38.075817
RO22,44.198048
RO31,45.207367
RO32,42.89612
ITH3,70.22591
ITH4,95.22753
ITH5,74.15641
ITI1,83.01632
ITI2,79.25311
