nuts,Winter Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,204.00706
DE60,212.39093
DE71,229.49223
DE72,230.45622
DE73,222.20291
DE80,169.24109
DE91,200.99823
BG41,177.76083
BG42,191.44511
CH01,407.39185
AT32,296.69284
AT33,286.59174
AT34,357.73135
BE10,212.83774
BE23,209.0193
BE24,217.30534
BE25,208.71483
BE31,223.82497
BE32,231.32689
BE33,265.49673
BE34,288.06406
BE35,263.5169
BG31,148.70415
BG32,151.45403
BG33,150.7539
BG34,172.95622
DE92,205.58151
DE93,201.57288
DE94,217.3476
CZ07,170.98857
CZ08,177.39032
AL01,484.39957
AL02,350.0252
AL03,349.6074
AT11,136.17165
AT12,166.54695
AT13,137.09207
AT21,213.81694
AT22,210.01654
AT31,260.96115
DK05,210.01324
BE21,214.99422
BE22,228.8228
ES43,194.71028
ES51,145.47073
ES52,113.63064
ES53,133.50862
ES61,169.47285
ES62,88.97672
ES63,247.1162
ES64,101.36692
CH02,372.3591
CH03,304.55243
CH04,304.65103
CH05,297.33078
CH06,369.2929
CH07,288.2527
CY00,184.79604
CZ01,139.52377
CZ02,154.43163
CZ03,185.69139
CZ04,184.26036
CZ05,187.31581
CZ06,142.79012
DE40,164.9705
EL53,223.09358
EL54,430.40387
EL61,291.69577
EL62,434.229
EL63,388.92065
ES70,4.5644283
ITC1,269.6265
ITC2,346.08972
DE11,248.96521
DE12,278.92108
DE13,306.91226
DE14,263.46875
DE21,255.89035
DE22,233.00197
DE23,229.42645
DE24,237.20766
DE25,226.88362
DE26,235.48093
DE27,272.63345
DE30,160.14026
EL42,253.52718
LV00,172.22044
ME00,485.77448
MK00,201.30421
MT00,193.67952
NL11,216.61082
NL12,240.34325
EL64,274.1736
EL65,264.92505
ES11,425.53015
ES12,362.72
ES13,304.1342
ES21,315.86493
ES22,243.77658
ES23,176.25635
ES24,138.29587
ES30,155.22078
IE05,318.54065
IE06,248.76187
IS00,459.09396
ITC3,296.60944
FI19,144.5685
FI1B,180.68826
FI1C,165.07047
DEA1,245.28903
DEA2,261.11993
DEA3,231.0601
DEA4,226.76021
DEA5,278.10187
DEB1,234.48953
DEB2,254.31125
DEB3,221.45221
DEC0,275.17032
DED2,192.6442
DED4,213.42105
DED5,174.73549
DEE0,167.0176
DEF0,206.53015
DEG0,199.33034
DK01,187.22043
DK02,179.0977
DK03,210.25641
DK04,203.96986
ES41,196.66522
ES42,137.90099
HU23,164.54964
HU31,137.64738
HU32,148.45512
HU33,149.27771
IE04,364.58026
EE00,170.33118
EL30,185.90938
EL41,299.7581
EL43,229.92282
EL51,229.79083
EL52,208.34726
FI20,161.51607
FR10,201.82758
FRB0,209.23495
FRC1,268.561
FRC2,378.38403
FRD1,252.39473
FRD2,229.84238
FRE1,234.40831
FRE2,222.96414
FRF1,292.43198
NL13,205.92143
NL21,213.17978
NL22,214.38142
NL23,219.25275
NL31,210.17618
NL32,241.68419
ITG2,173.5456
ITH1,202.75223
ITH2,205.57333
FRI3,237.26532
FRJ1,234.40218
FRJ2,259.74258
FRK1,251.71248
FRK2,314.16644
FRL0,215.59233
FRM0,225.63142
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,317.556
TR32,312.83615
TR33,193.59482
HR03,378.8964
HR02,223.36879
HU11,138.22107
HU12,140.20293
HU21,150.67728
HU22,148.12054
PT16,295.56766
PT17,219.51155
FRF2,267.3728
FRF3,293.31824
FRG0,228.7846
FRH0,269.98932
FRI1,270.90585
FRI2,289.49542
ITC4,213.5987
ITF1,258.41348
ITF2,255.88087
ITF3,339.91708
ITF4,198.94862
ITF5,217.30696
ITF6,310.59418
ITG1,217.41922
LT01,174.29681
LT02,172.419
LU00,266.02698
PL22,179.9007
PL41,151.0998
PL42,175.11484
PT18,187.2318
PT20,0.0
PT30,0.0
RO11,200.1371
RO12,160.3409
RO21,128.72345
RO22,126.53739
RO31,140.29964
RO32,131.9266
ITH3,217.50111
ITH4,288.147
ITH5,228.91986
ITI1,258.25256
ITI2,246.04128
ITI3,221.32178
ITI4,294.86658
LI00,378.71982
FI1D,135.25848
TR82,238.06358
TR83,213.61131
TR90,311.58832
TRA1,167.99062
TRA2,6.8776917
PL43,161.73346
PL51,178.10555
PL52,158.16388
PL61,147.26207
PL62,171.16739
PL63,173.34894
PL71,154.77281
PL72,148.86107
PL81,156.2572
PL82,180.45381
PL84,157.53532
PL91,157.82127
PL92,154.87546
PT11,357.05533
PT15,181.31433
TRB1,285.68228
TRB2,19.884941
TRC1,269.42673
RS12,164.10269
RS21,204.22299
RS22,173.96307
SE11,148.6451
SE12,147.03487
NL33,220.23727
NL34,210.87016
NL41,210.23668
NL42,221.7386
PL21,176.35156
UKM6,448.33115
TR22,268.07498
TRC2,241.9529
TRC3,48.280193
UKC1,223.91855
UKC2,227.63315
UKD1,369.44177
UKD3,284.66873
UKD4,352.00134
UKD6,227.12698
UKD7,275.1246
UKE1,177.57976
UKE2,242.27515
UKE3,196.97891
RO41,164.0808
RO42,196.20735
RS11,163.61798
TR41,196.46095
TR42,266.18048
TR51,158.80174
TR52,174.75975
TR61,305.96347
TR62,298.18488
TR63,275.37265
TR71,160.06781
TR72,182.29326
TR81,304.45163
UKK1,206.67038
UKK2,246.98114
UKK3,302.9177
UKK4,279.55276
UKL1,348.72778
UKL2,286.06506
UKM5,250.62027
UKM7,325.78702
UKM8,427.68753
UKM9,348.07217
UKN0,298.549
SE21,169.63051
SE22,181.81099
SE23,202.34657
SE31,157.38962
SE32,182.34212
SE33,175.32924
SI03,233.8469
SI04,291.50558
SK01,138.26596
SK02,159.24149
SK03,185.88239
SK04,166.32544
TR10,247.75426
TR21,215.14632
UKE4,241.56247
UKF1,188.7591
UKF2,164.25978
UKF3,162.8327
UKG1,187.81241
UKG2,209.0842
UKG3,183.88641
UKH1,171.70157
UKH2,161.63438
UKH3,171.87053
UKI3,170.05882
UKI4,170.05882
UKI5,165.90733
UKI6,177.94626
UKI7,169.4671
UKJ1,175.76352
UKJ2,222.47069
UKJ3,223.37671
UKJ4,204.49178
NO09,378.24243
NO0A,616.60834
NO0B,196.7911
HR05,210.24393
HR06,198.95888
NO02,201.86536
NO06,364.7785
NO07,298.20596
NO08,227.34035
