nuts,February Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,59.52421
DE60,60.421833
DE71,68.59006
DE72,67.00452
DE73,62.53645
DE80,51.945362
DE91,58.98472
BG41,61.373325
BG42,60.08812
CH01,124.96955
AT32,97.688385
AT33,93.76224
AT34,108.902145
BE10,65.049995
BE23,60.242535
BE24,66.23213
BE25,59.896187
BE31,67.61225
BE32,65.23237
BE33,78.45011
BE34,82.66647
BE35,76.30842
BG31,52.19947
BG32,52.980667
BG33,50.282963
BG34,57.36158
DE92,60.611
DE93,59.292404
DE94,64.04982
CZ07,57.58832
CZ08,63.741337
AL01,160.06306
AL02,113.81685
AL03,107.350174
AT11,54.045925
AT12,61.01944
AT13,55.43372
AT21,83.05145
AT22,77.12184
AT31,88.89398
DK05,60.990833
BE21,64.44423
BE22,68.90136
ES43,59.518173
ES51,55.42841
ES52,37.04762
ES53,34.996067
ES61,50.346615
ES62,28.028774
ES63,67.2989
ES64,31.366411
CH02,115.54794
CH03,99.363716
CH04,95.17798
CH05,90.66709
CH06,111.68966
CH07,114.93422
CY00,43.476658
CZ01,45.910954
CZ02,48.954437
CZ03,55.912617
CZ04,54.82525
CZ05,57.767822
CZ06,49.46147
DE40,50.486332
EL53,69.51883
EL54,124.921326
EL61,79.814835
EL62,116.769325
EL63,113.121635
ES70,1.0825208
ITC1,100.06694
ITC2,110.86982
DE11,70.39675
DE12,78.40397
DE13,88.93813
DE14,79.05316
DE21,84.03496
DE22,68.48002
DE23,64.74263
DE24,64.786285
DE25,63.570587
DE26,68.35076
DE27,84.27033
DE30,48.297787
EL42,66.6948
LV00,50.352253
ME00,160.0193
MK00,66.13907
MT00,41.346737
NL11,61.267643
NL12,65.21066
EL64,79.58208
EL65,74.37847
ES11,130.22717
ES12,114.528755
ES13,100.016975
ES21,104.90185
ES22,83.79498
ES23,59.457897
ES24,47.577175
ES30,48.854095
IE05,89.55483
IE06,71.608315
IS00,152.02937
ITC3,93.26249
FI19,40.817772
FI1B,48.23106
FI1C,45.35425
DEA1,71.29321
DEA2,76.7136
DEA3,68.423645
DEA4,66.38313
DEA5,77.19298
DEB1,70.63556
DEB2,75.00295
DEB3,65.07642
DEC0,77.58968
DED2,60.368423
DED4,63.498177
DED5,53.232674
DEE0,51.60092
DEF0,61.762096
DEG0,56.65548
DK01,54.24909
DK02,52.287735
DK03,59.99529
DK04,60.307255
ES41,63.498245
ES42,47.304253
HU23,62.789234
HU31,52.15919
HU32,53.71692
HU33,53.913902
IE04,99.042076
EE00,47.848812
EL30,49.16816
EL41,78.50237
EL43,61.255127
EL51,66.65542
EL52,60.593254
FI20,40.455345
FR10,61.57663
FRB0,69.4046
FRC1,88.4832
FRC2,118.4015
FRD1,71.58296
FRD2,64.91392
FRE1,64.64628
FRE2,62.568447
FRF1,87.91213
NL13,59.64861
NL21,63.11274
NL22,63.92703
NL23,64.9409
NL31,61.511665
NL32,65.77192
ITG2,47.13126
ITH1,68.71982
ITH2,83.93839
FRI3,73.64847
FRJ1,74.33101
FRJ2,90.03264
FRK1,82.87166
FRK2,99.42206
FRL0,73.27243
FRM0,64.36091
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,91.41829
TR32,86.4588
TR33,61.082855
HR03,126.94824
HR02,77.90498
HU11,54.04132
HU12,54.02216
HU21,58.007847
HU22,57.00888
PT16,84.87736
PT17,61.993427
FRF2,79.2059
FRF3,83.33967
FRG0,71.31151
FRH0,77.16394
FRI1,86.45396
FRI2,92.99514
ITC4,80.97904
ITF1,78.52178
ITF2,77.39855
ITF3,106.44163
ITF4,59.80762
ITF5,70.10451
ITF6,88.971375
ITG1,60.96215
LT01,52.537838
LT02,53.490147
LU00,78.27897
PL22,59.422565
PL41,48.743713
PL42,53.331856
