nuts,Annual Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,857.3035
DE60,884.26215
DE71,880.946
DE72,896.48456
DE73,885.1703
DE80,741.7601
DE91,833.5992
BG41,814.05646
BG42,762.6574
CH01,1676.479
AT32,1593.0519
AT33,1599.5302
AT34,1702.3674
BE10,818.81964
BE23,808.04645
BE24,844.2364
BE25,813.2604
BE31,862.0609
BE32,849.16547
BE33,1010.4072
BE34,1039.6959
BE35,967.9828
BG31,752.12616
BG32,723.302
BG33,656.37146
BG34,689.8996
DE92,844.5018
DE93,840.1653
DE94,886.61536
CZ07,865.2013
CZ08,929.86633
AL01,1453.3899
AL02,1109.6465
AL03,1055.123
AT11,791.0822
AT12,907.2889
AT13,762.32404
AT21,1348.8613
AT22,1224.5417
AT31,1295.7417
DK05,852.17926
BE21,849.9307
BE22,891.4998
ES43,576.6699
ES51,745.9618
ES52,479.61975
ES53,421.5985
ES61,492.52557
ES62,340.076
ES63,594.3935
ES64,295.27307
CH02,1628.2631
CH03,1416.1123
CH04,1371.2437
CH05,1511.1841
CH06,1819.955
CH07,1691.6993
CY00,337.23755
CZ01,704.47546
CZ02,757.5339
CZ03,892.194
CZ04,819.20245
CZ05,859.49603
CZ06,757.95294
DE40,705.07416
EL53,707.71735
EL54,1150.8058
EL61,781.1464
EL62,1069.8573
EL63,978.76416
ES70,11.488976
ITC1,1359.1816
ITC2,1505.2375
DE11,995.25183
DE12,1056.1053
DE13,1225.3646
DE14,1206.7405
DE21,1302.7935
DE22,1044.2256
DE23,960.1882
DE24,915.00226
DE25,902.6187
DE26,894.13635
DE27,1281.558
DE30,693.82056
EL42,436.66733
LV00,816.6795
ME00,1562.471
MK00,755.0742
MT00,405.61676
NL11,908.3795
NL12,979.743
EL64,703.5719
EL65,623.9864
ES11,1225.2577
ES12,1259.938
ES13,1098.9309
ES21,1090.1812
ES22,911.5512
ES23,713.33575
ES24,627.41394
ES30,515.97833
IE05,1099.2094
IE06,951.7283
IS00,1493.9066
ITC3,1150.3329
FI19,735.9456
FI1B,779.6099
FI1C,763.3465
DEA1,938.59247
DEA2,1002.5254
DEA3,903.9332
DEA4,906.69525
DEA5,1061.5842
DEB1,909.7763
DEB2,954.1108
DEB3,870.37286
DEC0,982.1782
DED2,835.8697
DED4,911.5154
DED5,731.98706
DEE0,712.6114
DEF0,853.4056
DEG0,821.0415
DK01,779.83295
DK02,759.10297
DK03,850.78204
DK04,853.4376
ES41,656.29004
ES42,497.98975
HU23,754.53094
HU31,708.26953
HU32,719.40173
HU33,673.9395
IE04,1272.3328
EE00,796.86475
EL30,418.53348
EL41,580.892
EL43,436.56192
EL51,701.44574
EL52,688.0005
FI20,675.7439
FR10,749.67224
FRB0,784.88605
FRC1,985.9752
FRC2,1372.3762
FRD1,856.74286
FRD2,835.74207
FRE1,830.9746
FRE2,814.84686
FRF1,1125.1552
NL13,848.2335
NL21,865.9852
NL22,863.64264
NL23,913.1283
NL31,869.5018
NL32,963.9024
ITG2,538.1901
ITH1,1294.6367
ITH2,1380.4218
FRI3,830.84076
FRJ1,938.0652
FRJ2,1060.0297
FRK1,1040.7089
FRK2,1243.1848
FRL0,884.888
