nuts,June Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,93.40641
DE60,90.20977
DE71,81.93478
DE72,85.64089
DE73,86.953926
DE80,79.45592
DE91,81.56602
BG41,85.54917
BG42,77.56993
CH01,164.58484
AT32,192.41327
AT33,200.4594
AT34,210.78625
BE10,80.77141
BE23,75.9289
BE24,83.6767
BE25,70.83765
BE31,83.7633
BE32,78.983215
BE33,97.06512
BE34,96.914696
BE35,92.77113
BG31,84.38637
BG32,77.718254
BG33,69.86653
BG34,66.035904
DE92,83.721275
DE93,87.25154
DE94,91.2687
CZ07,104.10176
CZ08,111.40274
AL01,75.03889
AL02,57.216286
AL03,39.886173
AT11,93.3001
AT12,107.88981
AT13,85.89298
AT21,162.38925
AT22,148.78674
AT31,144.62134
DK05,72.85572
BE21,81.54325
BE22,87.716484
ES43,19.50638
ES51,60.416092
ES52,31.03196
ES53,14.197362
ES61,16.366898
ES62,17.236881
ES63,6.842433
ES64,8.90843
CH02,164.0415
CH03,143.72061
CH04,150.26143
CH05,174.79448
CH06,206.8745
CH07,187.07265
CY00,3.8307288
CZ01,79.71348
CZ02,82.32287
CZ03,97.021095
CZ04,87.42463
CZ05,94.5661
CZ06,88.46744
DE40,72.32536
EL53,38.89526
EL54,35.689323
EL61,28.4895
EL62,15.035803
EL63,25.402634
ES70,0.37509727
ITC1,136.42607
ITC2,148.44876
DE11,97.40978
DE12,94.51618
DE13,116.27546
DE14,129.89246
DE21,158.71266
DE22,114.28477
DE23,97.82771
DE24,87.65563
DE25,90.61061
DE26,85.02177
DE27,156.10127
DE30,70.99079
EL42,2.131985
LV00,89.44259
ME00,83.27964
MK00,55.437916
MT00,3.0015616
NL11,93.602165
NL12,82.859535
EL64,23.916761
EL65,14.454045
ES11,60.55462
ES12,89.05305
ES13,80.983376
ES21,73.51008
ES22,67.68512
ES23,62.36048
ES24,56.316936
ES30,29.237394
IE05,84.37466
IE06,81.377
IS00,75.56646
ITC3,77.865364
FI19,77.23588
FI1B,69.48885
FI1C,72.83983
DEA1,91.06824
DEA2,96.06947
DEA3,89.85211
DEA4,87.28852
DEA5,99.831375
DEB1,84.78401
DEB2,86.99345
DEB3,77.66853
DEC0,83.711555
DED2,84.54538
DED4,91.08378
DED5,71.04286
DEE0,71.75765
DEF0,85.730156
DEG0,81.269875
DK01,75.28185
DK02,76.5362
DK03,82.05802
DK04,80.08136
ES41,44.885777
ES42,30.54231
HU23,82.758705
HU31,86.93197
HU32,82.102646
HU33,75.727875
IE04,93.221146
EE00,83.95439
EL30,7.9131403
EL41,6.208393
EL43,4.661622
EL51,50.467644
EL52,43.520363
FI20,51.278893
FR10,64.729706
FRB0,63.4906
FRC1,79.9483
FRC2,116.6248
FRD1,64.812195
FRD2,67.911385
FRE1,73.01395
FRE2,72.303
FRF1,99.441864
NL13,88.93443
NL21,90.51435
NL22,87.81783
NL23,85.63298
NL31,82.31758
NL32,77.22254
ITG2,18.129578
ITH1,159.69159
ITH2,170.96046
FRI3,60.770115
FRJ1,60.595814
FRJ2,86.11735
FRK1,85.38287
FRK2,106.37498
FRL0,67.95301
FRM0,35.71085
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,14.9003105
TR32,14.73944
TR33,29.329685
HR03,74.83879
HR02,89.76731
HU11,74.60167
HU12,77.78855
HU21,79.806
HU22,84.36481
PT16,27.392681
PT17,11.782325
FRF2,80.57133
FRF3,93.10246
FRG0,55.17301
FRH0,58.11253
FRI1,76.87595
FRI2,84.397995
ITC4,123.78711
ITF1,67.30229
ITF2,55.365086
ITF3,37.97311
ITF4,27.885344
ITF5,33.009357
ITF6,27.811972
ITG1,13.549735
LT01,88.39215
LT02,88.666
LU00,89.5714
PL22,104.29583
PL41,76.47863
PL42,80.90131
PT18,13.601321
PT20,0.0
PT30,0.0
RO11,125.009026
RO12,130.02847
RO21,112.40225
RO22,73.41035
RO31,90.00714
RO32,86.055626
ITH3,129.60793
ITH4,161.26976
ITH5,74.95806
ITI1,55.483727
ITI2,59.880077
ITI3,63.5716
ITI4,51.82451
LI00,235.60388
FI1D,80.91113
TR82,66.15487
TR83,57.459892
TR90,117.8176
TRA1,55.942673
TRA2,2.8422337
PL43,75.76791
PL51,91.45627
PL52,89.73092
PL61,78.84177
PL62,90.55609
PL63,86.51157
PL71,83.79019
PL72,89.26404
PL81,89.2226
PL82,105.94862
PL84,85.05076
PL91,85.24599
PL92,83.358665
PT11,42.95356
PT15,7.8979754
TRB1,26.86148
TRB2,1.8313446
TRC1,10.569834
RS12,79.12286
RS21,88.37459
RS22,77.862274
SE11,68.370094
SE12,83.881294
NL33,78.426796
NL34,75.35062
NL41,83.35864
NL42,86.26289
PL21,114.003265
UKM6,90.569336
TR22,29.042719
TRC2,7.692884
TRC3,1.4250937
UKC1,75.64443
UKC2,76.35575
UKD1,94.20293
UKD3,89.98687
UKD4,94.00416
UKD6,82.672035
UKD7,87.06727
UKE1,70.495705
UKE2,78.77025
UKE3,80.163635
RO41,93.66345
RO42,111.7527
RS11,79.60912
TR41,40.097946
TR42,66.98973
TR51,32.699768
TR52,24.221443
TR61,23.62992
TR62,36.662018
TR63,20.53277
TR71,31.774755
TR72,41.13947
TR81,78.551636
UKK1,67.12796
UKK2,66.62642
UKK3,69.81166
UKK4,71.367424
UKL1,88.66948
UKL2,85.9112
UKM5,76.73191
UKM7,83.378426
UKM8,92.942055
UKM9,86.72609
UKN0,89.03144
SE21,83.72818
SE22,83.037994
SE23,99.36176
SE31,96.94467
SE32,90.8932
SE33,85.81595
SI03,124.611305
SI04,134.11433
SK01,83.40954
SK02,88.858536
SK03,110.351845
SK04,109.88016
TR10,35.052563
TR21,41.196564
UKE4,83.1105
UKF1,76.84429
UKF2,69.54063
UKF3,70.16046
UKG1,72.21644
UKG2,78.4571
UKG3,74.85118
UKH1,65.75879
UKH2,66.93848
UKH3,63.988266
UKI3,64.052956
UKI4,64.052956
UKI5,64.43191
UKI6,64.26488
UKI7,65.225624
UKJ1,66.30397
UKJ2,57.827793
UKJ3,60.448578
UKJ4,61.53597
NO09,100.66451
NO0A,122.32667
NO0B,22.067293
HR05,98.947975
HR06,99.36997
NO02,109.98935
NO06,111.70161
NO07,89.59602
NO08,103.044044
