nuts,Summer Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,255.36775
DE60,265.04254
DE71,229.46428
DE72,243.30185
DE73,256.06924
DE80,247.75423
DE91,252.60406
BG41,217.20549
BG42,190.73508
CH01,455.27057
AT32,573.53876
AT33,590.9241
AT34,572.3005
BE10,227.83635
BE23,214.78893
BE24,230.30531
BE25,195.56514
BE31,227.1503
BE32,215.99857
BE33,268.84113
BE34,261.16113
BE35,247.21289
BG31,222.30609
BG32,215.43333
BG33,175.72263
BG34,153.00209
DE92,245.89862
DE93,257.4157
DE94,254.9218
CZ07,308.57083
CZ08,335.00665
AL01,173.6111
AL02,127.73372
AL03,91.00649
AT11,267.70477
AT12,319.34763
AT13,249.15265
AT21,463.04138
AT22,443.7973
AT31,438.33832
DK05,229.15547
BE21,233.0494
BE22,234.874
ES43,31.903673
ES51,160.57126
ES52,63.268295
ES53,34.771416
ES61,23.834059
ES62,32.53632
ES63,18.325592
ES64,14.801839
CH02,470.20074
CH03,426.77087
CH04,410.83566
CH05,491.70737
CH06,605.09344
CH07,506.45874
CY00,5.0532327
CZ01,256.4673
CZ02,267.25085
CZ03,309.99423
CZ04,278.407
CZ05,294.70398
CZ06,273.84848
DE40,235.5919
EL53,98.01455
EL54,74.10617
EL61,84.129196
EL62,32.99155
EL63,50.402557
ES70,0.74978065
ITC1,355.5724
ITC2,386.34192
DE11,264.5672
DE12,261.06866
DE13,323.37186
DE14,370.31387
DE21,456.26422
DE22,334.56973
DE23,296.9173
DE24,259.13953
DE25,262.88596
DE26,233.02475
DE27,428.46426
DE30,223.09386
EL42,2.9884753
LV00,281.91864
ME00,213.98897
MK00,139.68983
MT00,6.352043
NL11,270.30966
NL12,249.4896
EL64,55.49913
EL65,30.176504
ES11,121.61781
ES12,203.8828
ES13,198.32007
ES21,181.49622
ES22,170.42078
ES23,136.04259
ES24,120.46197
ES30,51.822784
IE05,243.76234
IE06,233.6926
IS00,285.70676
ITC3,173.66896
FI19,270.45557
FI1B,234.10286
FI1C,248.29967
DEA1,252.89764
DEA2,274.01733
DEA3,243.31262
DEA4,251.65196
DEA5,287.88382
DEB1,239.67984
DEB2,237.55229
DEB3,216.24124
DEC0,224.8741
DED2,278.5268
DED4,283.52768
DED5,219.89557
DEE0,229.1021
DEF0,246.51485
DEG0,244.73827
DK01,235.80275
DK02,228.35672
DK03,236.53352
DK04,245.84169
ES41,83.404976
ES42,50.747833
HU23,206.18036
HU31,225.80911
HU32,225.73103
HU33,186.11266
IE04,293.3293
EE00,272.747
EL30,15.228051
EL41,10.813692
EL43,9.45363
EL51,108.86043
EL52,106.4462
FI20,188.15424
FR10,173.88618
FRB0,158.42494
FRC1,206.2276
FRC2,297.40918
FRD1,167.44775
FRD2,180.47864
FRE1,192.54506
FRE2,190.74246
FRF1,276.9506
NL13,256.03235
NL21,246.62198
NL22,240.04004
NL23,254.05351
NL31,240.68074
NL32,239.11514
ITG2,36.9912
ITH1,459.8629
ITH2,477.73688
FRI3,146.54927
FRJ1,158.35109
FRJ2,218.69153
FRK1,218.41644
FRK2,273.63278
FRL0,148.88435
FRM0,76.02611
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,18.477821
TR32,22.617947
TR33,42.917873
HR03,181.49066
HR02,232.21342
HU11,190.44026
HU12,208.42519
HU21,209.17665
HU22,236.49277
PT16,50.19672
PT17,19.476362
FRF2,212.28624
FRF3,236.69548
FRG0,136.45743
FRH0,141.74457
FRI1,190.65518
FRI2,203.12294
ITC4,332.62802
ITF1,154.87755
ITF2,128.14774
ITF3,86.56323
ITF4,65.95923
ITF5,88.562065
ITF6,68.17915
ITG1,29.433493
LT01,278.5641
LT02,281.2218
LU00,243.00919
PL22,320.75293
PL41,244.9978
PL42,261.67136
PT18,22.46574
PT20,0.0
PT30,0.0
RO11,332.08102
RO12,361.27853
RO21,305.65054
RO22,185.69579
RO31,242.93054
RO32,234.58134
ITH3,366.124
ITH4,437.78662
ITH5,189.90147
ITI1,124.96263
ITI2,138.85783
ITI3,158.6689
ITI4,118.41835
LI00,681.33856
FI1D,279.14984
TR82,135.58704
TR83,104.719
TR90,301.3465
TRA1,105.745445
TRA2,6.217375
PL43,246.4736
PL51,287.76196
PL52,287.08374
PL61,244.38753
PL62,264.16998
PL63,269.30103
PL71,254.53471
PL72,278.39197
PL81,281.7195
PL82,328.53726
PL84,274.07785
PL91,250.6233
PL92,254.99405
PT11,82.22415
PT15,12.086265
TRB1,41.941658
TRB2,2.7715
TRC1,13.8512535
RS12,196.31345
RS21,216.38081
RS22,180.95746
SE11,213.03828
SE12,254.06058
NL33,234.10472
NL34,217.5303
NL41,228.4061
NL42,236.86864
PL21,345.78595
UKM6,312.6082
TR22,49.223705
TRC2,9.995046
TRC3,1.8323126
UKC1,211.48438
UKC2,221.96869
UKD1,286.93518
UKD3,264.05182
UKD4,280.5449
UKD6,235.60992
UKD7,262.95935
UKE1,200.46428
UKE2,223.88652
UKE3,220.85106
RO41,251.4119
RO42,289.7157
RS11,201.74422
TR41,71.167435
TR42,129.48764
TR51,59.194653
TR52,32.639786
TR61,37.92363
TR62,51.6183
TR63,27.16856
TR71,41.068172
TR72,57.296577
TR81,171.08379
UKK1,190.10658
UKK2,192.46913
UKK3,207.68777
UKK4,211.5322
UKL1,255.97302
UKL2,238.39828
UKM5,249.80049
UKM7,282.7494
UKM8,314.01044
UKM9,283.23965
UKN0,268.54236
SE21,258.72903
SE22,250.63629
SE23,306.92725
SE31,290.64786
SE32,304.40237
SE33,301.85474
SI03,329.92746
SI04,372.12558
SK01,231.4724
SK02,245.78833
SK03,310.0336
SK04,308.20447
TR10,79.02246
TR21,81.7278
UKE4,231.60791
UKF1,212.57336
UKF2,189.69617
UKF3,195.33792
UKG1,190.18866
UKG2,210.70375
UKG3,196.4059
UKH1,186.68224
UKH2,184.45952
