nuts,Summer Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,259.1869
DE60,266.4511
DE71,226.2479
DE72,239.46402
DE73,253.51381
DE80,226.70576
DE91,241.87622
BG41,214.25926
BG42,187.35616
CH01,467.961
AT32,540.83417
AT33,560.3547
AT34,566.5715
BE10,224.25124
BE23,215.75966
BE24,231.50316
BE25,212.5166
BE31,234.12465
BE32,215.92487
BE33,266.3029
BE34,258.57605
BE35,247.56061
BG31,206.85724
BG32,194.13524
BG33,165.03908
BG34,150.53032
DE92,242.58446
DE93,257.9049
DE94,268.02734
CZ07,279.51178
CZ08,308.19504
AL01,169.81247
AL02,123.87891
AL03,90.00611
AT11,256.4975
AT12,311.02954
AT13,248.1073
AT21,437.9332
AT22,422.5573
AT31,417.05472
DK05,218.4756
BE21,230.05542
BE22,238.96304
ES43,33.052532
ES51,154.77472
ES52,67.80829
ES53,31.371946
ES61,25.239122
ES62,34.475857
ES63,18.537603
ES64,17.528702
CH02,482.56274
CH03,436.60568
CH04,417.56287
CH05,484.27615
CH06,589.3562
CH07,493.354
CY00,4.7956986
CZ01,240.69041
CZ02,249.07379
CZ03,289.28198
CZ04,259.5067
CZ05,274.60983
CZ06,250.86093
DE40,220.1476
EL53,89.7337
EL54,69.22768
EL61,79.027534
EL62,30.179943
EL63,54.9321
ES70,0.8645
ITC1,349.5939
ITC2,392.0263
DE11,264.41116
DE12,274.19778
DE13,336.55975
DE14,376.6836
DE21,430.36136
DE22,321.38382
DE23,280.91052
DE24,252.18753
DE25,253.09305
DE26,231.89337
DE27,417.62006
DE30,210.90642
EL42,2.8863769
LV00,263.89044
ME00,203.31073
MK00,130.8145
MT00,4.531546
NL11,277.1436
NL12,257.46127
EL64,57.046013
EL65,31.65667
ES11,131.42946
ES12,235.64085
ES13,217.43787
ES21,190.8958
ES22,170.41692
ES23,140.25922
ES24,127.20381
ES30,55.996456
IE05,235.4548
IE06,233.72394
IS00,280.6014
ITC3,176.65575
FI19,266.86304
FI1B,235.1188
FI1C,247.4432
DEA1,249.79329
DEA2,267.47845
DEA3,245.35399
DEA4,246.84889
DEA5,286.06366
DEB1,230.13531
DEB2,233.91345
DEB3,222.20859
DEC0,229.50232
DED2,263.24225
DED4,265.44043
DED5,210.44846
DEE0,212.81313
DEF0,245.00975
DEG0,237.5773
DK01,224.5447
DK02,223.99251
DK03,238.00705
DK04,228.29115
ES41,94.17942
ES42,53.580738
HU23,190.51093
HU31,210.52553
HU32,203.46016
HU33,171.20767
IE04,290.65366
EE00,257.98584
EL30,13.571499
EL41,9.94402
EL43,8.773321
EL51,110.18411
EL52,111.16417
FI20,184.20262
FR10,176.13297
FRB0,168.24402
FRC1,214.30186
FRC2,322.36145
FRD1,172.95862
FRD2,188.16109
FRE1,199.14478
FRE2,191.6796
FRF1,289.3951
NL13,252.21011
NL21,244.42563
NL22,241.7405
NL23,250.99065
NL31,237.91992
NL32,247.83969
ITG2,33.753033
ITH1,446.27048
ITH2,459.37854
FRI3,154.1451
FRJ1,164.7787
FRJ2,227.38382
FRK1,232.04646
FRK2,276.30255
FRL0,150.82704
FRM0,68.35697
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,18.184933
TR32,26.31392
TR33,46.482815
HR03,167.26805
HR02,226.17354
HU11,173.17169
HU12,186.16031
HU21,187.03712
HU22,218.46008
PT16,51.083027
PT17,20.761929
FRF2,219.54527
FRF3,243.63106
FRG0,140.32822
FRH0,146.12993
FRI1,198.00291
FRI2,224.35014
ITC4,332.89105
ITF1,158.70615
ITF2,129.15688
ITF3,80.0827
ITF4,67.49848
ITF5,85.94541
ITF6,69.34783
ITG1,28.969719
LT01,261.47247
LT02,256.34723
LU00,244.3181
PL22,299.03
PL41,242.0398
PL42,248.85712
PT18,24.69361
PT20,0.0
PT30,0.0
RO11,300.65103
RO12,342.09198
RO21,289.93146
RO22,180.1323
RO31,240.00009
RO32,223.1992
ITH3,346.84396
ITH4,398.18393
ITH5,190.2508
ITI1,127.885605
ITI2,131.8336
ITI3,153.13786
ITI4,107.81338
LI00,651.1955
FI1D,273.4019
TR82,130.04526
TR83,102.12042
TR90,302.8075
TRA1,106.7452
TRA2,5.990194
PL43,230.59323
PL51,268.18314
PL52,262.49417
PL61,246.4449
PL62,256.0735
PL63,262.76895
PL71,245.29718
PL72,263.75497
PL81,268.92178
PL82,307.69003
PL84,255.09325
PL91,242.89459
PL92,246.27383
PT11,83.375854
PT15,12.436814
TRB1,40.677277
TRB2,2.817206
TRC1,13.902109
RS12,179.13632
RS21,223.1141
RS22,185.38802
SE11,214.88303
SE12,251.65819
NL33,236.36053
NL34,224.2798
NL41,233.76256
NL42,233.58372
PL21,324.60513
UKM6,308.71918
TR22,46.583973
TRC2,9.969284
TRC3,1.5950427
UKC1,225.4028
UKC2,231.8791
UKD1,293.85138
UKD3,264.05716
UKD4,287.50812
UKD6,241.66647
UKD7,263.37033
UKE1,194.81647
UKE2,225.65607
UKE3,207.69894
RO41,242.6033
RO42,248.12679
RS11,192.50214
TR41,70.85011
TR42,130.90005
TR51,53.529247
TR52,36.53936
TR61,39.771286
TR62,57.03802
TR63,30.148224
TR71,43.838013
TR72,58.49819
TR81,170.77774
UKK1,191.1375
UKK2,193.56813
UKK3,200.3819
UKK4,211.45886
UKL1,263.39206
UKL2,245.86032
UKM5,240.86028
UKM7,277.07047
UKM8,313.4244
UKM9,281.06427
UKN0,267.86453
SE21,245.80951
SE22,238.03384
SE23,287.67096
SE31,284.39923
SE32,301.29214
SE33,298.15436
SI03,317.11264
SI04,352.28867
SK01,221.44841
SK02,238.68307
SK03,292.11353
SK04,294.78033
TR10,89.243225
TR21,75.25743
UKE4,234.4067
UKF1,208.7684
UKF2,187.49838
UKF3,191.31921
UKG1,196.94969
UKG2,218.13391
UKG3,203.87837
UKH1,176.6819
UKH2,171.83043
UKH3,172.71065
UKI3,173.99062
UKI4,173.99062
UKI5,175.35054
UKI6,183.44055
UKI7,170.14598
UKJ1,178.16914
UKJ2,174.20618
UKJ3,178.7832
UKJ4,181.25227
NO09,338.5758
NO0A,455.01013
NO0B,93.55298
HR05,233.72829
HR06,240.51547
NO02,342.2259
NO06,388.62265
NO07,320.4227
NO08,321.41867
