nuts,September Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,66.3875
DE60,72.718445
DE71,69.0019
DE72,70.25614
DE73,69.1739
DE80,61.45599
DE91,66.790146
BG41,53.54539
BG42,56.009163
CH01,123.78266
AT32,148.7907
AT33,143.64702
AT34,138.69853
BE10,53.914463
BE23,58.672264
BE24,57.444214
BE25,63.846943
BE31,57.065987
BE32,56.243866
BE33,68.79181
BE34,72.827774
BE35,63.936882
BG31,59.738014
BG32,64.039604
BG33,65.799255
BG34,58.80885
DE92,65.37155
DE93,64.89507
DE94,71.77626
CZ07,82.60955
CZ08,88.9095
AL01,105.7726
AL02,82.52768
AL03,86.79781
AT11,79.36433
AT12,84.53027
AT13,80.4085
AT21,133.01631
AT22,114.127495
AT31,118.37991
DK05,75.70069
BE21,59.870804
BE22,64.053955
ES43,26.542667
ES51,74.92158
ES52,48.8509
ES53,40.003487
ES61,22.494154
ES62,35.620853
ES63,18.472853
ES64,21.041967
CH02,120.24656
CH03,106.15508
CH04,104.55732
CH05,120.77258
CH06,146.8421
CH07,158.3691
CY00,4.6413016
CZ01,65.463104
CZ02,66.51814
CZ03,72.53854
CZ04,66.641685
CZ05,75.255264
CZ06,72.39956
DE40,56.984184
EL53,49.057705
EL54,76.77295
EL61,50.65232
EL62,77.822685
EL63,53.803486
ES70,0.5171293
ITC1,112.97037
ITC2,109.121254
DE11,75.71015
DE12,80.050705
DE13,86.92485
DE14,93.46132
DE21,119.92884
DE22,91.11623
DE23,76.24372
DE24,71.50189
DE25,71.41214
DE26,68.798706
DE27,107.07799
DE30,56.65507
EL42,7.9492164
LV00,73.11439
ME00,109.383484
MK00,51.459236
MT00,38.026455
NL11,75.82405
NL12,85.10613
EL64,37.693016
EL65,26.074461
ES11,58.920742
ES12,72.548355
ES13,65.101555
ES21,54.917416
ES22,53.81084
ES23,39.45012
ES24,47.88671
ES30,24.857172
IE05,80.44316
IE06,74.47804
IS00,148.09183
ITC3,100.32498
FI19,65.75938
FI1B,66.915825
FI1C,66.017136
DEA1,68.72701
DEA2,73.49642
DEA3,66.43168
DEA4,69.47172
DEA5,78.77774
DEB1,68.50699
DEB2,70.28641
DEB3,69.6973
DEC0,73.25582
DED2,72.93673
DED4,72.3591
DED5,61.060173
DEE0,61.00856
DEF0,71.62063
DEG0,66.2141
DK01,63.41769
DK02,63.60757
DK03,72.86773
DK04,77.11868
ES41,34.270947
ES42,27.878225
HU23,67.09017
HU31,59.30448
HU32,59.720146
HU33,60.384155
IE04,97.019005
EE00,73.616615
EL30,15.406429
EL41,18.11781
EL43,12.509753
EL51,42.327156
EL52,52.917706
FI20,62.740322
FR10,51.967422
FRB0,51.200977
FRC1,71.6482
FRC2,99.75224
FRD1,60.090267
FRD2,57.12564
FRE1,55.473934
FRE2,51.39593
FRF1,82.66437
NL13,67.077644
NL21,66.70287
NL22,63.24678
NL23,68.71299
NL31,63.300365
NL32,86.06093
ITG2,38.213303
ITH1,105.57794
ITH2,121.78121
FRI3,54.990665
FRJ1,83.91645
FRJ2,71.55808
FRK1,78.72043
FRK2,92.11311
FRL0,73.23841
FRM0,47.939854
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.615
TR32,13.937443
TR33,15.010835
HR03,114.865616
HR02,93.478096
HU11,56.719624
HU12,55.186855
HU21,62.36166
HU22,77.0389
PT16,38.02963
PT17,19.190504
FRF2,69.53
FRF3,78.00424
FRG0,50.914433
FRH0,55.61949
FRI1,62.553177
FRI2,79.03129
ITC4,110.29601
