nuts,March Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,74.09156
DE60,75.475494
DE71,75.22112
DE72,78.15922
DE73,76.654205
DE80,61.922848
DE91,70.11205
BG41,77.49109
BG42,77.68389
CH01,129.49583
AT32,128.37819
AT33,121.77299
AT34,131.54805
BE10,74.38785
BE23,75.182594
BE24,76.22799
BE25,72.564354
BE31,78.140884
BE32,81.79038
BE33,90.749214
BE34,94.71212
BE35,89.45584
BG31,70.77264
BG32,69.69375
BG33,63.40604
BG34,68.47942
DE92,73.630226
DE93,73.36601
DE94,76.675545
CZ07,67.28251
CZ08,71.75738
AL01,131.90948
AL02,109.62336
AL03,102.358315
AT11,61.29483
AT12,72.412056
AT13,62.224636
AT21,93.546524
AT22,94.83772
AT31,110.97691
DK05,59.11793
BE21,76.21551
BE22,80.2319
ES43,51.678974
ES51,57.658325
ES52,36.269154
ES53,28.608482
ES61,47.206493
ES62,32.72629
ES63,48.299862
ES64,34.364105
CH02,121.63818
CH03,106.08975
CH04,108.6176
CH05,116.07088
CH06,128.20291
CH07,115.95439
CY00,30.322483
CZ01,54.739513
CZ02,60.81923
CZ03,71.181114
CZ04,65.7336
CZ05,72.34351
CZ06,58.77597
DE40,59.638184
EL53,68.710526
EL54,104.11756
EL61,78.803696
EL62,89.21349
EL63,93.43231
ES70,0.8217631
ITC1,103.21221
ITC2,113.45089
DE11,82.06519
DE12,87.18281
DE13,98.30613
DE14,94.43043
DE21,103.60267
DE22,82.60972
DE23,77.638985
DE24,76.31314
DE25,75.58659
DE26,77.74085
DE27,102.014206
DE30,57.78035
EL42,45.061485
LV00,56.725704
ME00,135.93214
MK00,71.64512
MT00,28.372276
NL11,75.71036
NL12,74.17995
EL64,75.81476
EL65,63.835316
ES11,113.57591
ES12,103.51642
ES13,86.12398
ES21,86.63338
ES22,72.374916
ES23,57.076138
ES24,49.32694
ES30,50.7119
IE05,96.41012
IE06,82.3717
IS00,147.86023
ITC3,98.84906
FI19,46.181007
FI1B,50.562557
FI1C,49.386883
DEA1,82.07632
DEA2,86.881035
DEA3,78.023186
DEA4,77.00343
DEA5,91.516396
DEB1,78.961266
DEB2,84.24937
DEB3,72.99309
DEC0,85.89185
DED2,71.090706
DED4,74.88463
DED5,63.277092
DEE0,61.655483
DEF0,72.01759
DEG0,70.58789
DK01,54.54487
DK02,55.48774
DK03,66.76085
DK04,61.881214
ES41,58.67426
ES42,46.555626
HU23,59.24497
HU31,51.455193
HU32,58.781036
HU33,56.83473
IE04,103.95142
EE00,51.922993
EL30,50.45271
EL41,69.168884
EL43,41.263042
EL51,75.75617
EL52,71.10941
FI20,42.305794
FR10,67.75125
FRB0,67.35264
FRC1,80.54774
FRC2,116.4131
FRD1,78.102806
FRD2,76.198006
FRE1,76.98955
FRE2,76.49159
FRF1,90.47544
NL13,73.969955
NL21,77.10159
NL22,77.76478
NL23,76.157036
NL31,75.9473
NL32,75.012634
