nuts,Winter Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,207.46011
DE60,211.47766
DE71,235.51692
DE72,239.11467
DE73,226.08539
DE80,174.70245
DE91,203.93665
BG41,179.72269
BG42,194.9814
CH01,416.6034
AT32,303.12735
AT33,300.92267
AT34,367.17032
BE10,217.55363
BE23,216.64825
BE24,223.19366
BE25,216.48453
BE31,227.66515
BE32,231.87057
BE33,273.87415
BE34,292.0751
BE35,264.83163
BG31,157.46878
BG32,158.909
BG33,154.36412
BG34,179.85579
DE92,211.79837
DE93,204.40536
DE94,218.48505
CZ07,167.69005
CZ08,174.01077
AL01,468.0415
AL02,346.4024
AL03,339.35785
AT11,139.22887
AT12,164.84825
AT13,137.43506
AT21,209.0002
AT22,209.97203
AT31,268.97345
DK05,212.10156
BE21,222.7808
BE22,236.10211
ES43,217.08978
ES51,162.83255
ES52,113.46043
ES53,132.7922
ES61,175.24684
ES62,88.28039
ES63,238.18315
ES64,95.89466
CH02,381.0794
CH03,313.9542
CH04,309.56705
CH05,309.55185
CH06,374.48477
CH07,297.0335
CY00,193.72446
CZ01,142.03314
CZ02,156.89961
CZ03,182.62245
CZ04,183.55328
CZ05,186.25337
CZ06,140.99863
DE40,168.84532
EL53,213.7005
EL54,409.92377
EL61,283.92413
EL62,417.052
EL63,370.2096
ES70,4.911804
ITC1,256.66187
ITC2,340.53925
DE11,255.61942
DE12,283.25635
DE13,309.41458
DE14,272.58496
DE21,265.10794
DE22,243.14612
DE23,237.66286
DE24,239.6725
DE25,233.04532
DE26,240.4109
DE27,279.1596
DE30,165.10788
EL42,240.82962
LV00,169.6695
ME00,484.7005
MK00,195.99774
MT00,183.9189
NL11,216.08577
NL12,238.7499
EL64,270.79572
EL65,254.60257
ES11,423.58786
ES12,342.17407
ES13,285.8035
ES21,298.7647
ES22,232.26532
ES23,174.07578
ES24,143.33789
ES30,160.27199
IE05,321.13504
IE06,254.49904
IS00,458.292
ITC3,296.50937
FI19,147.67896
FI1B,181.27716
FI1C,164.94083
DEA1,251.46169
DEA2,271.92526
DEA3,236.34549
DEA4,232.10664
DEA5,285.28656
DEB1,244.82321
DEB2,256.16757
DEB3,223.18414
DEC0,280.02606
DED2,195.28412
DED4,214.59378
DED5,176.40207
DEE0,171.04507
DEF0,210.38547
DEG0,201.4177
DK01,189.32268
DK02,179.60002
DK03,208.5353
DK04,207.09543
ES41,194.21376
ES42,150.49779
HU23,164.28108
HU31,140.13777
HU32,153.8814
HU33,150.62663
IE04,357.5691
EE00,168.26756
EL30,175.92131
EL41,293.9649
EL43,233.6843
EL51,231.267
EL52,210.98866
FI20,159.25833
FR10,206.31357
FRB0,216.14322
FRC1,268.37982
FRC2,383.18558
FRD1,255.21945
FRD2,226.85503
FRE1,230.57993
FRE2,223.3554
FRF1,296.5752
NL13,203.94669
NL21,215.72606
NL22,221.24258
NL23,221.71059
NL31,213.37257
NL32,242.96133
ITG2,180.21835
ITH1,204.45447
ITH2,207.34648
FRI3,236.33049
FRJ1,239.00119
FRJ2,257.2048
FRK1,253.50919
FRK2,317.0383
FRL0,230.5511
FRM0,232.69334
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,316.95038
TR32,306.44153
TR33,195.93283
HR03,363.615
HR02,216.0468
HU11,139.86841
HU12,142.69756
HU21,149.16367
HU22,147.87521
PT16,297.61646
PT17,226.82
FRF2,269.7879
FRF3,296.0449
FRG0,226.2999
FRH0,272.40878
FRI1,267.78363
FRI2,290.6548
ITC4,210.43597
ITF1,261.68396
ITF2,248.30888
ITF3,336.9667
ITF4,194.35526
ITF5,216.53119
ITF6,302.61142
ITG1,208.74156
LT01,174.08597
LT02,171.21156
LU00,269.3516
PL22,181.84955
PL41,157.25882
PL42,180.08246
PT18,202.05334
PT20,0.0
PT30,0.0
RO11,206.44234
RO12,161.0884
RO21,128.69028
RO22,131.13416
RO31,146.11707
RO32,135.49748
ITH3,208.3362
ITH4,288.0185
ITH5,224.96677
ITI1,246.1559
ITI2,245.02269
ITI3,226.63701
ITI4,291.54913
LI00,395.93228
FI1D,136.65633
TR82,237.79688
TR83,213.5256
TR90,313.66745
TRA1,180.60928
TRA2,6.6615887
PL43,167.86066
PL51,179.02031
PL52,155.29916
PL61,149.96318
PL62,165.3675
PL63,176.02258
PL71,156.5006
PL72,152.25746
PL81,158.52376
PL82,185.90614
PL84,157.4964
PL91,155.12202
PL92,153.38937
PT11,368.5794
PT15,187.02187
TRB1,314.51276
TRB2,21.16652
TRC1,278.24887
RS12,164.4874
RS21,203.8366
RS22,179.5611
SE11,151.93246
SE12,150.81929
NL33,223.10327
NL34,217.18996
NL41,220.54007
NL42,230.27626
PL21,183.75542
UKM6,445.76584
TR22,284.08716
TRC2,248.85909
TRC3,51.97513
UKC1,230.79584
UKC2,230.00351
UKD1,378.29147
UKD3,286.2595
UKD4,350.4378
UKD6,231.09933
UKD7,275.71222
UKE1,182.04318
UKE2,242.4028
UKE3,196.85765
RO41,163.88693
RO42,200.73369
RS11,173.70456
TR41,213.85614
TR42,280.04404
TR51,165.70874
TR52,169.52066
TR61,301.0088
TR62,303.97974
TR63,301.08017
TR71,162.43541
TR72,192.8918
TR81,312.0955
UKK1,208.30034
UKK2,247.71565
UKK3,310.5097
UKK4,280.9631
UKL1,356.56464
UKL2,290.2668
UKM5,261.2654
UKM7,335.10812
UKM8,422.1394
UKM9,347.6964
UKN0,304.70038
SE21,170.42415
SE22,182.55159
SE23,205.80843
SE31,161.03963
SE32,178.54318
SE33,178.2288
SI03,227.66428
SI04,289.17807
SK01,135.80754
SK02,158.08328
SK03,183.34846
SK04,166.58044
TR10,268.77136
TR21,220.672
UKE4,244.59554
UKF1,195.45456
UKF2,167.01709
UKF3,167.28934
UKG1,191.56326
UKG2,215.88628
UKG3,186.28981
UKH1,175.22466
UKH2,167.98773
UKH3,177.3197
UKI3,177.67052
UKI4,177.67052
UKI5,172.89333
UKI6,183.36208
UKI7,177.74673
UKJ1,179.17674
UKJ2,225.77393
UKJ3,226.62663
UKJ4,205.92346
NO09,380.9841
NO0A,609.8859
NO0B,194.07819
HR05,206.91089
HR06,197.06677
NO02,202.68207
NO06,353.80804
NO07,290.45465
NO08,230.62064
