nuts,September Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,67.637985
DE60,72.30086
DE71,66.74667
DE72,71.07209
DE73,68.02175
DE80,62.293453
DE91,65.3032
BG41,50.17531
BG42,49.582535
CH01,118.96736
AT32,141.25595
AT33,130.16289
AT34,131.71016
BE10,60.124012
BE23,63.419037
BE24,61.701195
BE25,67.49081
BE31,62.404156
BE32,59.9401
BE33,71.6413
BE34,71.93147
BE35,67.3758
BG31,52.79843
BG32,50.166817
BG33,51.910305
BG34,50.463844
DE92,65.26048
DE93,67.70144
DE94,74.38341
CZ07,78.90392
CZ08,87.42523
AL01,102.71223
AL02,76.895004
AL03,75.62682
AT11,80.50061
AT12,86.06048
AT13,78.75945
AT21,129.80397
AT22,121.47535
AT31,112.18293
DK05,80.14161
BE21,64.04565
BE22,66.163315
ES43,29.465668
ES51,73.93402
ES52,55.81253
ES53,42.88784
ES61,26.95827
ES62,39.08122
ES63,25.459293
ES64,22.838493
CH02,119.66168
CH03,110.22766
CH04,105.39627
CH05,119.106606
CH06,144.67137
CH07,166.70291
CY00,5.5071187
CZ01,58.651512
CZ02,63.938007
CZ03,70.508934
CZ04,65.45681
CZ05,73.441536
CZ06,71.54176
DE40,58.981552
EL53,46.16753
EL54,70.470245
EL61,49.764626
EL62,75.39711
EL63,50.223354
ES70,0.5306762
ITC1,115.57826
ITC2,104.92395
DE11,70.87342
DE12,74.33771
DE13,88.22763
DE14,90.32142
DE21,107.08954
DE22,82.43165
DE23,72.393616
DE24,68.948715
DE25,66.22585
DE26,64.657524
DE27,98.21675
DE30,56.077465
EL42,8.670045
LV00,70.93729
ME00,113.01464
MK00,47.316586
MT00,39.174183
NL11,81.321175
NL12,95.53663
EL64,38.003647
EL65,27.33298
ES11,65.28762
ES12,77.78923
ES13,69.5438
ES21,61.25407
ES22,58.78077
ES23,42.790318
ES24,51.037975
ES30,25.717457
IE05,84.528694
IE06,76.18238
IS00,138.84929
ITC3,97.50143
FI19,65.95662
FI1B,69.213394
FI1C,67.97164
DEA1,70.635155
DEA2,73.72932
DEA3,70.59586
DEA4,68.51146
DEA5,80.86512
DEB1,69.19271
DEB2,67.93216
DEB3,64.16129
DEC0,69.30674
DED2,69.247604
DED4,71.860664
DED5,60.10984
DEE0,60.52412
DEF0,73.96308
DEG0,64.178566
DK01,71.977165
DK02,66.88673
DK03,77.61549
DK04,80.841896
ES41,38.155445
ES42,29.284203
HU23,69.439995
HU31,58.94535
HU32,56.88368
HU33,55.142326
IE04,103.08652
EE00,73.85654
EL30,15.887982
EL41,17.189844
EL43,13.957473
EL51,36.18087
EL52,46.674973
FI20,64.159
FR10,50.60879
FRB0,51.74494
FRC1,69.62741
FRC2,97.37308
FRD1,60.314014
FRD2,57.803726
FRE1,60.02669
FRE2,54.930798
FRF1,81.6815
NL13,73.38088
NL21,70.066246
NL22,66.46225
NL23,78.22158
NL31,71.297905
NL32,94.700676
ITG2,39.777752
ITH1,102.94271
ITH2,114.42046
FRI3,54.288246
FRJ1,77.37788
FRJ2,69.70207
FRK1,75.18777
FRK2,90.83941
FRL0,69.71107
FRM0,50.120594
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,19.505665
TR32,16.983004
TR33,17.21028
HR03,114.88703
HR02,86.424255
HU11,54.675987
HU12,56.991177
HU21,63.501934
HU22,74.57673
PT16,42.55886
PT17,22.833271
FRF2,67.377716
FRF3,78.09748
FRG0,48.87363
FRH0,55.723385
FRI1,67.43352
FRI2,77.24049
ITC4,111.16381
ITF1,77.50423
ITF2,67.36935
ITF3,78.7095
ITF4,50.774216
ITF5,50.84178
ITF6,72.2551
ITG1,57.33097
LT01,69.17007
LT02,68.76664
LU00,69.73802
PL22,83.34846
PL41,58.256096
PL42,67.493866
PT18,25.143635
PT20,0.0
PT30,0.0
RO11,71.930626
RO12,73.04251
RO21,63.233715
RO22,45.89677
RO31,52.139484
RO32,48.118076
ITH3,118.75809
ITH4,159.6641
ITH5,88.34121
ITI1,90.179565
ITI2,80.224205
ITI3,73.80065
ITI4,87.52893
LI00,154.10268
FI1D,65.386826
TR82,49.51153
TR83,39.615963
TR90,113.1095
TRA1,26.663857
TRA2,1.5662917
PL43,56.57816
PL51,69.38148
PL52,70.2194
PL61,56.527485
PL62,68.001854
PL63,69.48778
PL71,61.95023
PL72,70.3825
PL81,69.83047
PL82,85.6033
PL84,65.01325
PL91,63.875248
PL92,62.208557
PT11,54.830254
PT15,19.337543
TRB1,16.071436
TRB2,0.85097206
TRC1,7.6859193
RS12,53.735935
RS21,62.70685
RS22,52.860657
SE11,61.11934
SE12,63.153545
NL33,80.8081
NL34,70.84691
NL41,67.02126
NL42,65.55133
PL21,87.090034
UKM6,133.36723
TR22,27.781523
TRC2,6.01354
TRC3,1.0080016
UKC1,70.16442
UKC2,68.67711
UKD1,103.21751
UKD3,83.67796
UKD4,98.23835
UKD6,73.913895
UKD7,89.41291
UKE1,59.898083
UKE2,71.71309
UKE3,60.997864
RO41,60.60638
RO42,68.35498
RS11,59.511795
TR41,28.664888
TR42,46.40354
TR51,14.670299
TR52,12.720767
TR61,18.04062
TR62,27.19051
TR63,17.236008
TR71,14.525027
TR72,21.313301
TR81,62.424145
UKK1,60.091587
UKK2,64.68414
UKK3,65.94432
UKK4,66.84857
UKL1,95.631584
UKL2,78.6574
UKM5,80.2552
UKM7,95.47319
UKM8,121.656784
UKM9,101.35039
UKN0,89.500656
SE21,64.43945
SE22,66.13608
SE23,82.24211
SE31,72.347015
SE32,80.28397
SE33,77.75556
SI03,119.34432
SI04,147.06828
SK01,68.29589
SK02,67.82369
SK03,80.80516
SK04,73.582306
TR10,46.846367
TR21,36.035755
UKE4,71.33036
UKF1,61.27459
UKF2,54.431763
UKF3,57.14874
UKG1,59.586452
UKG2,66.06485
UKG3,60.790993
UKH1,54.744682
UKH2,50.26049
UKH3,48.997044
UKI3,46.40768
UKI4,46.40768
UKI5,46.947906
UKI6,48.394436
UKI7,47.973156
UKJ1,54.483337
UKJ2,58.273552
UKJ3,58.21044
UKJ4,52.312954
NO09,129.65738
NO0A,206.4784
NO0B,56.14475
HR05,99.15871
