nuts,Spring Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,192.88634
DE60,188.83876
DE71,214.09695
DE72,220.40163
DE73,219.91823
DE80,166.78322
DE91,197.46841
BG41,268.59064
BG42,245.5697
CH01,435.18475
AT32,409.22092
AT33,415.44775
AT34,438.0623
BE10,196.69823
BE23,199.38979
BE24,202.76955
BE25,193.98691
BE31,207.60638
BE32,209.99564
BE33,241.52255
BE34,250.65794
BE35,235.84755
BG31,239.42038
BG32,219.55067
BG33,189.37862
BG34,203.85904
DE92,195.45688
DE93,186.70314
DE94,191.26302
CZ07,212.21461
CZ08,231.33408
AL01,404.0185
AL02,324.3955
AL03,282.0875
AT11,197.11615
AT12,238.5703
AT13,187.22069
AT21,342.7175
AT22,314.9341
AT31,337.6954
DK05,155.74304
BE21,200.08781
BE22,210.95248
ES43,168.33043
ES51,206.93402
ES52,131.66692
ES53,95.586
ES61,154.15213
ES62,102.022255
ES63,141.43735
ES64,101.34345
CH02,420.62726
CH03,375.00192
CH04,357.78223
CH05,389.1359
CH06,455.3068
CH07,459.81317
CY00,74.47735
CZ01,181.97153
CZ02,191.71669
CZ03,230.52492
CZ04,206.2549
CZ05,205.8283
CZ06,192.57826
DE40,172.04395
EL53,214.23055
EL54,285.75854
EL61,199.75163
EL62,184.47762
EL63,228.54254
ES70,2.2149825
ITC1,389.1883
ITC2,421.61578
DE11,258.7269
DE12,274.20096
DE13,317.06345
DE14,321.63135
DE21,344.25186
DE22,260.77396
DE23,232.86952
DE24,216.83194
DE25,226.34273
DE26,218.0637
DE27,341.88052
DE30,168.17133
EL42,89.076164
LV00,162.98213
ME00,414.54944
MK00,235.12415
MT00,55.630127
NL11,189.1826
NL12,178.81754
EL64,186.10103
EL65,151.36426
ES11,338.64795
ES12,351.6995
ES13,310.3474
ES21,292.80734
ES22,257.5829
ES23,224.45428
ES24,187.19394
ES30,172.74974
IE05,245.29877
IE06,218.96892
IS00,319.7761
ITC3,296.66342
FI19,133.72171
FI1B,128.95612
FI1C,130.37521
DEA1,211.27248
DEA2,233.33873
DEA3,202.63791
DEA4,207.02808
DEA5,245.63553
DEB1,219.64641
DEB2,226.1469
DEB3,214.4178
DEC0,238.77191
DED2,197.88412
DED4,224.8115
DED5,178.823
DEE0,174.4958
DEF0,180.54605
DEG0,204.44487
DK01,143.20132
DK02,142.46037
DK03,165.94742
DK04,163.8454
ES41,209.10713
ES42,163.34541
HU23,182.19997
HU31,192.63493
HU32,189.72662
HU33,174.13512
IE04,266.29346
EE00,141.01918
EL30,104.06716
EL41,131.00403
EL43,94.343666
EL51,202.74838
EL52,192.1085
FI20,107.1638
FR10,196.61615
FRB0,213.53937
FRC1,268.27203
FRC2,364.1982
FRD1,207.98045
FRD2,210.1139
FRE1,200.40607
FRE2,206.4114
FRF1,285.99597
NL13,188.98021
NL21,196.41412
NL22,199.13899
NL23,196.68208
NL31,199.09734
NL32,181.14835
ITG2,164.84203
ITH1,335.38345
ITH2,384.49017
FRI3,217.73488
FRJ1,253.94327
FRJ2,304.68787
FRK1,292.4959
FRK2,340.56213
FRL0,242.80785
FRM0,200.63579
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,177.67883
TR32,170.46683
TR33,175.5746
HR03,321.93234
HR02,233.53448
HU11,169.69414
HU12,178.86029
HU21,179.7048
HU22,185.71162
PT16,226.52803
PT17,156.86005
FRF2,240.87198
FRF3,259.22928
FRG0,202.03569
FRH0,212.38585
FRI1,276.90933
FRI2,302.12302
ITC4,336.739
ITF1,262.3706
ITF2,229.82678
ITF3,254.23529
ITF4,151.86588
ITF5,189.90356
ITF6,208.64395
ITG1,128.52347
LT01,181.39713
LT02,170.34973
LU00,234.60365
PL22,228.23933
PL41,163.26334
PL42,171.02367
PT18,155.16023
PT20,0.0
PT30,0.0
RO11,272.9042
RO12,285.72003
RO21,231.70251
RO22,172.53003
RO31,219.35309
RO32,192.96492
ITH3,330.20206
ITH4,409.5241
ITH5,268.9596
ITI1,243.91617
ITI2,264.82404
ITI3,235.50342
ITI4,265.2678
LI00,486.8731
FI1D,141.5853
TR82,262.02087
TR83,262.54752
TR90,359.5827
TRA1,240.53151
TRA2,8.50708
PL43,171.69838
PL51,195.63344
PL52,193.00096
PL61,161.73936
PL62,176.1515
PL63,169.77017
PL71,178.4873
PL72,193.03609
PL81,196.87776
PL82,227.36484
PL84,179.99234
PL91,178.43184
PL92,179.57658
PT11,275.27698
PT15,127.3795
TRB1,292.42133
TRB2,21.356276
TRC1,191.5752
RS12,194.5361
RS21,264.16974
RS22,238.77211
SE11,118.27353
SE12,138.72769
NL33,192.73914
NL34,189.8792
NL41,197.36198
NL42,203.06624
PL21,244.28754
UKM6,290.53284
TR22,181.52328
TRC2,185.75551
TRC3,39.18467
UKC1,197.40645
UKC2,194.91063
UKD1,253.69917
