nuts,Annual Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,866.7073
DE60,887.7285
DE71,892.7376
DE72,907.13934
DE73,897.7143
DE80,754.9566
DE91,840.06274
BG41,851.9705
BG42,836.7921
CH01,1721.3464
AT32,1608.5975
AT33,1618.0239
AT34,1758.0188
BE10,835.6018
BE23,826.63947
BE24,856.9242
BE25,826.23816
BE31,872.6545
BE32,863.755
BE33,1015.1638
BE34,1037.309
BE35,973.47235
BG31,774.7931
BG32,755.84607
BG33,689.137
BG34,741.34796
DE92,853.0977
DE93,857.0926
DE94,892.2494
CZ07,865.7485
CZ08,933.306
AL01,1478.89
AL02,1121.2009
AL03,1080.4086
AT11,764.48706
AT12,897.97705
AT13,733.5185
AT21,1359.0709
AT22,1227.4231
AT31,1298.153
DK05,847.06134
BE21,850.2051
BE22,897.2294
ES43,556.94794
ES51,735.3063
ES52,474.9497
ES53,413.82574
ES61,498.133
ES62,342.246
ES63,586.5669
ES64,308.91458
CH02,1650.0457
CH03,1412.4482
CH04,1392.7964
CH05,1525.6351
CH06,1839.963
CH07,1731.7905
CY00,369.68198
CZ01,717.102
CZ02,752.28723
CZ03,879.61914
CZ04,829.5393
CZ05,873.01587
CZ06,757.65125
DE40,722.4478
EL53,748.64685
EL54,1194.566
EL61,802.05664
EL62,1076.2942
EL63,1008.2959
ES70,11.542608
ITC1,1353.7136
ITC2,1519.1841
DE11,995.52466
DE12,1056.0272
DE13,1240.5798
DE14,1227.6742
DE21,1336.5626
DE22,1036.4962
DE23,950.76013
DE24,930.03815
DE25,918.13104
DE26,908.4823
DE27,1327.9622
DE30,708.1727
EL42,460.344
LV00,798.4078
ME00,1566.9214
MK00,765.80237
MT00,419.65363
NL11,920.00244
NL12,954.7274
EL64,723.1508
EL65,642.31287
ES11,1223.7927
ES12,1260.3597
ES13,1111.3936
ES21,1075.7129
ES22,890.2219
ES23,704.3121
ES24,635.69086
ES30,522.80444
IE05,1111.8542
IE06,954.59094
IS00,1480.4493
ITC3,1142.7566
FI19,734.7652
FI1B,749.7979
FI1C,747.76575
DEA1,942.71796
DEA2,1001.3108
DEA3,908.6844
DEA4,912.2516
DEA5,1067.4467
DEB1,898.5947
DEB2,935.6034
DEB3,850.9891
DEC0,963.172
DED2,850.7035
DED4,933.7698
DED5,751.31604
DEE0,733.244
DEF0,860.3358
DEG0,844.4114
DK01,778.5862
DK02,748.16077
DK03,857.9787
DK04,846.9858
ES41,652.84784
ES42,504.10144
HU23,735.1065
HU31,692.37286
HU32,699.85376
HU33,659.35333
IE04,1276.793
EE00,788.8628
EL30,432.50253
EL41,621.04175
EL43,468.8211
EL51,755.26324
EL52,733.9561
FI20,653.7578
FR10,767.4528
FRB0,796.4359
FRC1,1009.8924
FRC2,1405.6082
FRD1,876.67773
FRD2,844.46716
FRE1,844.6198
FRE2,827.5523
FRF1,1124.7343
NL13,858.27344
NL21,880.0613
NL22,877.05194
NL23,904.51654
NL31,878.00214
NL32,968.0606
ITG2,531.9937
ITH1,1288.7124
ITH2,1401.2406
FRI3,835.7331
FRJ1,932.29675
FRJ2,1059.6378
FRK1,1035.8201
FRK2,1261.8308
FRL0,882.21063
FRM0,712.8184
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,723.48676
TR32,689.2547
TR33,539.1734
HR03,1296.205
HR02,929.18585
HU11,633.9303
HU12,654.90894
HU21,696.60986
HU22,732.99194
PT16,786.29
PT17,553.2174
FRF2,963.6399
FRF3,1057.3334
FRG0,782.145
FRH0,866.68823
FRI1,1010.0182
FRI2,1099.456
ITC4,1198.8632
ITF1,958.98126
ITF2,865.6921
ITF3,1046.2168
ITF4,604.3141
ITF5,686.37866
ITF6,870.08875
ITG1,568.45886
LT01,804.9803
LT02,793.1682
LU00,971.97955
PL22,902.8504
PL41,708.65594
PL42,786.8023
PT18,516.3605
PT20,0.0
PT30,0.0
RO11,969.25433
RO12,963.6364
RO21,791.6485
RO22,633.9666
RO31,772.5406
RO32,721.1278
ITH3,1247.3148
ITH4,1622.5602
ITH5,957.95184
ITI1,948.6703
ITI2,941.64795
ITI3,857.47705
ITI4,1028.6996
LI00,1957.9675
FI1D,726.6806
TR82,814.9307
TR83,751.4563
TR90,1320.5046
TRA1,667.7588
TRA2,27.356178
PL43,729.53394
PL51,829.0325
PL52,797.5722
PL61,702.803
PL62,782.50116
PL63,795.46106
PL71,734.22754
PL72,759.0247
PL81,765.4371
PL82,908.39197
PL84,757.46326
PL91,735.715
PL92,728.141
PT11,1007.54706
PT15,451.9821
TRB1,801.7446
TRB2,55.309322
TRC1,612.2279
RS12,706.46045
RS21,887.0035
RS22,777.32074
SE11,663.9389
SE12,714.1721
NL33,904.4072
NL34,855.8672
NL41,856.696
NL42,880.07166
PL21,963.39264
UKM6,1503.7349
TR22,711.6037
TRC2,567.8803
TRC3,114.09361
UKC1,872.1376
UKC2,882.0068
UKD1,1277.3585
UKD3,1072.9652
UKD4,1229.4585
UKD6,925.6093
UKD7,1058.6022
UKE1,753.2264
UKE2,911.24744
UKE3,805.2609
RO41,844.67816
RO42,915.6813
RS11,754.28625
TR41,615.68835
TR42,850.27466
TR51,484.64246
TR52,463.6238
TR61,722.70575
TR62,807.49286
TR63,710.7061
TR71,486.32098
TR72,615.23016
TR81,999.42834
UKK1,809.6792
UKK2,888.87177
UKK3,1014.4015
UKK4,975.3591
UKL1,1218.822
UKL2,1045.6088
UKM5,986.58246
UKM7,1172.1406
UKM8,1441.064
UKM9,1220.3837
UKN0,1110.7139
SE21,735.9391
SE22,787.3215
SE23,915.7516
SE31,813.44226
SE32,868.22766
SE33,837.3264
SI03,1175.9475
SI04,1448.7734
SK01,694.6124
SK02,770.33795
SK03,941.7023
SK04,867.3323
TR10,730.7911
TR21,668.36847
UKE4,929.6707
UKF1,803.17017
UKF2,725.0875
UKF3,721.991
UKG1,784.2359
UKG2,844.57196
UKG3,785.4375
UKH1,725.4924
UKH2,700.4273
UKH3,705.4552
UKI3,706.4196
UKI4,706.4196
UKI5,699.16974
UKI6,724.9996
UKI7,705.2936
UKJ1,736.4428
UKJ2,801.564
UKJ3,806.8534
UKJ4,763.09973
NO09,1403.5103
NO0A,2088.348
NO0B,625.303
HR05,941.7894
HR06,915.92444
NO02,1013.2065
NO06,1386.144
NO07,1157.9664
NO08,1063.6002
