nuts,October Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,70.30591
DE60,73.93014
DE71,68.20182
DE72,64.72393
DE73,62.298294
DE80,58.71505
DE91,59.64074
BG41,56.91094
BG42,61.070286
CH01,123.17185
AT32,107.644295
AT33,107.62021
AT34,111.49721
BE10,64.61636
BE23,67.742805
BE24,66.60163
BE25,75.01292
BE31,67.89025
BE32,70.359825
BE33,77.589645
BE34,80.652794
BE35,76.59277
BG31,48.381634
BG32,52.581207
BG33,53.298355
BG34,61.053043
DE92,67.56641
DE93,69.34779
DE94,76.96281
CZ07,54.061497
CZ08,57.266125
AL01,137.07329
AL02,103.69734
AL03,109.351364
AT11,57.611855
AT12,56.532368
AT13,49.05111
AT21,119.7404
AT22,87.276985
AT31,83.42555
DK05,96.171455
BE21,67.34048
BE22,70.27902
ES43,68.48493
ES51,79.22106
ES52,56.1749
ES53,55.278896
ES61,50.658665
ES62,34.399384
ES63,62.796104
ES64,34.41989
CH02,116.256874
CH03,99.8464
CH04,94.54195
CH05,112.77429
CH06,127.624214
CH07,164.33473
CY00,27.326965
CZ01,43.35824
CZ02,46.966877
CZ03,55.167652
CZ04,53.616768
CZ05,53.147694
CZ06,44.767498
DE40,48.84105
EL53,66.33135
EL54,123.67094
EL61,77.26868
EL62,136.02785
EL63,99.09846
ES70,1.3921672
ITC1,127.80071
ITC2,126.36831
DE11,74.90428
DE12,80.7112
DE13,91.51126
DE14,82.71671
DE21,85.38445
DE22,68.70359
DE23,64.98215
DE24,66.24121
DE25,64.695175
DE26,68.921906
DE27,83.91703
DE30,47.764347
EL42,33.976818
LV00,73.59748
ME00,150.54216
MK00,67.23536
MT00,60.020355
NL11,81.28899
NL12,100.80316
EL64,65.21221
EL65,57.198063
ES11,134.27
ES12,114.72939
ES13,91.04112
ES21,89.017166
ES22,79.809395
ES23,57.737225
ES24,58.39746
ES30,55.862877
IE05,113.008156
IE06,89.85101
IS00,163.94278
ITC3,130.10576
FI19,66.86339
FI1B,78.52336
FI1C,72.279396
DEA1,75.21266
DEA2,78.78555
DEA3,73.55858
DEA4,73.10831
DEA5,80.99128
DEB1,71.35252
DEB2,75.0493
DEB3,70.0654
DEC0,82.44346
DED2,53.687508
DED4,60.316242
DED5,49.80821
DEE0,48.839977
DEF0,77.55293
DEG0,56.927982
DK01,77.83092
DK02,75.21408
DK03,84.97786
DK04,91.57931
ES41,64.84306
ES42,50.56191
HU23,58.899017
HU31,50.610764
HU32,51.691296
HU33,51.26712
IE04,126.11514
EE00,76.87995
EL30,38.647423
EL41,45.936584
EL43,37.745205
EL51,63.755264
EL52,68.479454
FI20,75.03751
FR10,68.84811
FRB0,72.855675
FRC1,86.84451
FRC2,113.30171
FRD1,81.44263
FRD2,78.75598
FRE1,77.769035
FRE2,72.68786
FRF1,88.92489
NL13,72.39441
NL21,74.288864
NL22,70.39794
NL23,83.14303
NL31,75.54676
NL32,104.2542
ITG2,55.40787
ITH1,103.94583
ITH2,128.68869
FRI3,80.62065
FRJ1,116.48642
FRJ2,89.958496
FRK1,90.700035
FRK2,115.12428
FRL0,98.9288
FRM0,86.03276
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,54.08897
TR32,49.663517
TR33,38.657024
HR03,140.5586
HR02,77.493195
HU11,49.42683
HU12,50.954987
HU21,50.599003
HU22,57.092583
PT16,100.28723
PT17,63.89016
FRF2,82.73768
FRF3,88.681854
FRG0,76.42137
FRH0,88.32469
FRI1,87.088974
FRI2,96.69801
ITC4,116.47857
ITF1,89.03994
ITF2,83.32516
ITF3,115.96812
ITF4,68.60105
ITF5,66.98886
ITF6,91.62431
ITG1,74.2364
LT01,58.584667
LT02,66.51411
LU00,77.02462
PL22,57.425133
PL41,43.964405
PL42,58.06697
PT18,63.929527
PT20,0.0
PT30,0.0
RO11,64.5217
RO12,55.816433
RO21,48.064182
RO22,46.159443
RO31,51.650517
RO32,48.690716
ITH3,122.05179
ITH4,176.58075
ITH5,99.10469
ITI1,114.8714
ITI2,90.93341
ITI3,80.85954
ITI4,120.0975
LI00,124.87407
FI1D,64.76988
TR82,71.696884
TR83,62.69227
TR90,136.46811
TRA1,53.75227
TRA2,2.3408194
PL43,47.117958
PL51,50.82696
PL52,50.358692
PL61,45.153423
PL62,56.995472
PL63,60.545544
PL71,46.297596
PL72,47.742466
PL81,49.28328
PL82,60.027473
PL84,50.37914
PL91,47.14112
PL92,47.76324
PT11,127.130035
PT15,52.796345
TRB1,59.280216
TRB2,4.086759
TRC1,44.804203
RS12,52.202915
RS21,58.439384
RS22,50.798496
SE11,61.95734
SE12,60.2821
NL33,86.41884
NL34,75.798355
NL41,68.84949
NL42,69.242516
PL21,59.00352
UKM6,165.4457
TR22,64.65215
TRC2,42.338074
TRC3,7.900232
UKC1,73.99891
UKC2,76.77745
UKD1,136.58304
UKD3,102.27927
UKD4,127.832954
UKD6,87.575745
UKD7,107.56824
UKE1,67.0937
UKE2,81.786224
UKE3,71.45509
RO41,53.996193
RO42,58.949684
RS11,51.30535
TR41,51.440346
TR42,77.79253
TR51,33.367546
TR52,29.15594
TR61,50.0066
TR62,48.631367
TR63,50.998688
TR71,30.78515
TR72,47.591667
TR81,95.34829
UKK1,80.6594
UKK2,95.49482
UKK3,108.857
UKK4,103.84025
UKL1,134.2044
UKL2,102.801956
UKM5,99.246056
UKM7,119.27348
UKM8,155.0088
UKM9,129.55981
UKN0,108.731636
SE21,66.524765
SE22,73.39622
SE23,89.69259
SE31,75.681885
SE32,78.10841
SE33,76.82742
SI03,109.00817
SI04,152.55737
SK01,45.619705
SK02,49.341446
SK03,59.704437
SK04,55.497013
TR10,80.05728
TR21,69.32596
UKE4,83.54267
UKF1,72.86423
UKF2,66.08156
UKF3,65.3713
UKG1,73.71891
UKG2,78.787476
UKG3,72.314156
UKH1,67.68521
UKH2,62.58791
UKH3,65.58886
UKI3,61.47449
UKI4,61.47449
UKI5,60.770466
UKI6,63.88848
UKI7,62.76592
UKJ1,68.954475
UKJ2,84.8691
UKJ3,85.04442
UKJ4,77.57124
NO09,155.92706
NO0A,224.652
NO0B,71.20014
HR05,84.11289
HR06,77.93551
NO02,91.294785
NO06,128.90047
NO07,122.64491
NO08,104.90273
