nuts,March Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,63.727856
DE60,62.258457
DE71,68.136345
DE72,67.85893
DE73,67.508766
DE80,53.313995
DE91,63.279354
BG41,72.82897
BG42,78.63664
CH01,120.81776
AT32,120.23391
AT33,114.92035
AT34,122.725624
BE10,64.13606
BE23,62.26207
BE24,66.753815
BE25,60.45111
BE31,68.33344
BE32,68.36626
BE33,80.59967
BE34,82.60392
BE35,77.9154
BG31,64.162636
BG32,65.55927
BG33,60.674366
BG34,66.50743
DE92,65.35158
DE93,61.993183
DE94,64.94535
CZ07,57.223324
CZ08,62.09946
AL01,144.48979
AL02,115.4862
AL03,110.1319
AT11,52.078815
AT12,64.007744
AT13,52.789146
AT21,92.74919
AT22,84.707794
AT31,97.8306
DK05,53.323906
BE21,65.12512
BE22,70.44636
ES43,52.90138
ES51,56.545628
ES52,41.958954
ES53,30.433764
ES61,53.81184
ES62,38.71562
ES63,67.812256
ES64,46.678272
CH02,113.58511
CH03,96.307785
CH04,94.24114
CH05,100.86625
CH06,119.022446
CH07,113.74993
CY00,38.6265
CZ01,50.712578
CZ02,55.63617
CZ03,64.93349
CZ04,59.57525
CZ05,63.06225
CZ06,50.7783
DE40,54.45519
EL53,74.60081
EL54,120.030876
EL61,82.85516
EL62,95.30353
EL63,106.1695
ES70,1.1979742
ITC1,107.87869
ITC2,111.05661
DE11,77.57987
DE12,82.77344
DE13,86.07329
DE14,84.41812
DE21,94.85058
DE22,76.80491
DE23,69.536545
DE24,67.86608
DE25,68.34115
DE26,68.603386
DE27,92.3396
DE30,54.324234
EL42,53.577293
LV00,48.21819
ME00,139.9237
MK00,70.65552
MT00,29.404306
NL11,62.620018
NL12,62.56148
EL64,88.7825
EL65,79.12226
ES11,106.4077
ES12,106.98793
ES13,98.787186
ES21,97.8935
ES22,75.203354
ES23,59.788815
ES24,48.121445
ES30,46.068478
IE05,85.36383
IE06,71.610535
IS00,133.86751
ITC3,101.89341
FI19,38.416508
FI1B,43.14446
FI1C,42.01354
DEA1,73.06402
DEA2,77.685776
DEA3,70.40854
DEA4,70.10298
DEA5,80.753975
DEB1,69.88224
DEB2,72.898705
DEB3,66.4091
DEC0,77.41392
DED2,66.81504
DED4,69.98275
DED5,57.457935
DEE0,53.744404
DEF0,58.992603
DEG0,61.71452
DK01,47.519817
DK02,47.33845
DK03,56.753365
DK04,54.451534
ES41,56.533966
ES42,47.870083
HU23,49.941013
HU31,46.51625
HU32,48.002712
HU33,46.666424
IE04,97.10351
EE00,42.168472
EL30,60.109505
EL41,74.13267
EL43,50.988388
EL51,75.424774
EL52,72.114
FI20,34.816143
FR10,59.77422
FRB0,62.49599
FRC1,75.78484
FRC2,105.29311
FRD1,67.74834
FRD2,65.39194
FRE1,63.978714
FRE2,64.02781
FRF1,85.71773
NL13,61.368294
NL21,65.105576
NL22,66.7928
NL23,66.41969
NL31,66.66956
NL32,65.15523
ITG2,61.519512
ITH1,85.30457
ITH2,90.61474
FRI3,65.21951
FRJ1,73.04132
FRJ2,84.846954
FRK1,76.542274
FRK2,92.69851
FRL0,67.09153
FRM0,70.707924
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,84.219986
TR32,78.97139
TR33,65.41738
HR03,109.659485
HR02,70.126335
HU11,44.151375
HU12,44.446716
HU21,46.137005
HU22,50.379658
PT16,72.02717
PT17,56.58606
FRF2,73.5996
FRF3,82.28332
FRG0,60.23834
FRH0,69.32973
FRI1,78.74702
FRI2,84.11923
ITC4,86.98937
ITF1,90.350266
ITF2,83.58097
ITF3,105.071304
ITF4,66.251236
ITF5,78.16596
ITF6,96.74135
ITG1,60.382126
LT01,50.19259
LT02,49.639236
LU00,76.19881
PL22,62.00804
PL41,52.076347
PL42,55.3235
PT18,52.428844
PT20,0.0
PT30,0.0
RO11,70.64024
RO12,67.43783
RO21,59.858006
RO22,54.53092
RO31,58.324604
RO32,53.886036
ITH3,91.90676
ITH4,117.37289
ITH5,84.75943
ITI1,81.48257
ITI2,93.93834
ITI3,83.538666
ITI4,96.07065
LI00,136.71059
FI1D,38.862495
TR82,81.57844
TR83,81.12434
TR90,103.07436
TRA1,67.30133
TRA2,2.2459133
PL43,56.264626
PL51,61.638847
PL52,55.189434
PL61,48.16404
PL62,49.300655
PL63,50.3256
PL71,51.440918
PL72,51.08442
PL81,51.282963
PL82,60.41594
PL84,47.57634
PL91,47.26512
PL92,47.428284
PT11,87.83088
PT15,52.20221
TRB1,101.50127
TRB2,7.073652
TRC1,79.65894
RS12,53.181038
RS21,74.31815
RS22,66.10647
SE11,36.286835
SE12,38.648396
NL33,64.76812
NL34,60.51025
NL41,65.03415
NL42,67.77227
PL21,64.49776
UKM6,120.66316
TR22,81.22086
TRC2,75.90188
TRC3,16.31701
UKC1,63.15638
UKC2,64.048515
UKD1,94.77526
UKD3,83.216
UKD4,92.34074
UKD6,70.55404
UKD7,76.42464
UKE1,54.94115
UKE2,68.71778
UKE3,60.765812
RO41,62.61327
RO42,69.24921
RS11,64.106316
TR41,72.53295
TR42,88.08084
TR51,59.7173
TR52,55.12288
TR61,82.30447
TR62,90.972984
TR63,94.78528
TR71,60.241673
TR72,72.75784
TR81,93.28948
UKK1,60.83315
UKK2,65.34534
UKK3,75.82473
UKK4,71.19214
UKL1,88.93328
UKL2,77.65364
UKM5,75.27844
UKM7,95.28921
UKM8,114.22728
UKM9,93.89368
UKN0,84.17387
SE21,42.260887
SE22,47.03741
SE23,52.505756
SE31,45.04996
SE32,51.81788
SE33,48.884052
SI03,80.729
SI04,106.708725
SK01,47.082863
SK02,53.268227
SK03,63.411907
SK04,56.217167
TR10,74.44428
TR21,71.15627
UKE4,72.25913
UKF1,60.222553
UKF2,53.03087
UKF3,52.66322
UKG1,58.059574
UKG2,64.59231
UKG3,57.479084
UKH1,53.50871
UKH2,51.353092
UKH3,51.158424
UKI3,50.28042
UKI4,50.28042
UKI5,49.78811
UKI6,50.756844
UKI7,51.87242
UKJ1,54.0491
UKJ2,54.65764
UKJ3,57.59312
UKJ4,51.90549
NO09,102.774216
NO0A,158.42403
NO0B,60.16966
HR05,68.11523
HR06,66.105865
NO02,60.552887
NO06,102.688446
NO07,87.4743
NO08,66.21731
