nuts,Spring Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,203.18504
DE60,200.11768
DE71,224.33214
DE72,228.78497
DE73,229.19041
DE80,175.95132
DE91,204.19989
BG41,268.23566
BG42,241.79028
CH01,429.5805
AT32,409.6912
AT33,411.77026
AT34,446.82214
BE10,202.84848
BE23,210.12381
BE24,208.29745
BE25,205.6213
BE31,216.24167
BE32,219.01746
BE33,249.07133
BE34,258.60623
BE35,245.22232
BG31,240.23224
BG32,211.7022
BG33,185.03358
BG34,205.85797
DE92,205.40985
DE93,196.32927
DE94,206.81119
CZ07,221.73047
CZ08,241.75175
AL01,368.81198
AL02,304.0656
AL03,259.2673
AT11,191.63492
AT12,235.7519
AT13,194.11494
AT21,341.1029
AT22,314.12415
AT31,341.8069
DK05,170.26257
BE21,206.5848
BE22,215.57819
ES43,145.02373
ES51,196.11069
ES52,123.6831
ES53,90.8294
ES61,127.65788
ES62,93.70219
ES63,125.92812
ES64,86.479904
CH02,419.14285
CH03,373.7989
CH04,355.0842
CH05,386.0329
CH06,451.27158
CH07,439.6391
CY00,64.36388
CZ01,181.06242
CZ02,190.40309
CZ03,230.90239
CZ04,208.45102
CZ05,214.91673
CZ06,193.46494
DE40,175.95346
EL53,201.17139
EL54,260.8173
EL61,196.35757
EL62,164.37352
EL63,220.44237
ES70,1.906538
ITC1,358.46097
ITC2,392.28955
DE11,263.08167
DE12,279.4447
DE13,327.1522
DE14,321.37076
DE21,348.60736
DE22,264.1261
DE23,242.22661
DE24,237.45917
DE25,234.85278
DE26,232.62315
DE27,346.132
DE30,177.07072
EL42,85.682365
LV00,179.33969
ME00,386.29742
MK00,226.62761
MT00,50.992645
NL11,201.63373
NL12,188.54327
EL64,176.9327
EL65,136.83963
ES11,322.2603
ES12,332.63126
ES13,285.06
ES21,279.75577
ES22,252.39035
ES23,213.57985
ES24,182.17708
ES30,155.79097
IE05,247.36449
IE06,220.88724
IS00,339.48212
ITC3,279.2251
FI19,144.01608
FI1B,140.64412
FI1C,140.53069
DEA1,225.93312
DEA2,242.12769
DEA3,215.01411
DEA4,223.45584
DEA5,263.5758
DEB1,228.77153
DEB2,239.04274
DEB3,223.6043
DEC0,250.83237
DED2,205.21663
DED4,235.052
DED5,191.31186
DEE0,181.06677
DEF0,184.20958
DEG0,216.37352
DK01,151.41475
DK02,151.20943
DK03,178.92566
DK04,176.30234
ES41,189.44585
ES42,146.82846
HU23,183.87885
HU31,190.85757
HU32,188.80919
HU33,177.8489
IE04,276.09982
EE00,151.91006
EL30,92.52171
EL41,125.8642
EL43,86.49044
EL51,196.05478
EL52,176.8167
