nuts,June Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,92.28995
DE60,89.698814
DE71,82.41913
DE72,84.821556
DE73,84.31902
DE80,87.8554
DE91,87.429726
BG41,83.21815
BG42,80.6326
CH01,182.25737
AT32,210.40895
AT33,221.32205
AT34,231.07416
BE10,84.02359
BE23,73.89488
BE24,85.76492
BE25,69.20908
BE31,85.21753
BE32,84.18511
BE33,100.34804
BE34,97.264404
BE35,93.118706
BG31,82.46428
BG32,82.06469
BG33,72.60557
BG34,61.791897
DE92,89.45543
DE93,89.171646
DE94,93.02883
CZ07,107.58831
CZ08,122.034676
AL01,81.21254
AL02,62.44635
AL03,45.018993
AT11,93.44001
AT12,113.73928
AT13,87.13385
AT21,181.59547
AT22,158.73106
AT31,156.0195
DK05,80.80913
BE21,82.99477
BE22,89.16615
ES43,14.4713125
ES51,57.315174
ES52,23.757027
ES53,11.781941
ES61,12.026798
ES62,14.772413
ES63,4.460078
ES64,6.181186
CH02,184.86755
CH03,158.76355
CH04,159.7851
CH05,195.61311
CH06,226.97646
CH07,186.26732
CY00,3.697421
CZ01,88.66562
CZ02,89.699234
CZ03,105.137985
CZ04,92.41502
CZ05,103.45558
CZ06,95.86402
DE40,80.18526
EL53,36.36644
EL54,36.304024
EL61,27.371367
EL62,16.831068
EL63,25.647156
ES70,0.365622
ITC1,134.96973
ITC2,153.97662
DE11,100.10335
DE12,99.146255
DE13,124.99699
DE14,145.54108
DE21,164.93132
DE22,120.2171
DE23,102.00198
DE24,89.92015
DE25,91.552704
DE26,82.84619
DE27,168.57947
DE30,74.50562
EL42,1.7124656
LV00,95.934944
ME00,90.6912
MK00,57.045742
MT00,3.3630655
NL11,92.97745
NL12,82.282486
EL64,22.213348
EL65,14.077993
ES11,51.25372
ES12,78.115105
ES13,74.16416
ES21,71.04681
ES22,65.33024
ES23,57.78711
ES24,46.285706
ES30,26.767488
IE05,76.67592
IE06,77.48293
IS00,72.97902
ITC3,74.948784
FI19,79.99518
FI1B,72.48416
FI1C,74.93576
DEA1,91.99805
DEA2,98.079124
DEA3,88.178154
DEA4,89.06599
DEA5,100.739456
DEB1,87.73587
DEB2,90.72775
DEB3,82.38088
DEC0,86.52444
DED2,90.318405
DED4,97.3297
DED5,71.10764
DEE0,74.967476
DEF0,85.33528
DEG0,81.7027
DK01,83.20614
DK02,86.84961
DK03,86.12222
DK04,83.97392
ES41,38.558548
ES42,24.850536
HU23,83.40337
HU31,87.87169
HU32,86.91412
HU33,78.21616
IE04,89.4211
EE00,87.794205
EL30,6.988205
EL41,6.2517414
EL43,4.806723
EL51,52.387405
EL52,40.235542
FI20,52.444935
FR10,65.89502
FRB0,61.188007
FRC1,80.0719
FRC2,123.98982
FRD1,64.748184
FRD2,68.70252
FRE1,74.7505
FRE2,74.64936
FRF1,103.789055
NL13,88.45159
NL21,88.75153
NL22,87.23014
NL23,88.6862
NL31,81.87936
NL32,77.3328
ITG2,18.921242
ITH1,179.09593
ITH2,185.0704
FRI3,60.68795
FRJ1,59.602108
FRJ2,86.53339
FRK1,87.31357
FRK2,109.1638
FRL0,69.79828
FRM0,40.12892
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,14.426024
TR32,14.33002
TR33,24.797632
HR03,77.82485
HR02,97.46225
HU11,75.00194
HU12,82.54363
HU21,82.022064
HU22,89.04186
PT16,20.509888
PT17,8.899063
FRF2,81.85822
FRF3,92.23707
FRG0,51.949688
FRH0,55.647697
FRI1,77.34576
FRI2,85.037796
ITC4,126.94936
ITF1,70.4022
ITF2,57.493027
ITF3,40.194283
ITF4,28.1516
ITF5,31.608076
ITF6,29.423538
ITG1,14.651776
LT01,99.67137
LT02,93.32687
LU00,91.63244
PL22,113.262276
PL41,79.612015
PL42,95.770096
PT18,10.42444
PT20,0.0
PT30,0.0
RO11,128.50418
RO12,143.45444
RO21,114.72338
RO22,75.2083
RO31,90.99623
RO32,89.28978
ITH3,143.02576
ITH4,178.44235
ITH5,76.00416
ITI1,59.967747
ITI2,61.66249
ITI3,71.696625
ITI4,55.2921
LI00,271.45688
FI1D,86.63302
TR82,68.08158
TR83,59.403614
TR90,118.08338
TRA1,56.778404
TRA2,2.6940176
PL43,84.60163
PL51,100.01416
