nuts,May Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,70.49948
DE60,78.004654
DE71,83.92413
DE72,84.010056
DE73,83.49311
DE80,73.30993
DE91,76.31258
BG41,94.15682
BG42,81.68399
CH01,179.15762
AT32,170.09865
AT33,186.48045
AT34,205.43478
BE10,77.665474
BE23,78.230675
BE24,79.45937
BE25,77.5391
BE31,78.3291
BE32,80.33697
BE33,90.71446
BE34,93.433105
BE35,86.99378
BG31,88.86494
BG32,81.782845
BG33,68.331116
BG34,68.08856
DE92,75.273254
DE93,75.9819
DE94,75.223625
CZ07,96.72284
CZ08,104.54893
AL01,88.612816
AL02,74.17963
AL03,58.3394
AT11,87.59961
AT12,99.12296
AT13,79.518715
AT21,145.42345
AT22,138.69896
AT31,140.52953
DK05,74.67259
BE21,80.51843
BE22,79.10274
ES43,32.688255
ES51,61.454247
ES52,31.333607
ES53,24.474174
ES61,28.803215
ES62,25.976038
ES63,15.214194
ES64,11.867083
CH02,178.82869
CH03,166.57747
CH04,161.49391
CH05,174.65344
CH06,199.91461
CH07,182.56137
CY00,11.00627
CZ01,76.17739
CZ02,79.26319
CZ03,96.94155
CZ04,82.73783
CZ05,85.63657
CZ06,81.29067
DE40,72.282845
EL53,52.640896
EL54,50.13906
EL61,38.23806
EL62,20.237637
EL63,36.158108
ES70,0.41653267
ITC1,129.92543
ITC2,146.20358
DE11,112.23521
DE12,111.35786
DE13,139.18622
DE14,142.45706
DE21,155.88585
DE22,117.07294
DE23,101.02513
DE24,90.557976
DE25,95.09345
DE26,89.131714
DE27,154.51492
DE30,72.9425
EL42,8.675381
LV00,78.119865
ME00,103.98907
MK00,69.774254
MT00,3.8253798
NL11,75.971
NL12,73.2383
EL64,31.72943
EL65,20.60147
ES11,84.32849
ES12,97.454994
ES13,86.75118
ES21,72.98826
ES22,71.080925
ES23,70.294
ES24,56.119606
ES30,43.888615
IE05,79.07389
IE06,82.613495
IS00,87.81163
ITC3,69.95416
FI19,65.03784
FI1B,62.587006
FI1C,62.0473
DEA1,79.51148
DEA2,84.57135
DEA3,79.51944
DEA4,79.04601
DEA5,90.54756
DEB1,82.58239
DEB2,85.53504
DEB3,86.42185
DEC0,90.91032
DED2,80.78629
DED4,87.012115
DED5,71.11134
DEE0,69.28748
DEF0,72.934265
DEG0,80.26401
DK01,65.4399
DK02,63.74221
DK03,72.15456
DK04,73.57783
ES41,55.258934
ES42,38.414913
HU23,75.638756
HU31,89.987114
HU32,82.47382
HU33,69.31301
IE04,95.74288
EE00,67.238396
EL30,11.472327
EL41,13.709054
EL43,11.347935
EL51,51.996742
EL52,51.07222
FI20,45.557476
FR10,80.221634
FRB0,78.22861
FRC1,102.266655
FRC2,143.59065
FRD1,75.87668
FRD2,81.16627
FRE1,80.16268
FRE2,82.66135
FRF1,118.73565
NL13,78.90359
NL21,82.87219
NL22,79.24614
NL23,82.48724
NL31,80.17179
NL32,71.217354
ITG2,30.97193
ITH1,150.04501
ITH2,158.27753
FRI3,76.77294
FRJ1,74.38818
FRJ2,98.9495
FRK1,108.45074
FRK2,122.60402
FRL0,75.003136
FRM0,42.957985
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,25.08875
TR32,26.629284
TR33,36.146267
HR03,86.16544
HR02,89.1384
HU11,74.60483
HU12,78.40585
HU21,75.42101
HU22,77.8334
PT16,54.374115
PT17,30.907562
FRF2,93.32397
FRF3,101.88268
FRG0,71.3585
FRH0,72.57279
FRI1,86.930336
FRI2,101.874855
ITC4,117.85703
ITF1,63.89828
ITF2,49.472343
ITF3,44.41639
ITF4,27.747915
ITF5,35.831875
ITF6,29.635841
ITG1,14.669946
LT01,90.30063
LT02,78.27513
LU00,88.278755
PL22,106.383896
PL41,72.09747
PL42,75.03739
PT18,30.412975
PT20,0.0
PT30,0.0
RO11,114.915596
RO12,128.00015
RO21,97.066505
RO22,65.118484
RO31,84.930664
RO32,71.47485
ITH3,124.59004
ITH4,161.17424
ITH5,72.85497
ITI1,60.425446
ITI2,64.8198
ITI3,60.921684
ITI4,59.887196
LI00,234.84299
FI1D,72.98492
TR82,73.801216
TR83,72.61765
TR90,134.93195
TRA1,85.519035
TRA2,3.2216775
PL43,71.09666
PL51,81.40764
PL52,86.89692
PL61,74.64251
PL62,85.46157
PL63,78.53968
PL71,85.284676
PL72,91.72852
PL81,94.357574
PL82,109.4774
PL84,85.96982
PL91,89.39637
PL92,87.34771
PT11,72.93355
PT15,19.340551
TRB1,64.91914
TRB2,4.197183
TRC1,35.277485
RS12,70.024124
RS21,97.29087
RS22,81.94795
SE11,52.248158
SE12,70.050545
NL33,74.449585
NL34,75.217186
NL41,76.878136
NL42,75.97791
PL21,117.5878
UKM6,88.046524
TR22,30.572706
TRC2,28.428778
TRC3,5.251228
UKC1,69.20044
UKC2,69.80651
UKD1,89.40985
UKD3,89.12671
UKD4,91.46799
UKD6,80.18107
UKD7,84.93756
UKE1,65.83737
UKE2,75.29336
UKE3,73.40843
RO41,92.47712
RO42,105.56571
RS11,77.09198
TR41,40.2872
TR42,56.177673
TR51,39.43448
TR52,32.96732
TR61,36.875732
TR62,52.106075
TR63,46.652462
TR71,42.74857
TR72,68.68819
TR81,69.71033
UKK1,73.74616
UKK2,70.41839
UKK3,71.63943
UKK4,73.653015
UKL1,88.86774
UKL2,90.3374
UKM5,73.29826
UKM7,86.430534
UKM8,96.97487
UKM9,83.14214
UKN0,87.529274
SE21,71.02404
SE22,72.412735
SE23,82.97132
SE31,86.87206
SE32,89.81557
SE33,82.46011
SI03,107.78668
SI04,126.12109
SK01,78.67075
SK02,91.08122
SK03,116.993866
SK04,110.89534
TR10,27.92409
