nuts,May Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,70.29024
DE60,69.20668
DE71,81.43036
DE72,81.12253
DE73,82.588234
DE80,64.74069
DE91,72.34855
BG41,106.988785
BG42,90.99028
CH01,175.006
AT32,171.44632
AT33,179.24606
AT34,189.51721
BE10,72.21097
BE23,74.964066
BE24,73.98218
BE25,72.791336
BE31,75.717224
BE32,75.96526
BE33,89.03217
BE34,89.685165
BE35,85.17014
BG31,93.32128
BG32,79.4625
BG33,63.635544
BG34,69.7704
DE92,67.63097
DE93,68.95025
DE94,69.61718
CZ07,92.4328
CZ08,98.7091
AL01,114.28903
AL02,96.94977
AL03,78.371124
AT11,85.49656
AT12,99.362946
AT13,82.11697
AT21,145.35449
AT22,137.30077
AT31,140.62268
DK05,56.398174
BE21,75.118225
BE22,76.98111
ES43,48.05196
ES51,78.13051
ES52,46.91045
ES53,30.343973
ES61,40.83778
ES62,34.482822
ES63,24.991726
ES64,22.0579
CH02,173.71867
CH03,158.19711
CH04,152.17122
CH05,167.23871
CH06,194.3054
CH07,197.28346
CY00,14.993634
CZ01,74.03273
CZ02,77.37902
CZ03,97.188286
CZ04,83.74421
CZ05,82.920555
CZ06,83.74617
DE40,65.034256
EL53,68.66432
EL54,71.59645
EL61,54.037304
EL62,31.388124
EL63,53.845516
ES70,0.42292637
ITC1,148.6613
ITC2,158.12813
DE11,105.74909
DE12,108.234146
DE13,133.75449
DE14,139.7414
DE21,150.62294
DE22,112.69224
DE23,97.98816
DE24,84.336136
DE25,88.70327
DE26,84.501144
DE27,150.55963
DE30,64.61926
EL42,10.494305
LV00,67.66088
ME00,118.27127
MK00,86.028206
MT00,7.0985684
NL11,72.023705
NL12,66.79804
EL64,42.35979
EL65,29.091785
ES11,108.29204
ES12,116.16041
ES13,105.82923
ES21,96.55154
ES22,89.11873
ES23,85.28518
ES24,69.31178
ES30,59.71317
IE05,77.117294
IE06,75.7714
IS00,82.19282
ITC3,92.47579
FI19,57.49018
FI1B,49.454727
FI1C,54.187916
DEA1,78.52749
