nuts,Autumn Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,205.12166
DE60,217.21935
DE71,205.00455
DE72,207.6599
DE73,203.48523
DE80,176.12267
DE91,190.2276
BG41,166.52493
BG42,177.27866
CH01,384.3238
AT32,355.66068
AT33,352.06195
AT34,372.57104
BE10,196.78267
BE23,203.6081
BE24,200.90588
BE25,218.09372
BE31,204.99376
BE32,204.0497
BE33,230.86252
BE34,239.6457
BE35,223.03465
BG31,153.5086
BG32,154.9413
BG33,158.27086
BG34,177.68727
DE92,201.4813
DE93,205.25255
DE94,226.08646
CZ07,196.79263
CZ08,203.73401
AL01,427.23276
AL02,315.338
AL03,344.28427
AT11,199.31839
AT12,205.84518
AT13,175.46284
AT21,357.8992
AT22,293.74072
AT31,276.7103
DK05,247.75255
BE21,202.90323
BE22,210.7368
ES43,175.50917
ES51,217.48135
ES52,152.06612
ES53,158.69463
ES61,143.48376
ES62,112.225655
ES63,177.33034
ES64,98.11393
CH02,356.8958
CH03,302.6636
CH04,306.88757
CH05,351.70306
CH06,406.14713
CH07,489.74298
CY00,88.68411
CZ01,150.25015
CZ02,161.65825
CZ03,183.74768
CZ04,177.89177
CZ05,191.14186
CZ06,171.81274
DE40,157.02798
EL53,197.4024
EL54,393.88507
EL61,216.58878
EL62,415.4316
EL63,314.2133
ES70,3.4474483
ITC1,380.0992
ITC2,370.92374
DE11,220.49385
DE12,235.96152
DE13,267.19083
DE14,263.366
DE21,275.90292
DE22,221.82706
DE23,207.7007
DE24,208.70427
DE25,201.89656
DE26,206.31345
DE27,270.9491
DE30,156.49939
EL42,108.77228
LV00,207.80022
ME00,472.13702
MK00,188.44167
MT00,169.21858
NL11,238.97444
NL12,285.2494
EL64,192.11165
EL65,184.42743
ES11,342.9826
ES12,319.74225
ES13,273.04224
ES21,267.31296
ES22,231.14105
ES23,165.75388
ES24,167.96228
ES30,145.44144
IE05,303.73727
IE06,252.51714
IS00,443.80447
ITC3,381.46207
FI19,196.33727
FI1B,227.30405
FI1C,209.70996
DEA1,227.21294
DEA2,237.26494
DEA3,220.09186
DEA4,216.52522
DEA5,252.57542
DEB1,210.91515
DEB2,219.04161
DEB3,201.46259
DEC0,232.33421
DED2,184.91151
DED4,199.96222
DED5,168.10844
DEE0,163.11201
DEF0,222.54947
DEG0,182.16606
DK01,217.00587
DK02,207.87096
DK03,232.55266
DK04,240.9709
ES41,177.802
ES42,137.06502
HU23,188.6817
HU31,159.06747
HU32,163.09079
HU33,159.45988
IE04,359.51898
EE00,219.68018
EL30,118.733536
EL41,151.44908
EL43,115.86159
EL51,187.60085
EL52,189.86824
FI20,213.51698
FR10,179.59465
FRB0,195.1679
FRC1,254.96991
FRC2,339.6104
FRD1,227.49739
FRD2,214.09755
FRE1,213.24844
FRE2,198.26462
FRF1,257.385
NL13,212.37596
NL21,214.23882
NL22,209.9325
NL23,237.26445
NL31,220.63553
NL32,289.8548
ITG2,168.92487
ITH1,302.9182
ITH2,352.55008
FRI3,216.11307
FRJ1,291.64847
