nuts,Annual Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,868.09064
DE60,907.9567
DE71,907.68304
DE72,920.79535
DE73,903.1074
DE80,768.91754
DE91,833.60394
BG41,860.3981
BG42,807.46234
CH01,1718.8479
AT32,1658.4044
AT33,1681.135
AT34,1790.1761
BE10,872.58356
BE23,861.0563
BE24,892.55884
BE25,854.376
BE31,907.21436
BE32,894.9746
BE33,1039.3505
BE34,1061.2283
BE35,999.7578
BG31,781.68286
BG32,746.1493
BG33,690.42584
BG34,728.98505
DE92,846.71735
DE93,860.44244
DE94,901.69666
CZ07,907.7471
CZ08,964.71375
AL01,1483.9042
AL02,1119.5505
AL03,1068.6812
AT11,819.05383
AT12,946.16925
AT13,774.12
AT21,1410.0387
AT22,1272.0764
AT31,1356.026
DK05,880.7021
BE21,892.1051
BE22,927.39374
ES43,562.0997
ES51,735.8102
ES52,467.00266
ES53,415.51523
ES61,467.97488
ES62,331.15604
ES63,550.9381
ES64,296.69843
CH02,1661.5568
CH03,1441.7384
CH04,1400.597
CH05,1562.0171
CH06,1852.2444
CH07,1738.2476
CY00,336.05154
CZ01,742.89484
CZ02,789.58954
CZ03,917.5621
CZ04,845.5058
CZ05,892.30835
CZ06,788.9921
DE40,737.0774
EL53,706.7095
EL54,1139.5088
EL61,772.82214
EL62,1072.011
EL63,955.4024
ES70,11.183223
ITC1,1367.5107
ITC2,1510.325
DE11,1024.0233
DE12,1085.5259
DE13,1250.6909
DE14,1252.9404
DE21,1369.8257
DE22,1071.746
DE23,983.02985
DE24,949.0896
DE25,939.3165
DE26,927.5447
DE27,1357.713
DE30,720.7489
EL42,437.80603
LV00,849.887
ME00,1579.7632
MK00,755.7076
MT00,432.41516
NL11,932.5683
NL12,986.56946
EL64,674.86945
EL65,598.0493
ES11,1197.9008
ES12,1186.1307
ES13,1046.1068
ES21,1029.2643
ES22,868.37946
ES23,689.1665
ES24,609.0765
ES30,502.75702
IE05,1127.0264
IE06,967.2136
IS00,1552.6931
ITC3,1135.4252
FI19,780.3501
FI1B,799.5938
FI1C,786.3669
DEA1,953.7659
DEA2,1026.313
DEA3,906.79486
DEA4,911.1206
DEA5,1072.0676
DEB1,923.10443
DEB2,959.929
DEB3,878.0136
DEC0,1000.9264
DED2,870.4853
DED4,937.5918
DED5,769.0444
DEE0,743.7246
DEF0,872.28174
DEG0,857.13446
DK01,790.12585
DK02,766.8223
DK03,865.0605
DK04,861.1463
ES41,637.8675
ES42,496.27942
HU23,759.45593
HU31,740.58966
HU32,742.1678
HU33,690.2409
IE04,1291.3667
EE00,826.8854
EL30,397.33038
EL41,596.1794
EL43,438.6488
EL51,726.2156
EL52,697.4873
FI20,698.0632
FR10,777.1306
FRB0,797.9304
FRC1,1014.51654
FRC2,1403.7957
FRD1,884.77057
FRD2,857.4797
FRE1,877.20465
FRE2,844.1572
FRF1,1148.2794
NL13,860.36914
NL21,883.45734
NL22,890.6219
NL23,925.7403
NL31,893.49225
NL32,986.6045
ITG2,537.1358
ITH1,1344.1611
ITH2,1446.2487
FRI3,849.77954
FRJ1,947.597
FRJ2,1039.1613
FRK1,1047.5366
FRK2,1260.7032
FRL0,881.46094
FRM0,724.7169
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,702.3046
TR32,664.5244
TR33,529.0376
HR03,1316.3376
HR02,975.46405
HU11,668.3198
HU12,691.4118
HU21,729.3007
HU22,788.9693
