nuts,Spring Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,206.86105
DE60,220.63538
DE71,234.52525
DE72,234.82385
DE73,234.57782
DE80,184.93349
DE91,216.55914
BG41,271.7486
BG42,240.8822
CH01,439.11624
AT32,420.06274
AT33,427.90186
AT34,475.09515
BE10,218.42838
BE23,214.66936
BE24,223.38435
BE25,216.5843
BE31,225.74588
BE32,231.34996
BE33,258.99673
BE34,267.35983
BE35,257.8892
BG31,248.59882
BG32,225.2175
BG33,197.89348
BG34,205.39845
DE92,214.43361
DE93,212.09001
DE94,208.2209
CZ07,233.59323
CZ08,252.53413
AL01,332.1674
AL02,263.70636
AL03,243.60423
AT11,202.25069
AT12,244.91931
AT13,200.75648
AT21,349.1571
AT22,335.9859
AT31,359.50684
DK05,189.06412
BE21,219.83855
BE22,230.61122
ES43,128.62929
ES51,180.16302
ES52,111.898605
ES53,80.96411
ES61,112.536736
ES62,79.21078
ES63,99.23554
ES64,69.011826
CH02,434.19775
CH03,395.65118
CH04,386.1895
CH05,410.95752
CH06,472.99628
CH07,458.84497
CY00,55.544193
CZ01,184.65495
CZ02,197.85753
CZ03,235.40509
CZ04,215.5044
CZ05,219.3604
CZ06,198.64006
DE40,186.3368
EL53,191.11993
EL54,226.24217
EL61,166.23558
EL62,154.80786
EL63,188.63371
ES70,1.5578985
ITC1,358.24094
ITC2,399.956
DE11,277.95752
DE12,285.38214
DE13,342.46323
DE14,344.10907
DE21,374.14572
DE22,284.2033
DE23,256.3549
DE24,245.16824
DE25,245.67458
DE26,242.9967
DE27,369.22424
DE30,186.5533
EL42,68.6209
LV00,195.63733
ME00,360.45935
MK00,232.4059
MT00,47.675266
NL11,203.88037
NL12,193.23474
EL64,144.67542
EL65,112.602135
ES11,302.58386
ES12,305.5504
ES13,271.65634
ES21,265.88605
ES22,219.7891
ES23,192.75528
ES24,163.57027
ES30,135.85336
IE05,256.9147
IE06,237.21072
IS00,357.4463
ITC3,274.69012
FI19,159.33656
FI1B,157.65294
FI1C,157.71738
DEA1,232.42815
DEA2,251.93575
DEA3,225.8358
DEA4,227.6926
DEA5,266.6442
DEB1,233.12997
DEB2,240.43733
DEB3,226.90437
DEC0,252.65045
DED2,209.59814
DED4,238.92865
DED5,188.91817
DEE0,191.13228
DEF0,205.73158
DEG0,224.38263
DK01,167.13725
DK02,162.9475
DK03,194.36787
DK04,194.11145
ES41,170.8267
ES42,130.61836
HU23,193.76326
HU31,198.13512
HU32,199.88307
HU33,180.63081
IE04,281.51532
EE00,169.97913
EL30,87.63721
EL41,109.39041
EL43,70.91329
EL51,182.3641
EL52,176.36508
FI20,122.12418
FR10,206.01962
FRB0,214.72127
FRC1,276.85294
FRC2,373.0449
FRD1,218.3192
FRD2,222.06767
FRE1,223.59103
FRE2,220.24385
FRF1,302.881
NL13,204.54233
NL21,214.9094
NL22,221.45998
NL23,210.8199
NL31,219.29665
NL32,193.58519
ITG2,136.83833
ITH1,337.8841
ITH2,353.50217
FRI3,219.03023
FRJ1,230.14351
FRJ2,279.69226
FRK1,282.24582
FRK2,333.70184
FRL0,217.7693
FRM0,170.73317
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,151.74005
TR32,132.53926
TR33,153.38405
HR03,296.55743
HR02,247.57503
HU11,175.1405
HU12,184.75624
HU21,188.71281
HU22,189.21272
PT16,181.33588
PT17,116.2071
FRF2,258.64487
FRF3,277.58707
FRG0,202.38359
FRH0,209.35643
FRI1,258.72372
FRI2,299.16364
ITC4,315.37344
ITF1,234.08327
ITF2,204.35164
ITF3,215.84967
ITF4,137.25154
ITF5,164.53763
ITF6,177.5294
ITG1,105.08734
LT01,216.54068
LT02,195.94778
LU00,252.79068
PL22,249.50296
PL41,188.34235
PL42,195.125
PT18,118.10133
PT20,0.0
PT30,0.0
RO11,295.4466
RO12,297.2289
RO21,233.08777
RO22,176.4754
RO31,221.13832
RO32,198.56096
ITH3,305.241
ITH4,398.6593
ITH5,242.65016
ITI1,220.63553
ITI2,233.86897
ITI3,218.8847
ITI4,221.94096
LI00,527.50525
FI1D,169.3402
TR82,250.38547
TR83,252.70401
TR90,374.1138
TRA1,246.11865
TRA2,9.195111
PL43,191.16507
PL51,209.81389
PL52,212.22693
PL61,184.54825
PL62,205.37512
PL63,193.48676
PL71,203.76996
PL72,220.57443
PL81,222.0459
PL82,268.6235
PL84,203.96208
PL91,211.32996
PL92,207.33438
PT11,250.01726
PT15,100.58939
TRB1,247.5748
TRB2,17.91978
TRC1,153.23729
RS12,195.35844
RS21,270.50064
RS22,248.18086
SE11,138.10431
SE12,164.85626
NL33,214.44202
NL34,210.99274
NL41,220.51004
NL42,222.42004
PL21,286.7505
UKM6,318.84586
TR22,159.20285
TRC2,150.58067
TRC3,29.778046
UKC1,216.31699
UKC2,210.88231
UKD1,285.26117
UKD3,262.37708
UKD4,276.95526
UKD6,233.46263
UKD7,241.96263
UKE1,188.7786
UKE2,227.07626
UKE3,208.81961
RO41,242.69667
RO42,266.47678
RS11,217.74643
TR41,173.3978
TR42,218.6946
TR51,152.62961
TR52,134.90347
TR61,150.86618
TR62,196.52835
TR63,194.52505
TR71,160.05606
TR72,220.81369
TR81,259.42224
UKK1,210.4344
UKK2,214.57042
UKK3,228.93422
UKK4,225.74307
UKL1,278.10995
UKL2,259.8852
UKM5,235.04736
UKM7,274.3388
UKM8,320.2198
UKM9,274.59332
UKN0,256.83194
SE21,167.40833
SE22,180.36287
SE23,201.22462
SE31,200.64163
SE32,207.5816
SE33,190.95549
SI03,292.4234
SI04,352.43613
SK01,183.61768
SK02,210.88106
SK03,263.50894
SK04,253.55807
TR10,144.71361
TR21,158.07443
UKE4,231.4117
UKF1,208.42963
UKF2,187.98679
UKF3,184.76045
UKG1,207.7978
UKG2,223.25537
UKG3,208.3793
UKH1,178.89394
UKH2,185.4952
UKH3,183.42155
UKI3,186.94704
UKI4,186.94704
UKI5,184.94797
UKI6,184.9002
UKI7,184.53674
UKJ1,194.1506
UKJ2,183.99805
UKJ3,193.09027
UKJ4,182.19197
NO09,307.6318
NO0A,430.95776
NO0B,160.45834
HR05,240.51952
HR06,232.65337
NO02,240.52002
NO06,316.80667
NO07,257.13303
NO08,247.00804
