nuts,December Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,78.67364
DE60,80.80686
DE71,93.19067
DE72,94.120445
DE73,87.27192
DE80,66.697
DE91,79.18442
BG41,68.35441
BG42,74.64643
CH01,150.25664
AT32,107.43531
AT33,102.78731
AT34,133.5845
BE10,82.39119
BE23,83.63595
BE24,85.547
BE25,84.77769
BE31,89.40305
BE32,91.95264
BE33,107.69205
BE34,111.09775
BE35,103.103485
BG31,57.94579
BG32,56.290474
BG33,55.556816
BG34,68.549866
DE92,78.088684
DE93,77.33091
DE94,84.05774
CZ07,63.372406
CZ08,67.06785
AL01,175.52863
AL02,128.29628
AL03,132.88197
AT11,46.569267
AT12,57.01585
AT13,47.155537
AT21,76.57137
AT22,73.38004
AT31,96.40585
DK05,80.04717
BE21,86.59153
BE22,93.58164
ES43,69.8171
ES51,51.207783
ES52,36.610737
ES53,44.75126
ES61,57.665783
ES62,27.28602
ES63,73.23815
ES64,22.267965
CH02,139.87144
CH03,120.0311
CH04,115.15407
CH05,109.083786
CH06,137.84517
CH07,100.70421
CY00,78.06169
CZ01,52.513733
CZ02,58.875618
CZ03,68.29363
CZ04,70.88411
CZ05,71.798416
CZ06,51.531063
DE40,61.95378
EL53,83.50504
EL54,162.96017
EL61,115.264656
EL62,172.87213
EL63,147.63918
ES70,2.2254133
ITC1,81.39856
ITC2,122.78007
DE11,97.63661
DE12,105.58341
DE13,117.98663
DE14,100.52985
DE21,96.45287
DE22,88.16286
DE23,90.40211
DE24,96.289734
DE25,89.39221
DE26,93.178055
DE27,99.50791
DE30,61.609875
EL42,89.739235
LV00,66.51825
ME00,179.39319
MK00,77.43083
MT00,81.261116
NL11,84.95712
NL12,95.875824
EL64,110.74509
EL65,97.52289
ES11,150.49211
ES12,115.57621
ES13,94.6572
ES21,103.17947
ES22,74.83246
ES23,57.801186
ES24,46.55586
ES30,51.382736
IE05,119.60513
IE06,97.5001
IS00,160.43343
ITC3,97.7075
FI19,60.458256
FI1B,73.17389
FI1C,69.45009
DEA1,100.67928
DEA2,108.07583
DEA3,93.60149
DEA4,87.971695
DEA5,113.981606
DEB1,96.43109
DEB2,101.57803
DEB3,89.26374
DEC0,110.9103
DED2,72.24727
DED4,84.24096
DED5,70.437195
DEE0,66.82232
DEF0,81.56057
DEG0,82.20009
DK01,74.15735
DK02,71.4077
DK03,79.60138
DK04,76.285065
ES41,65.11331
ES42,48.935226
HU23,60.22597
HU31,49.850098
HU32,56.61615
HU33,55.70761
IE04,138.06107
EE00,67.38652
EL30,72.64352
EL41,121.88153
EL43,80.77657
EL51,91.055145
EL52,86.86026
FI20,70.42242
FR10,82.925606
FRB0,79.117485
FRC1,99.71419
FRC2,143.63524
FRD1,97.638916
FRD2,92.799995
FRE1,91.30496
FRE2,89.87652
FRF1,114.957634
NL13,80.67489
NL21,86.06244
NL22,86.42878
NL23,90.11394
NL31,86.95572
NL32,98.4135
ITG2,66.87659
ITH1,72.14574
ITH2,69.39196
FRI3,85.88275
FRJ1,75.981125
FRJ2,89.05358
FRK1,88.63425
FRK2,115.02622
FRL0,79.14944
FRM0,82.874916
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,115.57401
TR32,113.993324
TR33,69.62354
HR03,137.18922
HR02,78.583275
HU11,52.149956
HU12,52.552746
HU21,57.11045
HU22,54.863354
PT16,101.9078
PT17,74.86484
FRF2,105.94167
FRF3,117.37197
FRG0,80.99313
FRH0,99.25799
FRI1,93.68218
FRI2,102.36261
ITC4,68.60857
ITF1,96.26034
ITF2,91.6272
ITF3,122.61737
ITF4,70.302376
ITF5,79.36921
ITF6,114.17583
ITG1,80.42863
LT01,69.39974
LT02,67.17625
LU00,105.976845
PL22,70.332756
PL41,59.09737
PL42,70.82497
PT18,64.57631
PT20,0.0
PT30,0.0
RO11,76.17784
RO12,58.043713
RO21,45.331142
RO22,42.767162
RO31,49.247505
RO32,47.393887
ITH3,63.71997
ITH4,94.56658
ITH5,71.71625
ITI1,86.52843
ITI2,91.99975
ITI3,84.26569
ITI4,105.5311
LI00,142.50964
FI1D,54.193497
TR82,95.54626
TR83,81.75875
TR90,116.55877
TRA1,62.027935
TRA2,2.583482
PL43,64.03574
PL51,67.19498
PL52,60.584885
PL61,57.029774
PL62,65.125885
PL63,67.714195
PL71,62.75205
PL72,58.59621
PL81,59.256634
PL82,65.831535
PL84,59.22898
PL91,60.239094
PL92,59.981506
PT11,132.88187
PT15,64.87502
TRB1,103.8996
TRB2,7.400826
TRC1,92.19861
RS12,59.81772
RS21,70.96778
RS22,66.937874
SE11,59.71436
SE12,58.6459
NL33,92.27638
NL34,86.94465
NL41,85.409515
NL42,90.93961
PL21,67.87058
UKM6,170.76051
TR22,101.995964
TRC2,85.10053
TRC3,17.564316
UKC1,84.67606
UKC2,87.102234
UKD1,143.24904
UKD3,109.46778
UKD4,135.71266
UKD6,91.18469
UKD7,113.48632
UKE1,67.29923
UKE2,88.604164
UKE3,71.225006
RO41,61.520683
RO42,73.17157
RS11,61.29288
TR41,78.223465
TR42,106.35452
TR51,57.94178
TR52,57.94024
TR61,105.43713
TR62,107.37982
TR63,94.07771
TR71,58.78408
TR72,66.67137
TR81,118.367424
UKK1,79.94053
UKK2,94.81964
UKK3,114.628944
UKK4,105.600784
UKL1,138.61452
UKL2,108.7515
UKM5,91.16009
UKM7,119.50023
UKM8,156.42268
UKM9,132.83577
UKN0,115.361275
SE21,65.95092
SE22,67.81797
SE23,80.10146
SE31,61.487656
SE32,70.67913
SE33,66.69205
SI03,84.94603
SI04,99.333015
SK01,46.630253
SK02,56.061222
SK03,63.25126
SK04,58.721794
TR10,102.455086
TR21,81.39959
UKE4,88.62538
UKF1,70.65241
UKF2,61.604042
UKF3,58.724262
UKG1,72.627945
UKG2,81.05677
UKG3,70.15502
UKH1,63.186752
UKH2,61.49753
UKH3,65.17711
UKI3,64.89249
UKI4,64.89249
UKI5,62.64496
UKI6,66.43312
UKI7,64.57885
UKJ1,68.42229
UKJ2,82.94787
UKJ3,84.45211
UKJ4,76.92216
NO09,129.80147
NO0A,249.97911
NO0B,71.8532
HR05,76.370735
HR06,73.922295
NO02,75.8762
NO06,145.16794
NO07,113.156105
NO08,83.45908
