nuts,April Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,61.423767
DE60,56.69668
DE71,68.26143
DE72,69.150314
DE73,70.19179
DE80,53.61109
DE91,63.946095
BG41,82.84256
BG42,76.21776
CH01,134.75508
AT32,121.58589
AT33,127.12478
AT34,135.6697
BE10,61.119747
BE23,60.668007
BE24,62.494984
BE25,61.3578
BE31,63.783688
BE32,66.25729
BE33,76.88628
BE34,77.355354
BE35,73.382996
BG31,80.35763
BG32,74.712036
BG33,65.08438
BG34,65.66755
DE92,65.21754
DE93,58.40612
DE94,62.080006
CZ07,70.940575
CZ08,79.74187
AL01,117.39564
AL02,91.70584
AL03,79.32761
AT11,61.14498
AT12,73.384285
AT13,60.315704
AT21,114.62812
AT22,101.8198
AT31,110.033424
DK05,55.93899
BE21,62.70663
BE22,66.06689
ES43,43.51366
ES51,60.31455
ES52,35.499306
ES53,26.74971
ES61,38.911297
ES62,25.775963
ES63,32.97564
ES64,20.42515
CH02,132.00128
CH03,116.870995
CH04,115.12189
CH05,127.74239
CH06,143.18533
CH07,149.52242
CY00,15.04891
CZ01,52.742653
CZ02,58.004486
CZ03,71.474945
CZ04,59.86296
CZ05,65.37844
CZ06,56.262173
DE40,54.324505
EL53,62.85743
EL54,72.69047
EL61,50.548466
EL62,45.82582
EL63,61.565594
ES70,0.31088632
ITC1,122.56669
ITC2,127.96905
DE11,79.17785
DE12,84.432655
DE13,103.125786
DE14,103.62316
DE21,108.254906
DE22,80.618324
DE23,71.081474
DE24,69.97486
DE25,70.25725
DE26,70.425186
DE27,106.91085
DE30,54.51824
EL42,20.407303
LV00,58.08376
ME00,126.80147
MK00,71.60806
MT00,13.327303
NL11,60.32037
NL12,53.87988
EL64,44.473095
EL65,32.83224
ES11,104.27916
ES12,97.34295
ES13,92.38567
ES21,96.6193
ES22,77.109314
ES23,59.685013
ES24,50.815304
ES30,41.521194
IE05,76.685905
IE06,73.73119
IS00,119.34436
ITC3,102.8543
FI19,48.480072
FI1B,44.170746
FI1C,44.86071
DEA1,64.85462
DEA2,72.44961
DEA3,64.85605
DEA4,69.098114
DEA5,76.408356
DEB1,66.42134
DEB2,70.15516
DEB3,66.95588
DEC0,72.4746
DED2,59.27416
DED4,65.06839
DED5,56.331257
DEE0,56.11187
DEF0,53.70524
DEG0,63.31889
DK01,47.834614
DK02,46.52683
DK03,53.94155
DK04,56.701412
ES41,53.763004
ES42,40.147587
HU23,58.864677
HU31,57.00049
HU32,60.019165
HU33,58.250565
IE04,85.57826
EE00,51.246944
EL30,21.056559
EL41,33.70017
EL43,21.204727
EL51,58.834637
EL52,55.647266
FI20,38.152878
FR10,62.597168
FRB0,66.85744
FRC1,88.35404
FRC2,115.62808
FRD1,62.67329
FRD2,65.240845
FRE1,65.373436
FRE2,65.982216
FRF1,88.07944
NL13,59.735897
NL21,60.43641
NL22,61.52165
NL23,57.746143
NL31,60.218845
NL32,52.62437
ITG2,50.77069
ITH1,103.51026
ITH2,114.55914
FRI3,70.036606
FRJ1,84.889206
FRJ2,98.81545
FRK1,96.79849
FRK2,112.173676
FRL0,77.11301
FRM0,59.443317
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,48.901848
TR32,43.606895
TR33,50.02741
HR03,104.97929
HR02,85.826385
HU11,50.797703
HU12,53.16013
HU21,54.66237
HU22,59.15732
PT16,56.44557
PT17,39.0874
FRF2,76.28119
FRF3,78.940544
FRG0,58.180027
FRH0,64.31613
FRI1,93.05406
FRI2,98.483536
ITC4,110.241844
ITF1,85.53482
ITF2,73.44227
ITF3,81.88083
ITF4,47.848392
ITF5,58.83213
ITF6,55.375
ITG1,35.005993
LT01,67.08368
LT02,62.309814
LU00,73.628334
PL22,78.06054
PL41,51.196777
PL42,54.990993
PT18,39.860054
PT20,0.0
PT30,0.0
RO11,96.72701
RO12,104.42194
RO21,79.55141
RO22,53.908863
RO31,72.25596
RO32,67.33767
ITH3,98.40835
ITH4,125.78985
ITH5,90.96655
ITI1,83.45236
ITI2,84.233345
ITI3,78.86826
ITI4,82.981804
LI00,153.4785
FI1D,45.98609
TR82,92.30226
TR83,87.59264
TR90,122.11958
TRA1,84.83137
TRA2,2.977605
PL43,53.483826
PL51,61.352257
PL52,64.39529
PL61,51.855434
PL62,57.816963
PL63,56.23901
PL71,56.798897
PL72,67.50883
PL81,65.2148
PL82,79.861755
PL84,60.39722
PL91,61.146427
PL92,59.2616
PT11,77.59708
PT15,31.986324
TRB1,88.36103
TRB2,6.5513244
TRC1,44.07961
RS12,66.594734
RS21,93.64288
RS22,80.5915
SE11,44.946003
SE12,51.294743
NL33,57.11936
NL34,61.196575
NL41,60.570812
NL42,61.575996
PL21,88.77783
UKM6,94.690994
TR22,56.326233
TRC2,51.689613
TRC3,11.046406
UKC1,66.48438
UKC2,64.342415
UKD1,83.060234
UKD3,78.01439
UKD4,81.20549
UKD6,71.988266
UKD7,74.68145
UKE1,59.704826
UKE2,69.61661
UKE3,69.077156
RO41,83.01608
RO42,90.953545
RS11,73.74874
TR41,58.20398
TR42,77.9699
TR51,56.225815
TR52,40.20703
TR61,48.04029
TR62,56.520557
TR63,59.132023
TR71,51.34858
TR72,74.786545
TR81,96.78087
UKK1,63.08792
