nuts,May Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,71.06943
DE60,73.973236
DE71,80.53498
DE72,75.63517
DE73,78.680435
DE80,68.83982
DE91,71.379684
BG41,105.15298
BG42,94.823555
CH01,171.87944
AT32,166.68257
AT33,173.3902
AT34,190.42099
BE10,74.27091
BE23,76.9007
BE24,74.55508
BE25,74.44316
BE31,76.80163
BE32,78.84666
BE33,85.85647
BE34,85.88517
BE35,82.85604
BG31,93.573
BG32,78.25487
BG33,62.078903
BG34,68.64242
DE92,69.34562
DE93,70.520256
DE94,71.995346
CZ07,94.06486
CZ08,101.31552
AL01,100.52945
AL02,85.94217
AL03,63.527203
AT11,87.58317
AT12,105.44636
AT13,87.729454
AT21,140.32579
AT22,138.75357
AT31,143.18558
DK05,65.09278
BE21,79.48704
BE22,75.902756
ES43,38.892117
ES51,71.534615
ES52,41.78899
ES53,27.126286
ES61,32.70253
ES62,26.098518
ES63,22.047602
ES64,19.162401
CH02,177.78922
CH03,155.01761
CH04,146.28362
CH05,160.93442
CH06,192.95505
CH07,181.05911
CY00,13.41363
CZ01,76.64742
CZ02,78.49633
CZ03,98.72325
CZ04,80.30081
CZ05,82.26891
CZ06,80.87168
DE40,67.76308
EL53,66.49483
EL54,66.79226
EL61,47.906284
EL62,24.882877
EL63,51.572655
ES70,0.41843328
ITC1,128.33884
ITC2,146.07635
DE11,103.73344
DE12,106.32674
DE13,131.96002
DE14,135.4487
DE21,155.03917
DE22,118.3031
DE23,99.181145
DE24,87.032524
DE25,95.49677
DE26,84.62394
DE27,150.50955
DE30,67.19328
EL42,9.073478
LV00,72.57009
ME00,109.00636
MK00,76.30869
MT00,6.7419014
NL11,73.00997
NL12,71.72162
EL64,39.91551
EL65,23.437313
ES11,87.56019
ES12,100.53814
ES13,89.691505
ES21,84.07634
ES22,84.29093
ES23,88.6074
ES24,64.606064
ES30,52.55206
IE05,84.05157
IE06,78.04146
IS00,80.95255
ITC3,80.68961
FI19,59.076656
FI1B,52.694664
FI1C,54.575153
DEA1,80.80924
DEA2,80.487976
DEA3,75.03723
DEA4,74.65726
DEA5,84.54536
DEB1,81.57011
DEB2,82.90522
DEB3,83.79215
DEC0,90.47318
DED2,77.89466
DED4,89.37686
DED5,68.13018
DEE0,68.321365
DEF0,70.000496
DEG0,78.50261
DK01,61.81319
DK02,58.72789
DK03,68.923935
DK04,68.18939
ES41,63.54161
ES42,48.636383
HU23,69.76468
HU31,83.60146
HU32,75.45643
HU33,66.440506
IE04,95.286964
EE00,59.690536
EL30,14.93648
EL41,15.724183
EL43,13.879193
EL51,66.2012
EL52,65.8314
FI20,40.40693
FR10,71.60052
FRB0,75.80763
FRC1,95.14482
FRC2,139.11734
FRD1,72.95957
FRD2,74.940704
FRE1,75.805595
FRE2,78.1557
FRF1,117.78446
NL13,73.86953
NL21,79.227165
NL22,79.42831
NL23,80.28019
NL31,80.999825
NL32,73.85655
ITG2,37.305737
ITH1,138.31932
ITH2,150.05508
FRI3,75.77284
FRJ1,85.220856
FRJ2,108.92046
FRK1,107.742516
FRK2,126.40411
FRL0,78.69739
FRM0,49.16399
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,27.060444
TR32,35.540188
TR33,42.315453
HR03,92.24226
HR02,87.32037
HU11,70.32638
HU12,71.45003
HU21,72.8318
HU22,77.51793
PT16,59.153385
