nuts,September Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,70.3053
DE60,76.200294
DE71,72.00812
DE72,73.433624
DE73,71.26548
DE80,62.12741
DE91,69.38047
BG41,52.484188
BG42,47.798195
CH01,125.95128
AT32,142.42264
AT33,134.99744
AT34,134.77586
BE10,62.304028
BE23,61.75342
BE24,64.9791
BE25,62.693607
BE31,64.08885
BE32,62.371944
BE33,73.41213
BE34,79.72247
BE35,69.99025
BG31,56.2842
BG32,50.53009
BG33,51.364826
BG34,45.4578
DE92,70.57134
DE93,70.72023
DE94,79.815315
CZ07,86.39118
CZ08,92.41431
AL01,112.67384
AL02,78.53754
AL03,73.49639
AT11,85.22601
AT12,89.606735
AT13,81.85715
AT21,133.90547
AT22,119.740364
AT31,118.826096
DK05,81.7908
BE21,68.27418
BE22,69.02689
ES43,28.37566
ES51,75.20499
ES52,56.408695
ES53,40.099346
ES61,25.162415
ES62,35.51166
ES63,21.254684
ES64,19.090128
CH02,120.060776
CH03,106.858665
CH04,108.244125
CH05,122.22006
CH06,143.67667
CH07,155.09514
CY00,4.3856044
CZ01,65.37234
CZ02,68.20565
CZ03,76.29084
CZ04,70.28059
CZ05,76.9038
CZ06,78.364204
DE40,57.74918
EL53,44.661427
EL54,69.657616
EL61,44.37351
EL62,70.71198
EL63,53.368458
ES70,0.5175054
ITC1,107.216286
ITC2,107.56346
DE11,73.248116
DE12,77.692474
DE13,88.65305
DE14,91.893776
DE21,109.38364
DE22,85.168144
DE23,73.957825
DE24,73.365005
DE25,70.1159
DE26,71.543
DE27,103.19477
DE30,57.882687
EL42,7.9198613
LV00,73.74423
ME00,120.89377
MK00,48.91668
MT00,36.47768
NL11,86.8496
NL12,98.6844
EL64,31.692966
EL65,22.237011
ES11,52.617157
ES12,59.90619
ES13,54.657784
ES21,53.594505
ES22,53.087467
ES23,39.23815
ES24,48.22638
ES30,23.980997
IE05,86.93056
IE06,76.010086
IS00,145.12692
ITC3,88.8893
FI19,74.17507
FI1B,72.86276
FI1C,72.88664
DEA1,75.5526
DEA2,77.57018
DEA3,74.80054
DEA4,73.98984
DEA5,85.61234
DEB1,69.383385
DEB2,71.120255
DEB3,68.90012
DEC0,74.192154
DED2,70.4405
DED4,73.31082
DED5,60.68739
DEE0,62.83666
DEF0,75.68791
DEG0,68.31392
DK01,72.47561
DK02,70.90241
DK03,80.327965
DK04,82.612144
ES41,33.307793
ES42,29.607504
HU23,74.33675
HU31,63.520607
HU32,63.290173
HU33,60.18521
IE04,104.34587
EE00,76.72226
EL30,12.216175
EL41,16.05414
EL43,11.20103
EL51,34.239872
EL52,46.63868
FI20,68.302986
FR10,50.83608
FRB0,53.598118
FRC1,75.12466
FRC2,102.36543
FRD1,58.36377
FRD2,60.296894
FRE1,61.18422
FRE2,55.34679
FRF1,85.04909
NL13,76.35891
NL21,73.25518
NL22,70.43908
NL23,80.67949
NL31,73.986244
NL32,97.86599
ITG2,35.092678
ITH1,106.413055
ITH2,113.51988
FRI3,52.97349
FRJ1,75.00655
FRJ2,72.535866
FRK1,78.57643
FRK2,97.41456
FRL0,65.96787
FRM0,48.783794
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,16.74263
TR32,15.818045
TR33,16.157785
HR03,123.22175
HR02,85.725365
HU11,64.44163
HU12,62.86726
HU21,69.80943
HU22,80.79341
PT16,35.28393
PT17,20.473257
FRF2,75.04299
FRF3,81.82963
FRG0,47.786385
FRH0,49.253174
FRI1,67.99319
FRI2,74.44387
ITC4,105.716835
ITF1,73.121895
ITF2,65.082146
ITF3,84.161964
ITF4,48.95918
ITF5,46.536217
ITF6,68.91521
ITG1,52.07848
LT01,71.90652
LT02,71.03152
LU00,77.58433
PL22,88.72518
PL41,58.872715
PL42,65.52516
PT18,22.137312
PT20,0.0
PT30,0.0
RO11,81.14223
RO12,75.98822
RO21,62.703545
RO22,48.10342
RO31,57.01201
RO32,54.512337
ITH3,115.69859
ITH4,160.16287
ITH5,86.35092
ITI1,92.5564
ITI2,80.25462
ITI3,69.043236
ITI4,84.80224
LI00,155.14864
FI1D,72.67527
TR82,47.230873
TR83,37.54985
TR90,112.090454
TRA1,24.8542
TRA2,1.4701035
PL43,57.11852
PL51,75.66957
PL52,81.52566
PL61,56.9191
PL62,68.24137
PL63,67.48712
PL71,70.76677
PL72,75.95052
PL81,74.56807
PL82,91.18197
PL84,69.357864
PL91,67.021126
PL92,66.56197
PT11,45.547405
PT15,14.30971
TRB1,13.16741
TRB2,0.8288936
TRC1,6.7967668
RS12,56.450367
RS21,63.328033
RS22,53.584244
SE11,64.93584
SE12,64.61834
NL33,83.52669
NL34,70.602425
NL41,70.18445
NL42,69.03172
PL21,93.6676
UKM6,137.60403
TR22,25.44788
TRC2,5.202758
TRC3,0.9695277
UKC1,69.56024
UKC2,67.752945
UKD1,101.346245
UKD3,80.04337
UKD4,96.76141
UKD6,69.44169
UKD7,86.75352
UKE1,61.23897
UKE2,70.17798
UKE3,60.556942
RO41,64.413086
RO42,73.23169
RS11,60.740982
TR41,27.179815
TR42,46.80561
TR51,15.126811
TR52,10.861223
TR61,16.386204
TR62,21.61802
TR63,15.734264
TR71,12.705274
TR72,18.009108
TR81,63.298023
UKK1,57.952377
UKK2,63.509525
UKK3,66.02283
UKK4,65.83917
UKL1,88.765305
UKL2,73.91748
UKM5,85.632355
UKM7,93.76088
UKM8,120.439354
