nuts,December Total Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,81.82224
DE60,80.04564
DE71,88.24906
DE72,89.5046
DE73,83.73621
DE80,64.474846
DE91,78.47895
BG41,65.49354
BG42,72.88239
CH01,146.51273
AT32,108.02371
AT33,104.55148
AT34,127.92422
BE10,81.23944
BE23,78.41954
BE24,83.3753
BE25,79.9427
BE31,84.74606
BE32,83.63245
BE33,100.79282
BE34,105.910835
BE35,96.35975
BG31,56.086315
BG32,54.922382
BG33,52.40527
BG34,65.19545
DE92,83.054474
DE93,77.43339
DE94,85.00015
CZ07,59.81192
CZ08,60.090363
AL01,165.53122
AL02,123.45604
AL03,128.79674
AT11,47.08456
AT12,57.655243
AT13,48.945618
AT21,72.96586
AT22,71.97489
AT31,93.60323
DK05,78.11174
BE21,82.13646
BE22,88.6345
ES43,76.10446
ES51,49.68232
ES52,38.185356
ES53,45.701508
ES61,63.37216
ES62,28.106398
ES63,83.828705
ES64,24.916744
CH02,136.19841
CH03,110.92998
CH04,107.01237
CH05,108.9616
CH06,131.14543
CH07,92.05932
CY00,77.45366
CZ01,49.049564
CZ02,54.60977
CZ03,63.228596
CZ04,66.1089
CZ05,66.96454
CZ06,51.046616
DE40,60.268486
EL53,81.55184
EL54,157.84767
EL61,101.81487
EL62,165.08723
EL63,143.85356
ES70,1.9064069
ITC1,83.65864
ITC2,112.841896
DE11,90.67051
DE12,102.480125
DE13,110.84947
DE14,95.38283
DE21,93.47821
DE22,83.80562
DE23,84.6329
DE24,88.84762
DE25,82.05574
DE26,87.69421
DE27,98.308464
DE30,61.91386
EL42,93.19136
LV00,63.16341
ME00,170.44975
MK00,75.65983
MT00,73.81365
NL11,80.09454
NL12,93.196045
EL64,97.735176
EL65,98.985016
ES11,146.79547
ES12,116.035446
ES13,95.76178
ES21,100.46687
ES22,76.835175
ES23,53.68985
ES24,45.309586
ES30,54.203262
IE05,112.59734
IE06,87.96859
IS00,155.2386
ITC3,107.18485
FI19,53.443092
FI1B,68.07411
FI1C,62.416225
DEA1,94.53212
DEA2,102.10714
DEA3,89.457756
DEA4,89.00464
DEA5,108.08891
DEB1,90.75875
DEB2,95.22921
DEB3,83.05312
DEC0,102.34944
DED2,69.07167
DED4,78.47686
DED5,65.37416
DEE0,63.374252
DEF0,79.813446
DEG0,74.10065
DK01,73.49389
DK02,70.449585
DK03,78.22196
DK04,76.49547
ES41,65.76055
ES42,52.389584
HU23,56.185776
HU31,46.42119
HU32,53.269356
HU33,51.657238
IE04,127.13586
EE00,64.61548
EL30,67.03899
EL41,120.8304
EL43,85.91137
EL51,90.20839
EL52,83.33408
FI20,64.273895
FR10,75.7666
FRB0,73.25951
FRC1,92.89053
FRC2,137.70923
FRD1,93.072395
FRD2,83.68071
FRE1,84.57236
FRE2,80.298035
FRF1,107.93618
NL13,76.27398
NL21,83.88553
NL22,83.4565
NL23,86.53071
NL31,83.753456
NL32,97.8165
ITG2,62.243767
ITH1,70.342804
ITH2,72.98682
FRI3,78.88022
FRJ1,76.60606
FRJ2,83.59035
FRK1,82.589035
FRK2,111.21893
FRL0,78.398735
FRM0,85.90222
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,118.412155
TR32,111.88348
TR33,65.13538
HR03,132.59853
HR02,71.07074
HU11,47.609512
HU12,48.361385
HU21,52.296646
HU22,50.352715
PT16,106.1016
PT17,81.70389
FRF2,96.019196
FRF3,106.676346
FRG0,78.32921
FRH0,95.79019
FRI1,87.50883
FRI2,94.098045
ITC4,71.92182
ITF1,86.36434
ITF2,81.08912
ITF3,117.50191
ITF4,63.358463
ITF5,66.01335
ITF6,103.295074
ITG1,70.24001
LT01,61.074745
LT02,63.170124
LU00,98.11184
PL22,63.666916
PL41,56.25555
PL42,63.76346
PT18,72.08302
PT20,0.0
PT30,0.0
RO11,73.19756
RO12,56.840195
RO21,45.240448
RO22,44.920147
RO31,49.405323
RO32,46.98778
ITH3,69.171455
ITH4,101.9785
ITH5,74.42372
ITI1,89.3858
ITI2,85.20205
ITI3,77.09687
ITI4,102.38426
LI00,134.15474
FI1D,51.242477
TR82,91.6343
TR83,73.22778
TR90,100.75279
TRA1,56.56546
TRA2,2.1906977
PL43,59.84073
PL51,62.648468
PL52,55.074997
PL61,54.03958
PL62,59.442085
PL63,60.740112
PL71,55.124878
PL72,52.641277
PL81,52.86296
PL82,64.43986
PL84,54.769108
PL91,54.502712
PL92,54.09043
PT11,127.64402
PT15,72.59072
TRB1,99.25859
TRB2,6.7496424
TRC1,98.36575
RS12,53.940456
RS21,71.19341
RS22,64.70122
SE11,56.895504
SE12,52.430103
NL33,86.39228
NL34,80.21018
NL41,80.87311
NL42,86.27214
PL21,61.933517
UKM6,161.26372
TR22,105.51237
TRC2,85.432526
TRC3,18.165846
UKC1,81.07013
UKC2,82.566055
UKD1,136.48352
UKD3,104.02053
UKD4,128.3981
UKD6,86.79348
UKD7,105.76896
UKE1,66.76951
UKE2,85.45017
UKE3,71.15824
RO41,58.525238
RO42,68.47456
RS11,57.18074
TR41,75.14531
TR42,104.798744
TR51,55.564194
TR52,63.0463
TR61,112.31357
TR62,123.28602
TR63,105.27672
TR71,57.727856
TR72,64.21164
TR81,111.86571
UKK1,76.43904
UKK2,89.981575
UKK3,110.43432
UKK4,100.47175
UKL1,129.58856
UKL2,101.93097
UKM5,84.529564
UKM7,113.01386
UKM8,144.1035
UKM9,124.70724
UKN0,105.283714
SE21,62.76008
SE22,67.675095
SE23,72.88856
SE31,55.699127
SE32,64.35071
SE33,64.18923
SI03,78.447105
SI04,100.3409
SK01,46.069572
SK02,54.209198
SK03,62.046017
SK04,56.472023
TR10,103.76874
TR21,81.29973
UKE4,84.98587
UKF1,69.73957
UKF2,59.797665
UKF3,57.98269
UKG1,67.76761
UKG2,73.7347
UKG3,65.6881
UKH1,62.862133
UKH2,59.394337
UKH3,63.02587
UKI3,63.032
UKI4,63.032
UKI5,60.355946
UKI6,65.7936
UKI7,62.57604
UKJ1,64.77692
UKJ2,85.297226
UKJ3,84.910576
UKJ4,75.75105
NO09,129.74544
NO0A,235.00352
NO0B,71.71131
HR05,68.476295
HR06,64.451126
NO02,72.06665
NO06,137.78835
NO07,112.24665
NO08,79.23871
