nuts,January Total Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,83.53131
DE60,85.95034
DE71,90.38252
DE72,90.2765
DE73,87.749214
DE80,70.24276
DE91,80.489685
BG41,55.31761
BG42,56.933945
CH01,156.61955
AT32,105.20619
AT33,105.36099
AT34,128.3785
BE10,82.7277
BE23,82.2207
BE24,84.48705
BE25,85.58851
BE31,87.06781
BE32,92.07138
BE33,104.77913
BE34,115.75043
BE35,103.57257
BG31,55.806606
BG32,58.460114
BG33,53.257984
BG34,58.79948
DE92,85.62283
DE93,82.241486
DE94,91.27584
CZ07,62.451004
CZ08,63.07059
AL01,158.68419
AL02,115.44801
AL03,104.13462
AT11,48.03532
AT12,60.289288
AT13,50.514534
AT21,80.8427
AT22,73.52578
AT31,97.50931
DK05,92.58043
BE21,85.4455
BE22,89.91256
ES43,60.17239
ES51,53.112103
ES52,35.902046
ES53,43.649204
ES61,50.88304
ES62,29.872135
ES63,70.94995
ES64,34.525425
CH02,136.20306
CH03,114.25345
CH04,115.016014
CH05,113.99695
CH06,133.91257
CH07,114.90659
CY00,57.834064
CZ01,54.557594
CZ02,60.21861
CZ03,71.862465
CZ04,69.00585
CZ05,71.76767
CZ06,53.57845
DE40,66.84955
EL53,65.64313
EL54,120.501205
EL61,87.99659
EL62,118.43773
EL63,112.06545
ES70,1.0121824
ITC1,97.40936
ITC2,126.2175
DE11,97.32222
DE12,110.4481
DE13,114.38715
DE14,99.89478
DE21,92.838936
DE22,86.87649
DE23,86.55371
DE24,91.724945
DE25,87.05912
DE26,95.09483
DE27,100.28883
DE30,66.16512
EL42,71.57055
LV00,70.10664
ME00,162.75998
MK00,62.942368
MT00,58.152386
NL11,94.117226
NL12,100.81979
EL64,79.37362
EL65,73.136055
ES11,144.7676
ES12,114.30523
ES13,101.59281
ES21,107.92564
ES22,79.476425
ES23,57.830605
ES24,46.95129
ES30,49.589928
IE05,130.82788
IE06,101.27904
IS00,159.47787
ITC3,120.23534
FI19,59.42967
FI1B,68.25929
FI1C,64.073494
DEA1,97.41672
DEA2,103.302216
DEA3,94.71224
DEA4,94.53297
DEA5,113.810905
DEB1,91.11903
DEB2,97.30959
DEB3,80.95815
DEC0,107.09072
DED2,74.17797
DED4,82.32313
DED5,69.47671
DEE0,65.79635
DEF0,87.84618
DEG0,76.21664
DK01,79.80252
DK02,76.68208
DK03,88.45068
DK04,89.643456
ES41,63.853546
ES42,45.163334
HU23,59.951077
HU31,51.54692
HU32,54.994568
HU33,50.207424
IE04,144.1133
EE00,68.34862
EL30,54.464382
EL41,93.67421
EL43,65.418594
EL51,67.05096
EL52,54.651726
FI20,63.882206
FR10,75.81903
FRB0,77.53775
FRC1,103.636406
FRC2,142.19302
FRD1,96.394165
FRD2,85.86748
FRE1,92.45251
FRE2,87.85748
FRF1,110.554115
NL13,89.098724
NL21,91.39741
NL22,87.45514
NL23,96.20931
NL31,89.29261
NL32,104.23204
ITG2,55.253807
ITH1,79.240875
ITH2,75.53652
FRI3,93.33424
FRJ1,84.24778
FRJ2,87.66438
FRK1,93.89814
FRK2,118.120605
FRL0,83.69101
FRM0,71.60937
FRY1,0.0
FRY2,0.0
