nuts,March Total Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,65.35366
DE60,63.318314
DE71,70.87054
DE72,72.79864
DE73,70.9033
DE80,55.430588
DE91,66.50025
BG41,76.43343
BG42,75.65507
CH01,132.51991
AT32,119.12619
AT33,114.52094
AT34,129.20811
BE10,70.65592
BE23,68.85541
BE24,71.90804
BE25,65.59168
BE31,74.606064
BE32,74.92618
BE33,82.939255
BE34,87.52373
BE35,82.7083
BG31,67.81736
BG32,67.25292
BG33,61.430458
BG34,63.364597
DE92,66.0573
DE93,64.11219
DE94,69.0388
CZ07,59.859383
CZ08,63.099564
AL01,145.87529
AL02,115.45071
AL03,112.15724
AT11,54.708897
AT12,63.132095
AT13,55.228615
AT21,89.50455
AT22,83.97812
AT31,99.49893
DK05,56.133583
BE21,70.7758
BE22,71.78455
ES43,49.348938
ES51,52.77839
ES52,36.962208
ES53,29.57702
ES61,51.149162
ES62,34.593117
ES63,53.30855
ES64,39.548874
CH02,121.933716
CH03,103.486946
CH04,103.244095
CH05,107.58926
CH06,127.94098
CH07,109.73829
CY00,37.592625
CZ01,50.78716
CZ02,54.46548
CZ03,63.926933
CZ04,60.85051
CZ05,63.24274
CZ06,53.79951
DE40,54.408737
EL53,77.05109
EL54,118.07499
EL61,90.187004
EL62,95.7127
EL63,106.74094
ES70,1.3388112
ITC1,100.729515
ITC2,112.78526
DE11,83.970055
DE12,88.77867
DE13,96.656944
DE14,90.6278
DE21,95.81978
DE22,79.88591
DE23,73.54238
DE24,69.54342
DE25,75.69292
DE26,72.6407
DE27,96.48615
DE30,54.56896
EL42,55.305435
LV00,48.1257
ME00,151.55434
MK00,75.48407
MT00,36.187096
NL11,67.565956
NL12,66.85661
EL64,88.841805
EL65,75.75999
ES11,112.95328
ES12,110.94429
ES13,98.92709
ES21,99.63328
ES22,75.51746
ES23,58.683464
ES24,46.789055
ES30,44.414402
IE05,87.856544
IE06,74.54698
IS00,129.67546
ITC3,94.555504
FI19,37.107677
