nuts,April Total Precipitation (mm) ensemble median - RCP8.5 - (2041 - 2070)
DE50,58.879646
DE60,56.9242
DE71,65.29829
DE72,65.83797
DE73,66.32058
DE80,51.76069
DE91,60.556282
BG41,77.76879
BG42,66.22233
CH01,140.04074
AT32,125.814575
AT33,124.99562
AT34,131.54298
BE10,61.493553
BE23,64.986786
BE24,62.010277
BE25,65.03665
BE31,64.7831
BE32,66.81232
BE33,74.21001
BE34,80.9598
BE35,73.60163
BG31,70.346725
BG32,61.118317
BG33,55.852695
BG34,59.48236
DE92,58.88156
DE93,54.86816
DE94,59.765434
CZ07,68.099014
CZ08,78.82648
AL01,121.05031
AL02,98.473465
AL03,82.07335
AT11,64.116234
AT12,72.87051
AT13,63.369076
AT21,111.609215
AT22,97.16196
AT31,104.5568
DK05,51.073757
BE21,60.697475
BE22,63.660755
ES43,49.472588
ES51,70.00892
ES52,48.160572
ES53,35.34469
ES61,39.527668
ES62,34.2474
ES63,40.44708
ES64,25.371569
CH02,128.05095
CH03,112.69451
CH04,115.780525
CH05,126.81148
CH06,141.97191
CH07,169.73547
CY00,16.126614
CZ01,55.66945
CZ02,58.885754
CZ03,72.36164
CZ04,63.733524
CZ05,64.72106
CZ06,56.90596
DE40,51.129242
EL53,61.93911
EL54,81.92289
EL61,49.13048
EL62,50.576797
EL63,67.40104
ES70,0.51496327
ITC1,145.21205
ITC2,146.58246
DE11,80.25412
DE12,84.21996
DE13,97.55289
DE14,97.304756
DE21,106.739395
DE22,80.03973
DE23,71.33635
DE24,66.75988
DE25,68.50001
DE26,67.31989
DE27,100.66869
DE30,49.47956
EL42,19.328896
LV00,51.11502
ME00,126.17002
MK00,73.30176
MT00,16.67373
NL11,60.445072
NL12,52.81338
EL64,44.046917
EL65,37.68205
ES11,121.55478
ES12,123.56642
ES13,106.176094
ES21,108.34451
ES22,93.38049
ES23,75.61053
ES24,64.14868
ES30,56.197975
IE05,80.766716
IE06,71.98996
IS00,108.66668
ITC3,113.76687
FI19,42.78085
FI1B,40.92988
FI1C,40.55257
DEA1,62.638245
DEA2,69.86189
DEA3,59.939667
DEA4,65.27417
DEA5,74.036125
DEB1,66.37281
DEB2,70.35913
DEB3,66.79588
DEC0,72.735825
DED2,62.057426
DED4,66.65747
DED5,53.18638
DEE0,52.21327
DEF0,52.614513
DEG0,63.772774
DK01,44.703674
DK02,44.31765
DK03,51.05392
DK04,52.938156
ES41,72.108246
ES42,51.446583
HU23,58.699425
HU31,61.04353
HU32,62.419727
HU33,58.64315
IE04,86.39316
EE00,44.62193
EL30,22.800587
EL41,32.09193
EL43,21.455942
EL51,54.803516
EL52,54.741104
FI20,37.964653
FR10,64.70176
FRB0,70.77645
FRC1,88.73684
FRC2,115.55016
FRD1,69.87166
FRD2,69.99584
FRE1,65.87919
FRE2,66.88933
FRF1,87.91634
NL13,59.306694
NL21,58.740715
NL22,60.181377
NL23,60.652924
NL31,61.943222
NL32,54.066803
ITG2,55.4742
ITH1,107.442085
ITH2,126.07061
FRI3,76.942696
FRJ1,94.345
FRJ2,107.348976
FRK1,100.257095
FRK2,113.292046
FRL0,93.44785
FRM0,68.40835
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,48.154263
TR32,43.215603
TR33,51.469467
HR03,105.042625
HR02,75.88531
HU11,53.966225
HU12,56.81771
HU21,58.638752
HU22,62.332157
PT16,78.36795
PT17,45.090767
FRF2,78.07973
FRF3,81.96127
FRG0,66.429375
FRH0,71.00012
FRI1,102.94162
FRI2,109.274765
ITC4,120.68586
ITF1,87.24202
ITF2,77.65504
ITF3,88.46169
ITF4,46.08841
ITF5,54.15327
ITF6,61.66802
ITG1,41.430473
LT01,62.22433
LT02,57.287506
LU00,75.54851
PL22,74.614815
PL41,48.119358
PL42,53.257874
PT18,43.50934
PT20,0.0
PT30,0.0
RO11,90.9803
RO12,93.66575
RO21,74.120804
RO22,51.85032
RO31,65.23785
RO32,61.915424
ITH3,107.234566
ITH4,138.35112
ITH5,91.83139
ITI1,84.631676
ITI2,89.7846
ITI3,76.72427
ITI4,90.272804
LI00,143.85986
FI1D,41.70578
TR82,92.93397
TR83,87.1301
TR90,122.66502
TRA1,81.759415
TRA2,2.8246963
PL43,53.489506
PL51,61.142704
PL52,61.43956
PL61,50.821686
PL62,56.37564
PL63,53.351734
PL71,56.021984
PL72,66.69705
PL81,64.97993
PL82,78.892105
PL84,59.10097
PL91,59.318092
PL92,58.037395
PT11,103.30809
PT15,36.849895
TRB1,96.43277
TRB2,7.025938
TRC1,51.285465
RS12,62.781506
RS21,83.11132
RS22,76.631424
SE11,42.33012
SE12,50.455463
NL33,61.55642
NL34,62.433945
NL41,60.567802
NL42,59.119915
PL21,85.22226
UKM6,86.41994
TR22,52.92853
TRC2,60.795753
