nuts,January Total Precipitation (mm) ensemble median - RCP4.5 - (2041 - 2070)
DE50,74.68255
DE60,76.24283
DE71,80.58283
DE72,80.936516
DE73,79.01044
DE80,59.795776
DE91,69.47511
BG41,56.863564
BG42,59.61494
CH01,141.44475
AT32,100.594185
AT33,100.26785
AT34,124.44428
BE10,74.37456
BE23,73.522194
BE24,76.60095
BE25,75.593925
BE31,78.64997
BE32,84.29746
BE33,101.5741
BE34,104.03549
BE35,95.83687
BG31,49.455307
BG32,52.66653
BG33,52.305706
BG34,59.12936
DE92,72.353874
DE93,73.04811
DE94,77.17199
CZ07,56.244545
CZ08,58.189236
AL01,164.30455
AL02,123.16636
AL03,111.80635
AT11,44.321144
AT12,57.06869
AT13,44.37191
AT21,63.526146
AT22,69.03494
AT31,96.4433
DK05,77.9445
BE21,77.031044
BE22,82.2864
ES43,65.96247
ES51,51.23453
ES52,37.435757
ES53,46.73085
ES61,52.541996
ES62,28.55226
ES63,79.836494
ES64,44.06968
CH02,125.046875
CH03,103.5264
CH04,103.65524
CH05,101.31457
CH06,127.3585
CH07,95.80854
CY00,66.10382
CZ01,49.412056
CZ02,55.744198
CZ03,67.51047
CZ04,63.41272
CZ05,63.301838
CZ06,49.844967
DE40,55.7006
EL53,69.65121
EL54,134.367
EL61,95.288925
EL62,134.75267
EL63,133.29466
ES70,1.4569472
ITC1,92.53834
ITC2,125.82715
DE11,87.3772
DE12,95.92854
DE13,105.38233
DE14,92.873505
DE21,90.25691
DE22,85.07602
DE23,82.09499
DE24,83.25261
DE25,78.46086
DE26,83.374374
DE27,98.232544
DE30,54.54942
EL42,86.35078
LV00,59.168945
ME00,155.85693
MK00,67.084274
MT00,65.8533
NL11,77.12879
NL12,83.69154
EL64,90.90719
EL65,97.52993
ES11,157.41121
ES12,126.12691
ES13,103.91933
ES21,110.85346
ES22,84.81133
ES23,62.905075
ES24,51.2817
ES30,56.050247
IE05,114.742905
IE06,87.7829
IS00,155.90373
ITC3,105.00541
FI19,50.6448
FI1B,60.64685
FI1C,56.554653
DEA1,89.253716
DEA2,97.20481
DEA3,81.53309
DEA4,79.5971
DEA5,100.478485
DEB1,84.281075
DEB2,90.972244
DEB3,74.20554
DEC0,94.93214
DED2,65.17416
DED4,73.34324
DED5,59.98337
DEE0,56.807175
DEF0,76.08175
DEG0,69.58776
DK01,66.77976
DK02,65.04893
