nuts,March Total Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,68.838425
DE60,67.04989
DE71,78.012
DE72,77.524994
DE73,78.23039
DE80,56.19394
DE91,71.4872
BG41,78.35597
BG42,75.91081
CH01,136.57259
AT32,127.66531
AT33,126.383446
AT34,143.19598
BE10,71.41441
BE23,71.586395
BE24,75.4769
BE25,69.64843
BE31,78.173
BE32,78.48596
BE33,91.16909
BE34,94.83043
BE35,87.86762
BG31,74.68842
BG32,69.25148
BG33,62.486485
BG34,68.25062
DE92,71.85292
DE93,66.757515
DE94,70.51344
CZ07,66.61505
CZ08,68.60741
AL01,151.39095
AL02,124.30308
AL03,116.34739
AT11,54.69692
AT12,67.715614
AT13,55.62042
AT21,95.01456
AT22,94.69168
AT31,106.34043
DK05,57.19758
BE21,73.10308
BE22,80.57669
ES43,50.395885
ES51,54.21811
ES52,33.37445
ES53,29.042871
ES61,48.758747
ES62,32.19686
ES63,61.53646
ES64,37.400974
CH02,127.867775
CH03,108.1823
CH04,111.13181
CH05,117.59334
CH06,139.15195
CH07,100.44734
CY00,34.294136
CZ01,52.762093
CZ02,58.75732
CZ03,69.56539
CZ04,65.39339
CZ05,70.29469
CZ06,55.70478
DE40,57.242527
EL53,76.19239
EL54,124.35217
EL61,87.112946
EL62,100.28159
EL63,105.54243
ES70,1.0373169
ITC1,85.18966
ITC2,112.85329
DE11,88.42293
DE12,94.59758
DE13,104.898415
DE14,97.993904
DE21,104.84564
DE22,85.10164
DE23,78.68191
DE24,79.35298
DE25,77.82498
DE26,80.513824
DE27,106.71965
DE30,58.022747
EL42,51.616398
LV00,51.88581
ME00,148.71657
MK00,75.46845
MT00,29.622547
NL11,67.436584
NL12,68.319466
EL64,80.62471
EL65,68.59846
ES11,106.978096
ES12,97.29409
ES13,87.50996
ES21,91.48413
ES22,72.26942
ES23,60.019684
ES24,45.737206
ES30,43.25627
IE05,87.18593
IE06,77.34453
IS00,137.84674
ITC3,84.98947
FI19,42.400913
FI1B,46.634743
FI1C,45.033558
DEA1,81.138504
DEA2,88.75237
DEA3,76.46887
DEA4,78.82709
DEA5,96.49218
DEB1,80.7119
DEB2,81.8707
DEB3,74.26917
DEC0,87.91545
DED2,69.49202
DED4,75.67311
DED5,62.5997
DEE0,59.9666
DEF0,63.110207
DEG0,72.32636
DK01,49.55005
DK02,49.440155
DK03,60.787655
DK04,57.7987
ES41,54.1147
ES42,45.587303
HU23,55.34269
HU31,52.207195
HU32,53.29457
HU33,52.076588
IE04,96.98021
EE00,46.97159
EL30,50.896137
EL41,71.427505
EL43,47.730312
EL51,78.75845
EL52,69.96759
