nuts,May Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,14.441187
DE60,14.087427
DE71,15.076532
DE72,14.16366
DE73,13.878748
DE80,14.029566
DE91,14.279505
BG41,15.6375065
BG42,16.8688
CH01,9.258051
AT32,9.851282
AT33,8.046289
AT34,9.814203
BE10,14.838739
BE23,14.752283
BE24,14.867426
BE25,14.379602
BE31,14.571894
BE32,14.445581
BE33,13.846155
BE34,13.742548
BE35,14.099329
BG31,18.390802
BG32,18.303919
BG33,17.681696
BG34,17.818567
DE92,14.645441
DE93,14.573053
DE94,14.335657
CZ07,14.737452
CZ08,14.525049
AL01,16.9573
AL02,17.824366
AL03,17.897211
AT11,16.75442
AT12,15.336481
AT13,16.64065
AT21,11.832331
AT22,12.946619
AT31,14.067011
DK05,12.498865
BE21,15.044886
BE22,14.96908
ES43,19.797388
ES51,16.705347
ES52,18.504328
ES53,19.516596
ES61,20.103601
ES62,19.494379
ES63,18.899012
ES64,21.285334
CH02,11.528528
CH03,14.806543
CH04,14.460535
CH05,9.494593
CH06,10.535608
CH07,11.510675
CY00,22.813044
CZ01,15.305841
CZ02,14.861628
CZ03,14.09527
CZ04,13.821833
CZ05,14.235956
CZ06,15.301081
DE40,15.222681
EL53,16.885157
EL54,17.913813
EL61,19.307673
EL62,20.04278
EL63,19.349024
ES70,19.54214
ITC1,13.8034
ITC2,7.5545287
DE11,14.828119
DE12,15.169886
DE13,14.778833
DE14,14.273279
DE21,14.240961
DE22,15.101252
DE23,14.549189
DE24,14.177515
DE25,14.934412
DE26,14.759546
DE27,13.561792
DE30,15.374414
EL42,20.583002
LV00,13.596064
ME00,15.355219
MK00,16.867517
MT00,20.03271
NL11,13.881067
NL12,13.348261
EL64,19.777796
EL65,20.085352
ES11,14.595514
ES12,13.603998
ES13,14.296534
ES21,15.102228
ES22,15.835474
ES23,14.770838
ES24,16.558924
ES30,17.528284
IE05,12.084864
IE06,12.115564
IS00,5.1572814
ITC3,16.553156
FI19,11.567896
FI1B,11.623529
FI1C,11.804651
DEA1,15.177149
DEA2,14.334284
DEA3,15.087824
DEA4,14.508356
DEA5,14.1123295
DEB1,14.27981
DEB2,13.849115
DEB3,15.354883
DEC0,14.753077
DED2,14.779352
DED4,13.831415
DED5,15.294397
DEE0,14.911646
DEF0,13.602198
DEG0,13.977015
DK01,12.453791
DK02,12.917139
DK03,12.881006
DK04,12.6184635
ES41,15.147852
ES42,18.273706
HU23,18.281733
HU31,17.748316
HU32,18.655909
HU33,18.769312
IE04,11.904322
EE00,12.513575
EL30,21.284357
EL41,20.277887
EL43,20.7149
EL51,18.598505
EL52,19.601831
FI20,9.574915
FR10,14.999201
FRB0,15.339472
FRC1,15.581903
FRC2,15.0805
FRD1,13.941248
FRD2,14.019739
FRE1,14.169947
FRE2,14.530024
FRF1,15.301233
NL13,14.266077
NL21,14.64773
NL22,14.892908
NL23,14.317163
NL31,14.5533085
NL32,13.463221
ITG2,18.741083
ITH1,8.00625
ITH2,11.597895
FRI3,16.018885
FRJ1,15.865076
FRJ2,15.243341
FRK1,14.120142
FRK2,13.691645
FRL0,15.143457
FRM0,17.754847
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,20.733454
TR32,20.352198
TR33,18.471125
HR03,17.838953
HR02,18.29812
HU11,18.159937
HU12,18.078669
HU21,17.77624
HU22,17.685755
