nuts,Winter Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,3.8786254
DE60,3.5243163
DE71,3.2066894
DE72,2.6226745
DE73,2.4549804
DE80,2.9962707
DE91,2.8158507
BG41,1.5953003
BG42,3.1260924
CH01,-2.4361634
AT32,-3.1249146
AT33,-4.5174317
AT34,-2.8490663
BE10,5.393213
BE23,5.6696105
BE24,5.303674
BE25,6.09765
BE31,5.0748534
BE32,5.2166686
BE33,3.720697
BE34,3.405725
BE35,4.2828
BG31,2.5377746
BG32,3.0132995
BG33,3.8851256
BG34,4.4210143
DE92,3.5584655
DE93,3.5488524
DE94,4.26275
CZ07,1.1151062
CZ08,0.90163577
AL01,4.8259215
AL02,5.8624206
AL03,6.7208495
AT11,2.2856994
AT12,1.626001
AT13,2.4623046
AT21,-1.6374878
AT22,-0.91156614
AT31,0.7004334
DK05,3.9694457
BE21,5.3700805
BE22,4.9883666
ES43,9.487146
ES51,7.52511
ES52,10.160028
ES53,14.263453
ES61,10.787104
ES62,10.969782
ES63,14.997553
ES64,14.975824
CH02,0.09728394
CH03,3.1743407
CH04,2.6687865
CH05,-2.9832826
CH06,-0.9700378
CH07,-0.6205505
CY00,14.839014
CZ01,2.2137694
CZ02,1.8164002
CZ03,1.0217224
CZ04,1.1569458
CZ05,1.0163513
CZ06,1.6457764
DE40,2.887323
EL53,3.5700011
EL54,6.7756286
EL61,8.228571
EL62,13.569452
EL63,9.564081
ES70,18.825586
ITC1,1.579126
ITC2,-4.7158875
DE11,2.6252685
DE12,3.1952147
DE13,2.8336425
DE14,2.0246215
DE21,1.2826172
DE22,1.9275147
DE23,1.5681397
DE24,1.7051636
DE25,2.3255248
DE26,2.5848632
DE27,1.0970703
DE30,2.9112487
EL42,14.943079
LV00,-1.1703857
ME00,3.2621093
MK00,2.8794494
MT00,16.04455
NL11,4.61297
NL12,5.5966125
EL64,9.4125
EL65,10.935968
ES11,9.072992
ES12,8.213831
ES13,8.294703
ES21,8.647577
ES22,7.0346007
ES23,6.220056
ES24,6.491449
ES30,6.5425963
IE05,7.5363097
IE06,6.840448
IS00,-0.25159302
ITC3,7.450311
FI19,-3.5472474
FI1B,-1.9744934
FI1C,-2.6633363
DEA1,4.706964
DEA2,3.734613
DEA3,4.3575683
DEA4,3.5177855
DEA5,3.045526
DEB1,3.1164184
DEB2,2.91073
DEB3,3.640283
DEC0,3.495294
DED2,2.1326232
DED4,1.4899536
DED5,3.0533996
DEE0,3.0189452
DEF0,3.5804076
DEG0,2.07229
DK01,3.4208312
DK02,3.553247
DK03,3.576776
DK04,3.602777
ES41,6.025598
ES42,7.38125
HU23,3.0070434
HU31,2.2113585
HU32,2.5356688
HU33,2.880609
IE04,7.167871
EE00,-1.2970642
EL30,12.493128
EL41,12.928705
EL43,14.012903
EL51,6.4562926
EL52,6.9710937
FI20,1.3897034
FR10,5.669458
FRB0,6.079614
FRC1,5.1130004
FRC2,4.0515075
FRD1,7.0360045
FRD2,6.31875
FRE1,5.9078
FRE2,5.5381713
FRF1,3.664514
NL13,4.457422
NL21,4.6088805
NL22,4.851312
NL23,5.168695
NL31,5.1294494
NL32,6.0266967
ITG2,11.400934
ITH1,-4.8126893
ITH2,-1.2612976
FRI3,7.444513
FRJ1,6.6899962
FRJ2,6.061273
FRK1,4.4941344
FRK2,2.7473693
FRL0,4.98031
FRM0,10.610193
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.921656
TR32,9.037104
TR33,5.2517943
HR03,7.1230407
HR02,3.584558
HU11,2.5953612
HU12,2.5230346
HU21,2.5361876
HU22,2.745935
PT16,10.131342
PT17,13.264063
FRF2,4.7027526
FRF3,3.907373
FRG0,7.287317
FRH0,8.389154
FRI1,8.002069
FRI2,5.7594543
ITC4,2.6950622
ITF1,6.2307067
ITF2,7.3619018
ITF3,9.113947
ITF4,11.021875
ITF5,8.413477
ITF6,11.124964
ITG1,12.906855
LT01,-1.416632
LT02,-0.72617185
LU00,3.1317382
PL22,1.1506287
PL41,1.9163452
PL42,2.2463317
PT18,11.531
PT20,-273.15
PT30,-273.15
RO11,0.70525515
RO12,-0.6073059
RO21,-0.055120848
RO22,2.7966247
RO31,2.0745788
RO32,2.585443
ITH3,3.7819762
ITH4,3.0799193
ITH5,5.9730163
ITI1,8.122583
ITI2,5.9671264
ITI3,7.3223205
ITI4,7.7893004
LI00,-1.0369323
FI1D,-6.524878
TR82,3.8271422
TR83,4.351831
TR90,1.1553589
TRA1,-3.4274964
TRA2,-3.8900514
PL43,2.469812
PL51,1.5368592
PL52,1.7853028
PL61,1.3937012
PL62,0.43972167
PL63,1.5764099
PL71,1.4089295
PL72,1.2225586
PL81,0.6869141
PL82,0.5693909
PL84,-0.120672606
PL91,0.98095095
PL92,0.8398377
PT11,8.273462
PT15,13.461878
TRB1,0.5009705
TRB2,-1.9787048
TRC1,6.1315856
RS12,3.4729247
RS21,2.480554
RS22,2.4158568
SE11,0.71743166
SE12,-0.22913209
NL33,5.688745
NL34,5.868097
NL41,5.226007
NL42,4.9426513
PL21,0.50487673
UKM6,6.2795653
TR22,8.190912
TRC2,6.2600646
TRC3,6.64483
UKC1,5.605493
UKC2,5.6617064
UKD1,5.4244933
UKD3,5.6668334
UKD4,5.857019
UKD6,6.133203
UKD7,6.734735
UKE1,6.263849
UKE2,5.545465
UKE3,5.7670836
RO41,2.0503783
RO42,2.2342162
RS11,3.8436522
TR41,5.505426
TR42,5.5806518
TR51,4.0920043
TR52,4.0396667
TR61,6.673944
TR62,7.0928283
TR63,5.9163756
TR71,3.7290587
TR72,0.8164612
TR81,5.025842
UKK1,6.6092467
UKK2,7.400171
UKK3,8.956751
UKK4,7.7040343
UKL1,7.0277343
UKL2,5.90957
UKM5,5.3092284
UKM7,4.752008
UKM8,5.5768065
UKM9,5.880792
UKN0,6.8651366
SE21,1.2251831
SE22,2.152307
SE23,1.0008484
SE31,-2.163672
SE32,-4.304236
SE33,-6.4925904
SI03,2.4922423
SI04,2.8564086
SK01,2.5198302
SK02,1.9898926
SK03,0.14290771
SK04,0.5142151
TR10,8.358271
TR21,7.0565124
UKE4,5.4343505
UKF1,5.754846
UKF2,6.0403686
UKF3,6.226709
UKG1,6.0907836
UKG2,5.821222
UKG3,6.0842834
UKH1,6.5188537
UKH2,6.261102
UKH3,6.6736693
UKI3,6.5533996
UKI4,6.5533996
UKI5,6.478784
UKI6,6.531732
UKI7,6.438989
UKJ1,6.253961
UKJ2,7.25921
UKJ3,7.210809
UKJ4,7.0664
NO09,-0.9936279
NO0A,-0.23343506
NO0B,0.11867676
HR05,3.6283202
HR06,3.408441
NO02,-5.69187
NO06,-2.0434632
NO07,-4.0931764
NO08,-3.1370606
