nuts,June Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,16.117579
DE60,15.997919
DE71,17.086145
DE72,15.957972
DE73,15.680811
DE80,16.199701
DE91,16.026056
BG41,18.6065
BG42,20.073542
CH01,12.149195
AT32,12.323755
AT33,10.610498
AT34,12.185297
BE10,16.440454
BE23,16.391779
BE24,16.456385
BE25,16.118555
BE31,16.178034
BE32,16.100428
BE33,15.509333
BE34,15.542414
BE35,15.785181
BG31,21.5787
BG32,21.621271
BG33,21.110987
BG34,21.167078
DE92,16.300287
DE93,16.36001
DE94,16.029139
CZ07,17.028986
CZ08,16.697199
AL01,19.796656
AL02,20.6802
AL03,20.80932
AT11,19.112268
AT12,17.573847
AT13,19.08697
AT21,14.205561
AT22,15.146967
AT31,16.141779
DK05,14.663477
BE21,16.603144
BE22,16.573328
ES43,23.20318
ES51,19.823908
ES52,21.837671
ES53,22.361902
ES61,23.104395
ES62,22.761744
ES63,20.540308
ES64,23.718622
CH02,14.321222
CH03,17.003962
CH04,16.774775
CH05,12.203669
CH06,13.208277
CH07,14.39007
CY00,25.376642
CZ01,17.595484
CZ02,17.112574
CZ03,16.275202
CZ04,16.044825
CZ05,16.37295
CZ06,17.664454
DE40,17.313166
EL53,20.16836
EL54,20.85
EL61,22.750147
EL62,22.788294
EL63,22.361963
ES70,20.141047
ITC1,16.623499
ITC2,10.656519
DE11,16.879786
DE12,17.257318
DE13,16.889002
DE14,16.315607
DE21,16.26504
DE22,17.127161
DE23,16.643763
DE24,16.270288
DE25,16.984705
DE26,16.778833
DE27,15.663019
DE30,17.497797
EL42,23.17132
LV00,16.124018
ME00,18.119135
MK00,20.057703
MT00,22.686914
NL11,15.575983
NL12,15.212915
EL64,23.165369
EL65,23.26089
ES11,16.63772
ES12,15.609888
ES13,16.303919
ES21,17.032557
ES22,18.226496
ES23,17.386347
ES24,19.886133
ES30,21.394983
IE05,13.883814
IE06,14.053492
IS00,7.493402
ITC3,19.372278
FI19,14.740595
FI1B,14.828455
FI1C,15.202967
DEA1,16.692072
DEA2,16.001337
DEA3,16.532892
DEA4,16.044672
DEA5,15.650934
DEB1,16.163446
DEB2,15.763361
DEB3,17.466639
DEC0,16.816278
DED2,16.892633
DED4,15.90658
DED5,17.419733
DEE0,16.900904
DEF0,15.597986
DEG0,16.033197
DK01,15.145777
DK02,15.481806
DK03,15.041315
DK04,14.703608
ES41,18.251703
ES42,22.038355
HU23,20.554499
HU31,20.07931
HU32,21.076685
HU33,21.113794
IE04,13.572046
EE00,15.6705265
EL30,24.607721
EL41,23.370752
EL43,23.574945
EL51,22.07992
EL52,23.089716
FI20,13.02157
FR10,17.20547
FRB0,17.795008
FRC1,18.066858
FRC2,17.425135
FRD1,15.933741
FRD2,16.014948
FRE1,15.91839
FRE2,16.356348
FRF1,17.48092
NL13,15.859278
NL21,16.153894
NL22,16.313898
NL23,15.87417
NL31,16.0664
NL32,15.37652
ITG2,21.824518
ITH1,10.765253
ITH2,14.185938
FRI3,18.429651
FRJ1,18.63772
FRJ2,17.800745
FRK1,16.676722
FRK2,16.494074
FRL0,18.207117
FRM0,20.64889
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,24.27453
TR32,23.66543
TR33,21.284754
HR03,20.776728
HR02,20.64599
HU11,20.494135
HU12,20.399927
HU21,20.074244
HU22,20.01858
PT16,19.853662
PT17,19.973597
FRF2,17.124598
FRF3,17.046106
FRG0,17.380976
FRH0,15.916315
FRI1,18.9844
FRI2,17.297815
ITC4,18.65417
ITF1,19.63653
ITF2,20.654383
ITF3,21.009424
ITF4,23.316584
ITF5,21.80282
ITF6,21.795557
ITG1,22.662714
LT01,16.607294
LT02,16.328821
LU00,15.71557
PL22,17.166254
PL41,17.37948
PL42,16.370722
PT18,22.047419
PT20,-273.15
PT30,-273.15
RO11,18.250147
RO12,16.946619
RO21,18.704401
RO22,21.390833
RO31,21.229548
RO32,22.415186
ITH3,19.273218
ITH4,18.308466
ITH5,21.421015
ITI1,20.623316
ITI2,20.109003
ITI3,21.050287
ITI4,20.478266
LI00,13.8484745
FI1D,13.415918
TR82,18.597498
TR83,19.048395
TR90,16.392359
TRA1,15.472803
TRA2,13.890497
PL43,17.670893
PL51,16.904749
PL52,17.531122
PL61,16.826288
PL62,16.453821
PL63,15.862116
PL71,17.57345
PL72,17.716272
PL81,17.869135
PL82,17.607172
PL84,16.948816
PL91,17.464014
PL92,17.281946
PT11,18.56222
PT15,21.172815
TRB1,20.57107
TRB2,18.577631
TRC1,25.321375
RS12,21.672266
RS21,19.240717
RS22,20.0021
SE11,14.496454
SE12,15.209345
NL33,15.944147
NL34,16.281
NL41,16.540094
NL42,16.660913
PL21,16.787622
UKM6,11.769251
TR22,22.438501
TRC2,27.283014
TRC3,27.579615
UKC1,13.325708
UKC2,13.138544
UKD1,13.203913
UKD3,14.012751
UKD4,13.813288
UKD6,14.493799
UKD7,14.563868
UKE1,14.3389225
UKE2,13.560541
UKE3,14.422419
RO41,20.9349
RO42,19.321802
RS11,21.741724
TR41,20.910517
TR42,19.757502
TR51,20.774164
TR52,20.936213
TR61,21.524012
TR62,21.958918
