nuts,April Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,10.506617
DE60,10.06814
DE71,10.563196
DE72,9.817835
DE73,9.655878
DE80,9.842157
DE91,10.074274
BG41,11.077234
BG42,12.169275
CH01,4.292749
AT32,4.638086
AT33,3.0079284
AT34,4.4798217
BE10,10.983362
BE23,10.952265
BE24,10.965387
BE25,10.727533
BE31,10.701258
BE32,10.649683
BE33,9.779352
BE34,9.58816
BE35,10.100855
BG31,13.638941
BG32,13.155878
BG33,12.352503
BG34,12.812677
DE92,10.508844
DE93,10.461359
DE94,10.353907
CZ07,10.53216
CZ08,10.32226
AL01,12.062494
AL02,12.817469
AL03,12.8684635
AT11,12.264917
AT12,10.84234
AT13,12.18313
AT21,6.867212
AT22,7.894647
AT31,9.533747
DK05,8.577234
BE21,11.115595
BE22,10.919794
ES43,15.182795
ES51,12.369074
ES52,14.415796
ES53,16.305262
ES61,15.774286
ES62,15.388788
ES63,16.599543
ES64,18.172998
CH02,7.0049376
CH03,10.417841
CH04,10.111994
CH05,4.395227
CH06,5.7453856
CH07,6.7925353
CY00,18.752192
CZ01,10.839289
CZ02,10.367487
CZ03,9.601007
CZ04,9.480738
CZ05,9.914515
CZ06,10.816187
DE40,10.857355
EL53,11.743708
EL54,12.8482
EL61,14.298853
EL62,16.064356
EL63,14.340326
ES70,18.549799
ITC1,8.816248
ITC2,2.3146605
DE11,10.180262
DE12,10.533686
DE13,10.234674
DE14,9.84823
DE21,9.61413
DE22,10.626673
DE23,10.026789
DE24,9.812677
DE25,10.2659855
DE26,10.254999
DE27,8.962183
DE30,10.994867
EL42,17.305841
LV00,8.497828
ME00,10.618372
MK00,12.060114
MT00,17.111292
NL11,10.104792
NL12,9.783228
EL64,14.798609
EL65,15.200525
ES11,11.654169
ES12,10.544031
ES13,10.949549
ES21,11.603571
ES22,11.598444
ES23,10.668695
ES24,11.925196
ES30,12.557215
IE05,9.536982
IE06,9.473413
IS00,2.2068114
ITC3,12.394709
FI19,6.1743712
FI1B,6.380426
FI1C,6.3428893
DEA1,11.028528
DEA2,10.1722355
DEA3,10.854639
DEA4,10.3015995
DEA5,9.853998
DEB1,9.926203
DEB2,9.531153
DEB3,10.765284
DEC0,10.279383
DED2,10.541407
DED4,9.61532
DED5,10.977716
DEE0,10.651117
DEF0,9.504541
DEG0,9.767359
DK01,8.153406
DK02,8.563227
DK03,8.80987
DK04,8.6175785
ES41,10.851831
ES42,13.330225
HU23,13.287317
HU31,12.85824
HU32,13.452753
HU33,13.519434
IE04,9.480066
EE00,7.47677
EL30,16.73559
EL41,16.398737
EL43,16.999811
EL51,13.594538
EL52,14.621515
FI20,5.0453124
FR10,11.173517
FRB0,11.392023
FRC1,11.252588
FRC2,10.720362
FRD1,10.51272
FRD2,10.436213
FRE1,10.543665
FRE2,10.779413
FRF1,10.647699
NL13,10.387079
NL21,10.61825
NL22,10.825953
NL23,10.526667
NL31,10.659693
NL32,9.944391
ITG2,14.568415
ITH1,2.9824462
ITH2,6.7812133
FRI3,12.144342
FRJ1,11.599573
FRJ2,11.021845
FRK1,9.90069
FRK2,9.07934
FRL0,10.65716
FRM0,13.70315
FRY1,-273.15
FRY2,-273.15
