nuts,April Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.699579
TR32,15.288233
TR33,12.842249
HR03,13.315973
HR02,13.310816
HU11,13.142023
HU12,13.0464115
HU21,12.90719
HU22,13.004786
PT16,14.125483
PT17,15.70434
FRF2,10.771814
FRF3,10.398462
FRG0,11.49209
FRH0,10.966364
FRI1,12.701319
FRI2,10.915583
ITC4,10.819086
ITF1,11.667658
ITF2,12.494837
ITF3,13.368097
ITF4,15.0993595
ITF5,13.287653
ITF6,14.33169
ITG1,15.689936
LT01,9.358454
LT02,9.1210575
LU00,9.56048
PL22,10.672693
PL41,10.628077
PL42,9.861658
PT18,15.958612
PT20,-273.15
PT30,-273.15
RO11,11.232599
RO12,9.935083
RO21,10.933741
RO22,12.394495
RO31,12.706995
RO32,13.585016
ITH3,11.33288
ITH4,10.731348
ITH5,13.211542
ITI1,13.136164
ITI2,11.955347
ITI3,12.9457035
ITI4,12.682856
LI00,6.421869
FI1D,3.5926452
TR82,11.130518
TR83,11.86764
TR90,8.741877
TRA1,6.943048
TRA2,5.467462
PL43,10.959528
PL51,10.491663
PL52,10.882776
PL61,10.176081
PL62,9.625147
PL63,9.179956
PL71,10.652826
PL72,10.807764
PL81,10.599756
PL82,10.798273
PL84,9.856379
PL91,10.529688
PL92,10.331507
PT11,12.498224
PT15,16.275843
TRB1,11.342615
TRB2,8.734339
TRC1,15.7685795
RS12,14.029718
RS21,12.204615
RS22,12.48205
SE11,6.913873
SE12,7.5668883
NL33,10.53454
NL34,10.808527
NL41,11.05047
NL42,11.013056
PL21,10.357019
UKM6,8.159723
TR22,14.023737
TRC2,16.383295
TRC3,16.509485
UKC1,8.705591
UKC2,8.64126
UKD1,8.524805
UKD3,9.120569
UKD4,9.004541
UKD6,9.524134
UKD7,9.716852
UKE1,9.473963
UKE2,8.7763
UKE3,9.399775
RO41,12.965052
RO42,12.1617985
RS11,14.239496
TR41,12.791834
TR42,12.100672
TR51,12.597803
TR52,12.6175785
TR61,13.539362
TR62,14.655237
TR63,14.908503
TR71,12.620111
TR72,10.720728
TR81,11.474024
UKK1,9.873316
UKK2,9.915644
UKK3,10.325983
UKK4,9.809229
UKL1,9.396845
UKL2,9.016504
UKM5,8.013422
UKM7,8.20492
UKM8,8.790003
UKM9,8.620661
UKN0,9.173883
SE21,7.622827
SE22,8.113642
SE23,7.8599486
SE31,6.305383
SE32,4.0458007
SE33,2.3413634
SI03,11.550165
SI04,10.839472
SK01,12.477808
SK02,11.956385
SK03,10.353754
SK04,10.859369
TR10,13.352686
TR21,13.65011
UKE4,8.937983
UKF1,9.42779
UKF2,9.771845
UKF3,9.846674
UKG1,9.597498
UKG2,9.234858
UKG3,9.715143
UKH1,9.809259
UKH2,9.999628
UKH3,10.105066
UKI3,10.224939
UKI4,10.224939
UKI5,10.177881
UKI6,10.134333
UKI7,10.08584
UKJ1,9.834131
UKJ2,10.004114
UKJ3,10.057917
UKJ4,10.114954
NO09,5.156793
NO0A,4.402551
NO0B,0.44960937
HR05,13.302942
HR06,13.186396
NO02,2.933496
NO06,4.141351
NO07,2.088037
NO08,4.782068
