nuts,April Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
ITI2,12.413782
ITI3,13.27038
ITI4,13.090509
LI00,6.976251
FI1D,3.6675048
TR82,11.801142
TR83,12.359552
TR90,9.176172
TRA1,6.9876647
TRA2,5.7294555
PL43,10.910883
PL51,10.44195
PL52,10.887812
PL61,10.237787
PL62,9.697229
PL63,9.186396
PL71,10.642939
PL72,10.819147
PL81,10.667231
PL82,10.872065
PL84,9.951471
PL91,10.594233
PL92,10.389429
PT11,12.497187
PT15,16.419
TRB1,11.471979
TRB2,8.725855
TRC1,16.206507
RS12,14.350275
RS21,12.421625
RS22,12.829279
SE11,6.2757506
SE12,7.1966186
NL33,10.473169
NL34,10.870752
NL41,11.036615
NL42,11.037348
PL21,10.456049
UKM6,7.985498
TR22,14.251917
TRC2,16.748407
TRC3,16.702448
UKC1,8.437922
UKC2,8.400873
UKD1,8.36944
UKD3,9.040857
UKD4,8.913172
UKD6,9.501184
UKD7,9.695124
UKE1,9.378595
UKE2,8.584009
UKE3,9.24505
RO41,13.349176
RO42,12.483393
RS11,14.588556
TR41,13.309565
TR42,12.482935
TR51,13.1471195
TR52,13.2069645
TR61,14.029383
TR62,14.963984
TR63,15.161768
TR71,13.245295
TR72,11.399439
TR81,11.857904
UKK1,9.939417
UKK2,10.035486
UKK3,10.452448
UKK4,9.946253
UKL1,9.49383
UKL2,9.054102
UKM5,7.842218
UKM7,7.8523498
UKM8,8.514368
UKM9,8.440393
UKN0,9.125849
SE21,7.2952514
SE22,7.8055663
SE23,7.5292296
SE31,6.214227
SE32,4.1170897
SE33,2.3280272
SI03,11.91427
SI04,11.21847
SK01,12.520594
SK02,12.074549
SK03,10.50625
SK04,11.126886
TR10,13.437616
TR21,13.922327
UKE4,8.752375
UKF1,9.3050785
UKF2,9.751642
UKF3,9.759272
UKG1,9.610651
UKG2,9.21673
UKG3,9.687616
UKH1,9.764124
UKH2,10.042078
UKH3,10.094233
UKI3,10.291925
UKI4,10.291925
UKI5,10.222773
UKI6,10.224024
UKI7,10.171076
UKJ1,9.903162
UKJ2,10.1670475
UKJ3,10.162348
UKJ4,10.213404
NO09,5.1888366
NO0A,4.506067
NO0B,0.55129397
HR05,13.600611
HR06,13.481348
NO02,3.1799865
NO06,4.1557555
NO07,2.1321654
NO08,4.945764
