nuts,April Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,10.355829
DE60,9.994104
DE71,10.687464
DE72,9.943628
DE73,9.765619
DE80,9.728724
DE91,10.078974
BG41,11.338373
BG42,12.356195
CH01,4.7984557
AT32,5.296716
AT33,3.5338073
AT34,5.047601
BE10,11.039209
BE23,11.031488
BE24,11.020258
BE25,10.805841
BE31,10.777002
BE32,10.757807
BE33,9.956934
BE34,9.777277
BE35,10.284235
BG31,13.935694
BG32,13.657557
BG33,12.617426
BG34,13.083307
DE92,10.435938
DE93,10.40896
DE94,10.23266
CZ07,10.656153
CZ08,10.46261
AL01,12.288843
AL02,13.195124
AL03,13.274225
AT11,12.355829
AT12,11.011255
AT13,12.237238
AT21,7.4819884
AT22,8.584131
AT31,9.763147
DK05,8.340021
BE21,11.126337
BE22,10.978876
ES43,15.321833
ES51,12.591486
ES52,14.82403
ES53,16.432856
ES61,15.904657
ES62,15.835413
ES63,16.734858
ES64,18.402613
CH02,7.327417
CH03,10.467585
CH04,10.083246
CH05,4.8352294
CH06,6.105737
CH07,6.9189696
CY00,18.908167
CZ01,10.836542
CZ02,10.448328
CZ03,9.874384
CZ04,9.5524845
CZ05,10.058008
CZ06,10.957605
DE40,10.935938
EL53,12.143274
EL54,13.203089
EL61,14.604181
EL62,16.239649
EL63,14.777369
ES70,18.45846
ITC1,9.177729
ITC2,2.7248168
DE11,10.393457
DE12,10.700159
DE13,10.376703
DE14,9.909784
DE21,9.794764
DE22,10.755243
DE23,10.1336
DE24,9.8059025
DE25,10.416773
DE26,10.287653
DE27,9.159357
DE30,11.102167
EL42,17.439692
LV00,8.579462
ME00,10.792353
MK00,12.237268
MT00,17.227808
NL11,9.930017
NL12,9.622858
EL64,15.097071
EL65,15.57641
ES11,11.746332
ES12,10.650782
ES13,11.130274
ES21,11.815027
ES22,11.82757
ES23,10.857294
ES24,12.147791
ES30,12.858088
IE05,9.67428
IE06,9.4956
IS00,2.029718
ITC3,12.69253
FI19,5.788324
FI1B,5.878137
FI1C,5.9069457
DEA1,11.042414
DEA2,10.31048
DEA3,10.820246
DEA4,10.321436
DEA5,10.008814
DEB1,10.083857
DEB2,9.676813
DEB3,10.943811
DEC0,10.452814
DED2,10.459375
DED4,9.62359
DED5,10.905237
DEE0,10.6332035
DEF0,9.415186
DEG0,9.691797
DK01,7.8494506
DK02,8.337244
DK03,8.62182
DK04,8.420252
ES41,10.966364
ES42,13.587976
HU23,13.620539
HU31,12.990778
HU32,13.74856
HU33,13.883722
IE04,9.504908
EE00,7.006952
EL30,16.947626
EL41,16.534754
EL43,17.109491
EL51,13.872644
EL52,14.82461
FI20,4.8729796
FR10,11.289606
FRB0,11.494104
FRC1,11.392725
FRC2,10.816248
FRD1,10.754572
FRD2,10.690241
FRE1,10.700403
FRE2,10.91543
FRF1,10.78924
NL13,10.231806
NL21,10.517328
NL22,10.767267
NL23,10.415094
NL31,10.601984
NL32,9.836145
ITG2,14.876307
ITH1,3.4175963
ITH2,7.0374084
FRI3,12.2242985
FRJ1,11.77038
FRJ2,11.159998
FRK1,9.980371
FRK2,9.384577
FRL0,10.884699
FRM0,13.950708
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.921198
TR32,15.564234
TR33,13.424311
HR03,13.42428
HR02,13.618128
HU11,13.39303
HU12,13.334864
HU21,13.175867
HU22,13.187128
PT16,14.100153
PT17,15.769007
FRF2,10.968531
FRF3,10.600092
FRG0,11.630487
FRH0,11.158594
FRI1,12.862818
FRI2,10.896723
ITC4,11.218409
ITF1,12.109003
ITF2,12.926325
ITF3,13.741266
ITF4,15.42901
ITF5,13.814356
ITF6,14.736994
ITG1,15.914576
LT01,9.356073
LT02,9.243799
LU00,9.729517
PL22,10.696192
PL41,10.567286
PL42,9.917078
PT18,15.976984
PT20,-273.15
PT30,-273.15
RO11,11.492304
RO12,10.227991
RO21,11.116724
RO22,12.680506
RO31,13.130365
RO32,14.056025
ITH3,11.795191
ITH4,11.123346
ITH5,13.629969
ITI1,13.523706
