nuts,Autumn Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,11.738581
DE60,11.707941
DE71,11.379175
DE72,10.601709
DE73,10.478418
DE80,11.524225
DE91,10.957972
BG41,12.133631
BG42,13.802301
CH01,7.087396
AT32,6.702478
AT33,5.322351
AT34,6.883203
BE10,12.725397
BE23,12.943384
BE24,12.65893
BE25,13.264307
BE31,12.4361515
BE32,12.491846
BE33,11.295679
BE34,11.061274
BE35,11.738672
BG31,13.796228
BG32,14.221979
BG33,14.585199
BG34,15.034693
DE92,11.530848
DE93,11.656549
DE94,11.980524
CZ07,10.416895
CZ08,10.367273
AL01,14.720972
AL02,15.857111
AL03,16.349329
AT11,12.0056095
AT12,10.870996
AT13,12.087519
AT21,8.234552
AT22,8.841608
AT31,9.901758
DK05,11.741419
BE21,12.717493
BE22,12.441248
ES43,19.038752
ES51,16.078821
ES52,18.57165
ES53,21.973322
ES61,19.706598
ES62,19.482416
ES63,20.581171
ES64,22.287897
CH02,9.052088
CH03,11.475702
CH04,11.198786
CH05,6.868402
CH06,8.216639
CH07,9.058222
CY00,23.93841
CZ01,11.108759
CZ02,10.587458
CZ03,9.768213
CZ04,9.703577
CZ05,9.925013
CZ06,10.827326
DE40,11.435053
EL53,14.105219
EL54,16.286615
EL61,17.732752
EL62,21.48443
EL63,18.59994
ES70,22.63714
ITC1,11.399256
ITC2,5.5660644
DE11,11.029108
DE12,11.527887
DE13,11.242365
DE14,10.617243
DE21,10.324213
DE22,10.717432
DE23,10.225641
DE24,10.144953
DE25,10.8146305
DE26,10.856684
DE27,9.875452
DE30,11.473413
EL42,22.140009
LV00,9.142664
ME00,12.89892
MK00,13.550165
MT00,23.721582
NL11,12.220636
NL12,13.100977
EL64,18.561823
EL65,19.822565
ES11,15.281427
ES12,14.512598
ES13,15.069605
ES21,15.671198
ES22,15.073847
ES23,14.259485
ES24,15.2026615
ES30,16.29867
IE05,12.256891
IE06,11.8484745
IS00,4.25094
ITC3,15.921503
FI19,7.0852904
FI1B,8.715113
FI1C,8.122156
DEA1,12.32876
DEA2,11.487787
DEA3,12.006189
DEA4,11.378992
DEA5,10.945734
DEB1,11.01623
DEB2,10.746515
DEB3,11.7875
DEC0,11.470087
DED2,10.823969
DED4,10.035822
DED5,11.6357975
DEE0,11.3545475
DEF0,11.791681
DEG0,10.452326
DK01,11.936548
DK02,12.107386
DK03,11.707788
DK04,11.542017
ES41,14.514032
ES42,17.050898
HU23,13.1314945
HU31,12.165125
HU32,13.109491
HU33,13.3849125
IE04,11.930628
EE00,9.145197
EL30,21.290705
EL41,20.632685
EL43,21.724665
