nuts,April Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,9.563135
DE60,9.11059
DE71,9.725367
DE72,8.92193
DE73,8.755182
DE80,8.807245
DE91,9.172266
BG41,10.114679
BG42,11.144617
CH01,3.6868834
AT32,3.9413085
AT33,2.1490111
AT34,3.742395
BE10,10.000544
BE23,10.008051
BE24,9.970362
BE25,9.82696
BE31,9.710871
BE32,9.687128
BE33,8.841791
BE34,8.798731
BE35,9.222986
BG31,12.689753
BG32,12.475122
BG33,11.605707
BG34,11.882044
DE92,9.626642
DE93,9.564203
DE94,9.442041
CZ07,9.582514
CZ08,9.349573
AL01,11.364771
AL02,12.2362
AL03,12.260767
AT11,11.297297
AT12,10.015833
AT13,11.253077
AT21,5.969171
AT22,7.077661
AT31,8.475031
DK05,7.421106
BE21,10.094721
BE22,9.913965
ES43,14.177576
ES51,11.500788
ES52,13.95907
ES53,15.537867
ES61,14.842707
ES62,14.939112
ES63,15.979303
ES64,17.56164
CH02,6.2849975
CH03,9.626978
CH04,9.176264
CH05,3.659387
CH06,4.973779
CH07,5.616449
CY00,17.75857
CZ01,9.951532
CZ02,9.504663
CZ03,8.741877
CZ04,8.518702
CZ05,8.97085
CZ06,10.021479
DE40,9.918299
EL53,10.828882
EL54,12.082819
EL61,13.480768
EL62,15.366632
EL63,13.65185
ES70,17.926233
ITC1,7.8973937
ITC2,1.5697876
DE11,9.450495
DE12,9.830286
DE13,9.549189
DE14,8.862268
DE21,8.5715885
DE22,9.631464
DE23,9.073206
DE24,8.851221
DE25,9.4508
DE26,9.409937
DE27,7.950769
DE30,10.102655
EL42,16.360132
LV00,7.1302123
ME00,9.6340885
MK00,11.019861
MT00,16.27682
NL11,9.1513
NL12,8.857691
EL64,13.972712
EL65,14.449823
ES11,11.068415
ES12,9.8659
ES13,10.286463
ES21,10.9656315
ES22,10.774042
ES23,9.752039
ES24,10.970972
ES30,11.688349
IE05,8.825159
IE06,8.663019
IS00,0.43584594
ITC3,11.727106
FI19,4.1791015
FI1B,4.782129
FI1C,4.6318603
DEA1,10.035486
DEA2,9.211664
DEA3,9.916101
DEA4,9.435419
DEA5,8.944391
DEB1,9.033289
DEB2,8.714716
DEB3,10.023035
DEC0,9.561792
DED2,9.579493
DED4,8.619074
DED5,10.024744
DEE0,9.706171
DEF0,8.59231
DEG0,8.793482
DK01,7.0573974
DK02,7.518274
DK03,7.792505
DK04,7.5291686
ES41,10.03808
ES42,12.429682
HU23,12.6123905
HU31,12.0281925
HU32,12.824488
HU33,12.96139
IE04,8.696131
EE00,5.857782
EL30,15.897791
EL41,15.571314
EL43,16.065027
EL51,12.802546
EL52,13.675653
FI20,3.7372375
FR10,10.488459
FRB0,10.82995
FRC1,10.677973
FRC2,10.04104
FRD1,9.9717045
FRD2,9.811945
FRE1,9.696436
FRE2,9.978235
FRF1,10.078333
NL13,9.391504
NL21,9.626825
NL22,9.818659
NL23,9.516504
NL31,9.655115
NL32,9.04458
ITG2,13.868555
ITH1,2.047418
ITH2,5.628015
FRI3,11.644159
FRJ1,10.88534
FRJ2,10.233973
FRK1,9.171717
FRK2,8.357904
FRL0,9.721521
FRM0,13.020075
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.01861
TR32,14.444605
TR33,12.048426
HR03,12.56695
HR02,12.5837345
HU11,12.454645
HU12,12.375025
HU21,12.172846
HU22,12.154688
PT16,13.319971
PT17,15.021357
FRF2,10.150599
FRF3,9.806971
FRG0,10.990717
FRH0,10.390406
FRI1,12.082697
FRI2,10.185022
ITC4,9.985559
ITF1,11.003199
ITF2,11.85113
ITF3,12.677576
ITF4,14.4786625
ITF5,12.637537
ITF6,13.627771
ITG1,14.782343
LT01,8.183466
LT02,8.008905
LU00,8.787256
PL22,9.701044
PL41,9.749628
PL42,8.91601
PT18,15.081018
PT20,-273.15
PT30,-273.15
RO11,10.471643
RO12,8.9431095
RO21,9.927759
RO22,11.707544
