nuts,December Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,4.778711
DE60,4.5262694
DE71,3.791284
DE72,3.301416
DE73,3.23385
DE80,4.05224
DE91,3.67489
BG41,1.8415161
BG42,3.2970214
CH01,-2.3933473
AT32,-3.1461854
AT33,-4.637366
AT34,-2.875342
BE10,5.953363
BE23,6.279138
BE24,5.8831115
BE25,6.7426696
BE31,5.6408935
BE32,5.75567
BE33,4.429498
BE34,4.055322
BE35,4.87478
BG31,2.503137
BG32,3.0710082
BG33,4.1097045
BG34,4.5278563
DE92,4.5083556
DE93,4.493585
DE94,5.1907897
CZ07,1.0313355
CZ08,0.94936526
AL01,4.802942
AL02,5.8355956
AL03,6.690271
AT11,2.3595824
AT12,1.6324097
AT13,2.6465392
AT21,-1.7482361
AT22,-0.8724731
AT31,0.7572266
DK05,5.247247
BE21,5.9993224
BE22,5.636377
ES43,9.447443
ES51,7.5730224
ES52,10.340082
ES53,14.971949
ES61,10.951258
ES62,11.097803
ES63,15.543146
ES64,15.145288
CH02,0.21331176
CH03,3.4753966
CH04,2.974481
CH05,-2.9881043
CH06,-0.91196287
CH07,-0.554602
CY00,15.691278
CZ01,2.9322753
CZ02,2.3401427
CZ03,1.3884522
CZ04,1.647699
CZ05,1.2277466
CZ06,1.5690552
DE40,3.7280517
EL53,3.4063964
EL54,6.7479796
EL61,8.340845
EL62,14.277552
EL63,9.830042
ES70,19.508936
ITC1,1.4797913
ITC2,-4.7164674
DE11,3.1859374
DE12,3.744226
DE13,3.3135924
DE14,2.5837035
DE21,1.6409851
DE22,2.2108397
DE23,1.9473816
DE24,2.2984862
DE25,2.8749633
DE26,3.2159362
DE27,1.5521485
DE30,3.7072387
EL42,15.670221
LV00,0.9309937
ME00,3.302545
MK00,2.6205993
MT00,17.102564
NL11,5.5168395
NL12,6.6441894
EL64,9.642145
EL65,11.361414
ES11,9.3953495
ES12,8.696955
ES13,8.729212
ES21,8.88357
ES22,7.0981994
ES23,6.288934
ES24,6.4427733
ES30,6.5851073
IE05,8.145472
IE06,7.299188
IS00,0.39644775
ITC3,7.962213
FI19,-1.9968323
FI1B,0.18740234
FI1C,-0.7265686
DEA1,5.476526
DEA2,4.502588
DEA3,5.2252135
DEA4,4.4550414
DEA5,3.9522033
DEB1,3.7551513
DEB2,3.5859923
DEB3,4.1706176
DEC0,4.044
DED2,2.8400207
DED4,2.105432
DED5,3.8802428
DEE0,3.834619
DEF0,4.7022033
DEG0,2.8368468
DK01,4.83468
DK02,4.932794
DK03,4.7991576
DK04,4.851831
ES41,6.134485
ES42,7.3488708
HU23,3.1893554
HU31,1.6925293
HU32,2.299005
HU33,2.846765
IE04,7.617212
EE00,0.887262
EL30,13.080652
EL41,13.558924
EL43,14.705988
EL51,6.542505
EL52,6.8449035
FI20,3.489801
FR10,5.989984
FRB0,6.3097167
FRC1,5.495691
FRC2,4.365106
FRD1,7.4388366
FRD2,6.6846557
FRE1,6.3924193
FRE2,5.9022155
FRF1,4.113336
NL13,5.3542724
NL21,5.4843993
NL22,5.6400695
NL23,6.034723
NL31,5.9101195
NL32,7.049249
ITG2,11.992548
ITH1,-5.0673585
ITH2,-1.3867248
FRI3,7.4973693
FRJ1,6.8219543
FRJ2,6.034723
FRK1,4.7070556
FRK2,2.6739135
FRL0,5.120355
FRM0,11.211176
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,10.024012
TR32,9.246485
TR33,5.100885
HR03,7.765619
HR02,3.4834838
HU11,2.4364562
HU12,2.2983642
HU21,2.6320128
HU22,2.8724914
PT16,10.185236
PT17,13.479914
FRF2,5.1491942
FRF3,4.3848815
FRG0,7.5114074
FRH0,8.9125
FRI1,8.070581
FRI2,5.9015746
ITC4,2.392755
ITF1,6.504144
ITF2,7.793329
ITF3,9.7191105
ITF4,11.52566
ITF5,8.832483
ITF6,11.7590275
ITG1,13.638575
LT01,0.40560302
LT02,1.1948487
LU00,3.798883
PL22,1.4235169
PL41,2.7553039
PL42,3.2865539
PT18,11.579462
PT20,-273.15
PT30,-273.15
RO11,0.31810912
RO12,-0.5272583
RO21,0.2763916
RO22,2.7909179
RO31,1.9098755
RO32,2.2657409
ITH3,3.5962768
ITH4,2.9400573
ITH5,6.0048766
ITI1,8.554804
ITI2,6.3380675
ITI3,7.766748
ITI4,8.220057
LI00,-1.3223633
FI1D,-5.2231507
TR82,3.9635863
TR83,3.918573
TR90,1.5254761
TRA1,-2.9500794
TRA2,-3.5521302
PL43,3.3215575
PL51,2.1366515
PL52,2.169702
PL61,2.3893065
PL62,1.7417237
PL63,2.8322692
PL71,2.1310058
PL72,1.9014527
PL81,1.5353638
PL82,1.0445801
PL84,1.1662842
PL91,1.9373413
PL92,1.8249146
PT11,8.333338
PT15,13.755945
TRB1,1.2780396
TRB2,-1.1841186
TRC1,6.628778
RS12,3.4727721
RS21,2.3515563
RS22,2.2111754
SE11,2.0861754
SE12,1.0363709
NL33,6.496515
NL34,6.5942626
NL41,5.913751
NL42,5.6467834
PL21,0.75869143
UKM6,6.872583
TR22,8.492426
TRC2,6.879144
TRC3,6.9567504
UKC1,6.0310607
UKC2,6.0187926
UKD1,5.841821
UKD3,6.024072
UKD4,6.326349
UKD6,6.5091186
UKD7,7.280023
UKE1,6.8033385
UKE2,5.970819
UKE3,6.138025
RO41,1.8842713
RO42,1.8842407
RS11,3.8028502
TR41,5.2508483
TR42,5.693689
TR51,3.4832091
TR52,3.6303039
TR61,6.8192077
TR62,7.735742
TR63,6.7881103
TR71,3.038385
TR72,1.0166565
TR81,5.4047484
UKK1,6.9667907
UKK2,8.019342
UKK3,9.870966
UKK4,8.520716
UKL1,7.749994
UKL2,6.3721557
UKM5,5.796991
UKM7,5.0553527
UKM8,5.876306
UKM9,6.293939
UKN0,7.3019347
SE21,2.503076
SE22,3.4765868
SE23,2.457788
SE31,-1.4964966
SE32,-3.591803
SE33,-6.153357
SI03,2.3845153
SI04,2.9026732
SK01,2.5224547
SK02,1.7525574
SK03,-0.08145752
SK04,0.30840454
TR10,9.428888
TR21,7.503259
UKE4,5.7765136
UKF1,6.1262755
UKF2,6.4259276
UKF3,6.713617
UKG1,6.4783263
UKG2,6.218408
UKG3,6.488794
UKH1,7.139581
UKH2,6.6414123
UKH3,7.173822
UKI3,6.8835387
UKI4,6.8835387
UKI5,6.841089
UKI6,6.860254
UKI7,6.8045287
UKJ1,6.613519
UKJ2,7.7947326
UKJ3,7.7052245
UKJ4,7.537988
NO09,-0.19568482
NO0A,0.26049194
NO0B,0.9770752
HR05,3.4549804
HR06,3.3671508
NO02,-5.2969117
NO06,-1.5531982
NO07,-3.7136292
NO08,-2.6103272
