nuts,Annual Mean Temperature (°C) ensemble median - RCP4.5 - (2041 - 2070)
DE50,10.846888
DE60,10.603632
DE71,10.81106
DE72,9.990717
DE73,9.840082
DE80,10.415247
DE91,10.272974
BG41,11.075251
BG42,12.557032
CH01,5.5103393
AT32,5.3617187
AT33,3.7796264
AT34,5.3380675
BE10,11.72555
BE23,11.839289
BE24,11.6835575
BE25,11.925531
BE31,11.427515
BE32,11.456324
BE33,10.357416
BE34,10.1904545
BE35,10.785517
BG31,13.033075
BG32,13.080957
BG33,13.105127
BG34,13.537317
DE92,10.827936
DE93,10.794519
DE94,10.972773
CZ07,9.794611
CZ08,9.611231
AL01,13.189112
AL02,14.221247
AL03,14.590845
AT11,11.567987
AT12,10.340906
AT13,11.64184
AT21,7.0215697
AT22,7.890039
AT31,9.101221
DK05,9.997644
BE21,11.800379
BE22,11.551722
ES43,17.219934
ES51,14.336847
ES52,16.734674
ES53,19.22674
ES61,17.73614
ES62,17.58227
ES63,18.307673
ES64,20.107965
CH02,7.744653
CH03,10.703943
CH04,10.316278
CH05,5.2669616
CH06,6.701196
CH07,7.558679
CY00,20.970453
CZ01,10.619989
CZ02,10.106592
CZ03,9.260401
CZ04,9.190973
CZ05,9.363306
CZ06,10.333277
DE40,10.836695
EL53,12.738825
EL54,14.560175
EL61,16.05099
EL62,18.962244
EL63,16.658777
ES70,20.006311
ITC1,9.87887
ITC2,3.8184752
DE11,10.405207
DE12,10.856958
DE13,10.502802
DE14,9.822962
DE21,9.47909
DE22,10.175348
DE23,9.746088
DE24,9.660181
DE25,10.312433
DE26,10.350122
DE27,9.03808
DE30,10.950312
EL42,19.743067
LV00,8.251947
ME00,11.50857
MK00,12.402796
MT00,20.394648
NL11,10.934076
NL12,11.284632
EL64,16.75744
EL65,17.720148
ES11,13.5845585
ES12,12.616175
ES13,13.077692
ES21,13.638758
ES22,13.390619
ES23,12.520807
ES24,13.795771
ES30,14.780298
IE05,10.909632
IE06,10.652796
IS00,3.523767
ITC3,14.181421
FI19,5.988397
FI1B,7.0862365
FI1C,6.739404
DEA1,11.52099
DEA2,10.63302
DEA3,11.328547
DEA4,10.701715
DEA5,10.188715
DEB1,10.313135
DEB2,9.99914
DEB3,11.198053
DEC0,10.788019
DED2,10.238642
DED4,9.426661
DED5,11.02276
DEE0,10.732203
DEF0,10.428339
DEG0,9.811274
DK01,10.0672245
DK02,10.273981
DK03,10.06344
DK04,9.873316
ES41,12.8944645
ES42,15.495722
HU23,12.670191
HU31,12.004084
HU32,12.757227
HU33,12.929865
IE04,10.594049
EE00,7.8553405
EL30,19.154963
EL41,18.683954
EL43,19.358301
EL51,14.965113
EL52,15.708277
FI20,8.08938
FR10,12.215021
FRB0,12.662714
FRC1,12.257532
FRC2,11.381342
FRD1,12.138605
FRD2,11.863794
FRE1,11.698786
FRE2,11.749384
FRF1,11.173243
NL13,10.964991
NL21,11.213953
NL22,11.440729
NL23,11.399134
NL31,11.459436
NL32,11.581934
ITG2,17.361414
ITH1,3.7299438
ITH2,7.2068114
FRI3,13.618891
FRJ1,13.303003
FRJ2,12.586847
FRK1,11.14361
FRK2,10.2052555
FRL0,12.192133
FRM0,16.382868
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,17.653955
TR32,17.169672
TR33,14.135981
HR03,14.803186
HR02,12.946833
HU11,12.505243
HU12,12.4031315
HU21,12.2677555
HU22,12.318201
PT16,15.824884
PT17,17.25271
FRF2,11.653772
FRF3,11.1184025
FRG0,13.01449
FRH0,12.771997
FRI1,14.209772
FRI2,12.185633
ITC4,11.511713
ITF1,13.591578
ITF2,14.683161
ITF3,15.926813
ITF4,17.77862
ITF5,15.801966
ITF6,17.203638
ITG1,18.597193
LT01,8.520075
LT02,8.747583
LU00,10.1045475
PL22,9.996485
PL41,10.417353
PL42,10.166559
PT18,17.637293
PT20,-273.15
PT30,-273.15
RO11,10.341791
RO12,9.109888
RO21,10.140528
RO22,12.760614
RO31,12.454187
RO32,13.264368
ITH3,12.277216
ITH4,11.394251
ITH5,14.53866
ITI1,15.201838
ITI2,13.860376
ITI3,14.85528
ITI4,14.9586735
LI00,6.96026
FI1D,3.738092
TR82,12.148645
TR83,12.57406
TR90,9.83819
TRA1,7.794214
TRA2,6.4115233
PL43,10.774958
PL51,9.989313
PL52,10.457697
PL61,9.960535
PL62,9.379358
PL63,9.644037
PL71,10.263636
PL72,10.259516
PL81,10.050898
PL82,9.917475
PL84,9.293329
PL91,10.069696
PL92,9.90188
PT11,14.260004
PT15,17.996302
TRB1,12.169916
TRB2,10.09408
TRC1,16.89828
RS12,13.507685
RS21,11.8482
RS22,12.136591
SE11,8.255304
SE12,7.9008727
NL33,11.680323
NL34,11.88064
NL41,11.710108
NL42,11.596399
PL21,9.4691105
UKM6,9.495905
TR22,15.780207
TRC2,17.928766
TRC3,18.136011
UKC1,9.881006
UKC2,9.804255
UKD1,9.651758
UKD3,10.236261
UKD4,10.233759
UKD6,10.71139
UKD7,11.078028
UKE1,10.84408
UKE2,9.993189
UKE3,10.5715275
RO41,12.43841
RO42,11.646906
RS11,13.722223
TR41,13.935083
TR42,13.360315
TR51,13.328028
TR52,13.4508915
TR61,15.048914
TR62,15.795801
