nuts,January Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,3.5295959
DE60,3.2471557
DE71,2.589807
DE72,2.0552306
DE73,1.8271729
DE80,2.613977
DE91,2.1751037
BG41,1.1265198
BG42,2.5962768
CH01,-3.18891
AT32,-3.721045
AT33,-5.2309327
AT34,-3.7236085
BE10,4.738031
BE23,5.0610595
BE24,4.6404357
BE25,5.505365
BE31,4.4100585
BE32,4.590509
BE33,3.0312133
BE34,2.6783385
BE35,3.5719543
BG31,1.8314453
BG32,2.2526793
BG33,3.1770568
BG34,3.8368163
DE92,3.016168
DE93,3.180017
DE94,3.859613
CZ07,0.012872314
CZ08,-0.03568115
AL01,4.260095
AL02,5.4790587
AL03,6.386499
AT11,1.4243714
AT12,0.78212893
AT13,1.8233887
AT21,-2.309546
AT22,-1.5654358
AT31,-0.08045044
DK05,3.6604857
BE21,4.7236266
BE22,4.300531
ES43,8.741907
ES51,6.8555846
ES52,9.480188
ES53,13.983454
ES61,9.977716
ES62,10.169947
ES63,14.54101
ES64,14.340509
CH02,-0.5312866
CH03,2.7046142
CH04,2.244348
CH05,-3.7107606
CH06,-1.6191772
CH07,-1.1455749
CY00,14.196344
CZ01,1.6125733
CZ02,1.127649
CZ03,0.34008178
CZ04,0.4753662
CZ05,0.13451537
CZ06,0.649408
DE40,2.410852
EL53,3.1661315
EL54,6.462457
EL61,7.8597655
EL62,13.402338
EL63,9.287928
ES70,18.44201
ITC1,1.215509
ITC2,-5.288031
DE11,1.900354
DE12,2.3655028
DE13,2.304193
DE14,1.4301697
DE21,0.6714417
DE22,1.2716614
DE23,0.97295535
DE24,1.1796509
DE25,1.7368103
DE26,2.021112
DE27,0.5064026
DE30,2.413629
EL42,14.724878
LV00,-0.8607544
ME00,2.7785583
MK00,2.3366027
MT00,15.711603
NL11,4.273828
NL12,5.3393188
EL64,9.067743
EL65,10.638941
ES11,8.653864
ES12,7.784143
ES13,7.7987
ES21,8.184626
ES22,6.420465
ES23,5.631891
ES24,5.753015
ES30,5.859491
IE05,7.0896544
IE06,6.418756
IS00,-0.8939575
ITC3,7.0818114
FI19,-3.7146668
FI1B,-2.0585084
FI1C,-2.7981935
DEA1,4.012384
DEA2,3.0626159
DEA3,3.716333
DEA4,2.8897948
DEA5,2.4114623
DEB1,2.3984313
DEB2,2.188623
DEB3,2.843408
DEC0,2.676599
DED2,1.5877625
DED4,0.94152224
DED5,2.4685302
DEE0,2.456903
DEF0,3.2651305
DEG0,1.4811035
DK01,3.1551452
DK02,3.1996703
DK03,3.2078185
DK04,3.2483764
ES41,5.4357543
ES42,6.6076293
HU23,2.2090087
HU31,1.0752503
HU32,1.5150086
HU33,2.0380187
IE04,6.7788634
EE00,-1.1088012
EL30,12.203699
EL41,12.819605
EL43,13.64126
EL51,5.9866576
EL52,6.4480834
FI20,1.3162781
FR10,5.0771422
FRB0,5.597894
FRC1,4.6285644
FRC2,3.41546
FRD1,6.518701
FRD2,5.7643676
FRE1,5.3046813
FRE2,4.8852477
FRF1,3.0074706
NL13,4.032861
NL21,4.099878
NL22,4.2762694
NL23,4.7156005
NL31,4.614679
NL32,5.7131286
ITG2,11.12182
ITH1,-5.7568727
ITH2,-2.2090516
FRI3,6.958032
FRJ1,6.1504455
FRJ2,5.4192443
FRK1,3.9890685
FRK2,1.9713074
FRL0,4.5060363
FRM0,10.34527
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,9.453791
TR32,8.541986
TR33,4.3519225
HR03,6.854028
HR02,2.818231
HU11,1.6283509
HU12,1.5028931
HU21,1.6899658
HU22,1.9673706
PT16,9.653833
PT17,12.790003
