nuts,January Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,2.583551
DE60,2.0829406
DE71,1.4439942
DE72,0.9077393
DE73,0.7424561
DE80,1.3085877
DE91,1.1069275
BG41,-0.5173706
BG42,1.0884339
CH01,-4.522284
AT32,-5.2289186
AT33,-6.740607
AT34,-4.9711366
BE10,4.14541
BE23,4.474054
BE24,4.052118
BE25,4.9513793
BE31,3.7967162
BE32,3.9982848
BE33,2.2845702
BE34,1.9311157
BE35,2.9034667
BG31,0.2868286
BG32,0.8001038
BG33,1.6876465
BG34,2.2115722
DE92,2.1334167
DE93,2.1012816
DE94,3.018457
CZ07,-1.2295593
CZ08,-1.3806823
AL01,2.7000365
AL02,3.9713378
AL03,4.958093
AT11,0.30605468
AT12,-0.46564332
AT13,0.5223633
AT21,-4.132788
AT22,-3.0949464
AT31,-1.4124511
DK05,2.523584
BE21,4.161279
BE22,3.6802611
ES43,7.5522094
ES51,5.6694884
ES52,8.373011
ES53,12.79043
ES61,8.826197
ES62,9.031244
ES63,13.760248
ES64,13.248224
CH02,-1.7135376
CH03,1.5035034
CH04,0.94033206
CH05,-5.251044
CH06,-2.7818666
CH07,-2.7646546
CY00,12.968073
CZ01,-0.027380371
CZ02,-0.39899293
CZ03,-1.1389526
CZ04,-1.042334
CZ05,-1.2649292
CZ06,-0.5940918
DE40,0.9223572
EL53,1.7423645
EL54,5.055536
EL61,6.3818603
EL62,12.181543
EL63,7.9787536
ES70,17.654016
ITC1,-0.34226075
ITC2,-6.793921
DE11,0.70192873
DE12,1.3150574
DE13,1.1509949
DE14,0.2576538
DE21,-0.6211914
DE22,-0.307959
DE23,-0.6071533
DE24,-0.261084
DE25,0.4336792
DE26,0.6367127
DE27,-0.70935667
DE30,0.9192444
EL42,13.47909
LV00,-2.89823
ME00,1.1047302
MK00,0.7240845
MT00,14.701807
NL11,3.4166503
NL12,4.373407
EL64,7.639154
EL65,9.35821
ES11,7.560571
ES12,6.6731505
ES13,6.8052917
ES21,7.152612
ES22,5.364984
ES23,4.487573
ES24,4.613855
ES30,4.6370177
IE05,6.415033
IE06,5.6897826
IS00,-2.28089
ITC3,5.8765197
FI19,-5.604468
FI1B,-3.7831788
FI1C,-4.557532
DEA1,3.4192138
DEA2,2.3046813
DEA3,3.1176085
DEA4,2.081018
DEA5,1.5570618
DEB1,1.5205017
DEB2,1.3529602
DEB3,1.9377075
DEC0,1.8278443
DED2,0.12798461
DED4,-0.4045166
DED5,1.3026367
DEE0,1.28396
DEF0,2.1086364
DEG0,0.22023925
DK01,1.9100586
DK02,2.062799
DK03,2.172235
DK04,2.2200255
ES41,4.258966
ES42,5.437616
HU23,1.020929
HU31,-0.42087403
HU32,0.06414185
HU33,0.7043396
IE04,6.0261474
EE00,-3.0212464
EL30,10.873438
EL41,11.42367
EL43,12.458826
EL51,4.435388
EL52,4.980432
FI20,-0.13034669
FR10,4.4805846
FRB0,4.814752
FRC1,3.6522155
FRC2,2.370172
FRD1,5.8443847
FRD2,5.1127257
FRE1,4.7492003
FRE2,4.2923217
FRF1,1.9934326
NL13,3.3164
NL21,3.4416137
NL22,3.6570373
NL23,3.97265
NL31,3.957971
NL32,4.8072143
ITG2,9.971796
ITH1,-7.385657
ITH2,-3.9973512
FRI3,6.0855956
FRJ1,4.999353
FRJ2,4.2486815
FRK1,2.906427
FRK2,0.8572327
FRL0,3.210382
FRM0,9.1453495
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,8.078272
TR32,7.217706
TR33,3.0248961
HR03,5.481195
HR02,1.3444153
HU11,0.45943603
HU12,0.30529174
HU21,0.43911132
HU22,0.72887576
PT16,8.531
PT17,11.77099
FRF2,3.3114867
FRF3,2.2672973
FRG0,6.0992064
FRH0,7.35119
FRI1,6.461328
FRI2,4.218683
ITC4,0.35350952
ITF1,4.3136535
ITF2,5.6382384
ITF3,7.555902
ITF4,9.479639
ITF5,6.7891784
ITF6,9.635553
ITG1,11.418146
LT01,-3.2771058
LT02,-2.5549073
LU00,1.6036011
PL22,-1.1950439
PL41,-0.37766114
PL42,0.23070678
PT18,9.865259
PT20,-273.15
PT30,-273.15
RO11,-2.0516725
RO12,-2.9924378
RO21,-2.4383302
RO22,0.43114623
RO31,-0.35385743
RO32,-0.042944334
ITH3,1.4972473
ITH4,0.75765383
ITH5,4.126001
ITI1,6.462976
ITI2,4.193628
ITI3,5.5012755
ITI4,6.083917
LI00,-3.3957887
FI1D,-8.836554
TR82,1.4753357
TR83,1.7230469
TR90,-1.557959
TRA1,-6.4751954
TRA2,-6.978766
PL43,0.24242553
PL51,-0.71643674
PL52,-0.50342405
PL61,-0.9594482
PL62,-1.8909668
PL63,-0.53641355
PL71,-1.0028442
PL72,-1.3261169
PL81,-1.6136535
PL82,-1.891272
PL84,-2.3704896
PL91,-1.332251
PL92,-1.5267395
PT11,6.644525
PT15,11.862513
TRB1,-2.6386476
TRB2,-4.9106812
TRC1,3.293054
RS12,1.2733399
RS21,0.019494629
RS22,0.06987915
SE11,-0.7391418
SE12,-1.7944702
NL33,4.5122924
NL34,4.6878295
NL41,4.024011
NL42,3.6795897
PL21,-1.9335388
UKM6,5.30224
TR22,6.2515807
TRC2,3.5554137
TRC3,3.9685912
UKC1,4.4233947
UKC2,4.4731994
UKD1,4.278711
UKD3,4.6055846
UKD4,4.780969
UKD6,5.044458
UKD7,5.666467
UKE1,5.039087
UKE2,4.384393
UKE3,4.6527343
RO41,-0.3104309
RO42,-0.3147339
RS11,1.5224243
TR41,3.057611
TR42,3.2445006
TR51,1.3358094
TR52,1.1211182
TR61,4.3353515
TR62,4.592584
TR63,3.3568664
TR71,0.76165164
TR72,-2.2293763
TR81,2.7493224
UKK1,5.4723754
UKK2,6.354303
UKK3,7.9966674
UKK4,6.7392516
UKL1,5.997522
UKL2,4.858026
UKM5,4.090814
UKM7,3.5184264
UKM8,4.4169555
UKM9,4.69494
UKN0,5.668634
SE21,-0.33704224
SE22,0.6498352
SE23,-0.4647583
SE31,-4.094916
SE32,-6.3906617
SE33,-9.2703
SI03,0.21709594
SI04,0.569574
SK01,0.43087158
SK02,-0.32459107
SK03,-2.3396668
SK04,-2.1153321
TR10,6.703546
TR21,5.1027465
UKE4,4.3326964
UKF1,4.6498046
UKF2,4.8990417
UKF3,5.006738
UKG1,5.0020995
UKG2,4.7562804
UKG3,4.988092
UKH1,5.269037
UKH2,5.0804687
UKH3,5.402002
UKI3,5.339441
UKI4,5.339441
UKI5,5.271051
UKI6,5.3167663
UKI7,5.254846
UKJ1,5.0881896
UKJ2,6.0646605
UKJ3,6.05343
UKJ4,5.787164
NO09,-2.5669312
NO0A,-1.6700195
NO0B,-2.0676942
HR05,1.5167176
HR06,1.3697754
NO02,-7.340857
NO06,-3.954352
NO07,-6.501166
NO08,-4.8812013
