nuts,August Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,19.132502
DE60,19.157312
DE71,20.48086
DE72,19.253382
DE73,18.937525
DE80,19.393976
DE91,19.23144
BG41,21.990046
BG42,23.723017
CH01,16.007135
AT32,15.602259
AT33,14.217188
AT34,15.584711
BE10,19.874598
BE23,19.817652
BE24,19.861383
BE25,19.727167
BE31,19.650965
BE32,19.660883
BE33,18.786615
BE34,18.9732
BE35,19.210993
BG31,24.701319
BG32,24.661707
BG33,24.609034
BG34,24.914545
DE92,19.44372
DE93,19.37655
DE94,19.17721
CZ07,19.68191
CZ08,19.33291
AL01,23.77624
AL02,24.644861
AL03,24.962
AT11,21.865076
AT12,20.460901
AT13,22.01629
AT21,17.380548
AT22,17.856958
AT31,18.98913
DK05,18.23083
BE21,19.915583
BE22,19.861567
ES43,28.11526
ES51,24.386713
ES52,26.454584
ES53,27.621454
ES61,27.68191
ES62,27.44015
ES63,24.350489
ES64,28.16076
CH02,17.80163
CH03,20.585718
CH04,20.220697
CH05,15.887964
CH06,16.946863
CH07,18.175684
CY00,29.820581
CZ01,20.709925
CZ02,20.10647
CZ03,19.157465
CZ04,19.0422
CZ05,19.171412
CZ06,20.441462
DE40,20.287104
EL53,23.992548
EL54,24.999537
EL61,26.38305
EL62,27.338709
EL63,26.615686
ES70,22.869837
ITC1,20.76568
ITC2,14.892878
DE11,20.307856
DE12,20.756922
DE13,20.412897
DE14,19.613428
DE21,19.323175
DE22,20.13482
DE23,19.759485
DE24,19.435389
DE25,20.272425
DE26,20.12472
DE27,18.89947
DE30,20.544733
EL42,26.950464
LV00,18.49502
ME00,22.005487
MK00,23.950525
MT00,28.050837
NL11,18.89242
NL12,18.99447
EL64,26.743525
EL65,27.459955
ES11,20.911707
ES12,19.74322
ES13,20.5151
ES21,21.316126
ES22,22.712915
ES23,22.029535
ES24,24.406885
ES30,26.75323
IE05,16.6914
IE06,16.758326
IS00,10.515619
ITC3,23.892298
FI19,16.895746
FI1B,17.960993
FI1C,17.685968
DEA1,19.96963
DEA2,19.312983
DEA3,19.70968
DEA4,19.295984
DEA5,18.844324
DEB1,19.539576
DEB2,19.175226
DEB3,21.099817
DEC0,20.422815
