nuts,Autumn Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,10.854731
DE60,10.825525
DE71,10.292383
DE72,9.622156
DE73,9.518976
DE80,10.550013
DE91,10.036432
BG41,10.946711
BG42,12.471643
CH01,5.8442016
AT32,5.491998
AT33,4.0888305
AT34,5.554437
BE10,11.797449
BE23,12.053858
BE24,11.7208805
BE25,12.387323
BE31,11.478571
BE32,11.551477
BE33,10.297419
BE34,9.976709
BE35,10.725214
BG31,12.698481
BG32,12.902063
BG33,13.309961
BG34,13.752893
DE92,10.648279
DE93,10.756922
DE94,11.134882
CZ07,9.4430485
CZ08,9.389338
AL01,13.592554
AL02,14.680323
AL03,15.18368
AT11,11.073145
AT12,9.910486
AT13,11.152796
AT21,7.0490355
AT22,7.7256103
AT31,8.77981
DK05,10.868433
BE21,11.847803
BE22,11.507959
ES43,17.448755
ES51,14.786341
ES52,17.286768
ES53,20.71853
ES61,18.222254
ES62,18.099268
ES63,19.655268
ES64,21.194391
CH02,7.7683654
CH03,10.369684
CH04,10.064661
CH05,5.561914
CH06,6.9053283
CH07,7.6839843
CY00,22.708643
CZ01,10.130579
CZ02,9.630579
CZ03,8.797632
CZ04,8.707453
CZ05,8.967157
CZ06,9.866724
DE40,10.457117
EL53,12.861078
EL54,15.094599
EL61,16.507837
EL62,20.387354
EL63,17.375818
ES70,21.918146
ITC1,9.967615
ITC2,4.2340026
DE11,9.882288
DE12,10.385096
DE13,10.11709
DE14,9.47378
DE21,9.119928
DE22,9.58581
DE23,9.144312
DE24,9.126764
DE25,9.706507
DE26,9.799463
DE27,8.728327
DE30,10.5086
EL42,21.013666
LV00,7.9830565
ME00,11.775812
MK00,12.380335
MT00,22.521997
NL11,11.388941
NL12,12.300135
EL64,17.340937
EL65,18.604303
ES11,14.222132
ES12,13.4188175
ES13,13.879084
ES21,14.437769
ES22,13.724146
ES23,12.84054
ES24,13.830042
ES30,14.764307
IE05,11.420649
IE06,11.000025
IS00,2.9005065
ITC3,14.645258
FI19,5.930078
FI1B,7.4328856
FI1C,6.9152465
DEA1,11.4031925
DEA2,10.487635
DEA3,11.146051
DEA4,10.502405
DEA5,10.032312
DEB1,9.962946
DEB2,9.643274
DEB3,10.709772
DEC0,10.336847
DED2,9.841852
DED4,9.067865
DED5,10.642115
