nuts,Spring Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,9.619257
DE60,9.144403
DE71,9.889215
DE72,9.066584
DE73,8.874292
DE80,8.849451
DE91,9.191553
BG41,10.183649
BG42,11.343805
CH01,4.0940795
AT32,4.314111
AT33,2.6090941
AT34,4.228723
BE10,10.413904
BE23,10.423609
BE24,10.40542
BE25,10.240503
BE31,10.139185
BE32,10.094172
BE33,9.17959
BE34,9.062708
BE35,9.566614
BG31,12.634485
BG32,12.3814945
BG33,11.810755
BG34,12.158472
DE92,9.665735
DE93,9.56167
DE94,9.609613
CZ07,9.314508
CZ08,9.116724
AL01,11.500147
AL02,12.383417
AL03,12.537165
AT11,11.139887
AT12,9.773157
AT13,11.130823
AT21,6.1464477
AT22,7.2380614
AT31,8.563684
DK05,7.6648498
BE21,10.540491
BE22,10.369501
ES43,14.841547
ES51,12.169367
ES52,14.404963
ES53,16.016535
ES61,15.444757
ES62,15.322504
ES63,16.322718
ES64,17.923304
CH02,6.6285033
CH03,9.853235
CH04,9.438623
CH05,4.101251
CH06,5.36828
CH07,6.0064025
CY00,18.2008
CZ01,9.927515
CZ02,9.490686
CZ03,8.722956
CZ04,8.523645
CZ05,8.801935
CZ06,9.773645
DE40,9.911951
EL53,11.0906925
EL54,12.481592
EL61,13.944788
EL62,15.928949
EL63,14.166834
ES70,18.067194
ITC1,8.286463
ITC2,2.018518
DE11,9.566645
DE12,9.991968
DE13,9.740442
DE14,9.106867
DE21,8.808222
DE22,9.750574
DE23,9.214411
DE24,8.96084
DE25,9.557795
DE26,9.529749
DE27,8.249903
DE30,10.051538
EL42,16.86648
LV00,7.1312194
ME00,9.91247
MK00,11.1670475
MT00,16.713953
NL11,9.376551
NL12,9.146204
EL64,14.525965
EL65,15.022852
ES11,11.441401
ES12,10.412806
ES13,10.837641
ES21,11.513849
ES22,11.392511
ES23,10.416895
ES24,11.649195
ES30,12.332514
IE05,9.20257
IE06,9.02508
IS00,1.1870362
ITC3,12.108881
FI19,4.571649
FI1B,5.047815
FI1C,5.035974
DEA1,10.399195
DEA2,9.513941
DEA3,10.182886
DEA4,9.546595
DEA5,9.117426
DEB1,9.277399
DEB2,8.935328
DEB3,10.195063
DEC0,9.7408695
DED2,9.540796
DED4,8.623133
DED5,10.09881
DEE0,9.699854
DEF0,8.674677
DEG0,8.859003
DK01,7.3985534
DK02,7.826074
DK03,8.000757
DK04,7.739679
ES41,10.630732
ES42,13.067896
HU23,12.348505
HU31,11.76153
HU32,12.524439
HU33,12.653955
IE04,9.059656
EE00,5.99447
EL30,16.45669
EL41,16.043787
EL43,16.628656
EL51,13.133509
EL52,14.077143
FI20,4.215875
FR10,10.7321415
FRB0,11.107721
FRC1,10.940699
FRC2,10.294184
FRD1,10.307978
FRD2,10.142298
FRE1,10.095484
FRE2,10.296564
FRF1,10.251825
NL13,9.665491
NL21,9.947992
NL22,10.208887
NL23,9.838953
NL31,10.048182
NL32,9.365168
ITG2,14.425776
ITH1,2.4129882
ITH2,5.964166
FRI3,12.001795
FRJ1,11.363245
FRJ2,10.711512
FRK1,9.633783
FRK2,8.817011
FRL0,10.324701
FRM0,13.568079
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.408899
TR32,14.803736
TR33,12.421534
HR03,12.792597
HR02,12.352137
HU11,12.142694
HU12,12.0693
HU21,11.9126835
HU22,11.959894
PT16,13.769373
PT17,15.391321
FRF2,10.358545
FRF3,9.993708
FRG0,11.315149
FRH0,10.820032
FRI1,12.482203
FRI2,10.608576
ITC4,10.299158
ITF1,11.36413
ITF2,12.3640995
ITF3,13.253412
ITF4,15.031092
ITF5,13.261866
ITF6,14.247736
ITG1,15.375483
LT01,7.9320006
LT02,7.8692565
LU00,9.025934
PL22,9.480463
PL41,9.637445
PL42,8.879328
PT18,15.591455
PT20,-273.15
PT30,-273.15
RO11,10.173639
RO12,8.815302
RO21,9.839441
RO22,11.767817
RO31,11.898767
RO32,12.814295
ITH3,10.95727
ITH4,10.21139
ITH5,12.924189
ITI1,12.942072
ITI2,11.7399845
ITI3,12.65423
ITI4,12.484552
LI00,5.8754516
FI1D,2.0672545
TR82,10.489038
TR83,11.168604
TR90,8.158655
TRA1,5.8359923
TRA2,4.84588
PL43,10.041651
PL51,9.329889
PL52,9.786829
PL61,9.113947
PL62,8.499598
PL63,8.178797
PL71,9.607843
PL72,9.717005
PL81,9.552942
PL82,9.577539
PL84,8.681055
PL91,9.486048
PL92,9.275965
PT11,12.152704
PT15,16.01629
TRB1,9.691126
TRB2,7.4337096
TRC1,14.6931095
RS12,13.151392
RS21,11.28747
RS22,11.648035
SE11,5.6262755
SE12,6.268823
NL33,9.949579
NL34,10.291712
NL41,10.469263
NL42,10.440638
PL21,9.110712
UKM6,7.6117797
TR22,13.684595
TRC2,15.635035
TRC3,15.81576
UKC1,8.000055
UKC2,7.922296
UKD1,7.8770385
UKD3,8.634485
UKD4,8.499384
UKD6,9.098291
UKD7,9.290522
UKE1,8.960413
UKE2,8.178217
UKE3,8.877436
RO41,11.997431
RO42,11.243494
RS11,13.28927
TR41,12.405817
TR42,11.56933
TR51,11.913782
TR52,11.754511
TR61,12.741571
TR62,13.547297
TR63,13.621515
TR71,11.833124
TR72,9.320612
TR81,10.903803
UKK1,9.538294
UKK2,9.626551
UKK3,10.052271
UKK4,9.517572
UKL1,9.037775
UKL2,8.639704
