nuts,Annual Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DEA5,9.6088505
DEB1,9.800104
DEB2,9.484308
DEB3,10.677546
DEC0,10.257105
DED2,9.603693
DED4,8.813562
DED5,10.396082
DEE0,10.12417
DEF0,9.834864
DEG0,9.198877
DK01,9.429712
DK02,9.669458
DK03,9.504084
DK04,9.321039
ES41,12.234217
ES42,14.711512
HU23,11.914087
HU31,11.070337
HU32,11.905634
HU33,12.129236
IE04,10.297602
EE00,6.9997497
EL30,18.472925
EL41,17.959131
EL43,18.708582
EL51,14.28277
EL52,15.012751
FI20,7.3654723
FR10,11.683985
FRB0,12.115198
FRC1,11.721033
FRC2,10.811335
FRD1,11.642298
FRD2,11.361444
FRE1,11.18255
FRE2,11.237909
FRF1,10.652399
NL13,10.420282
NL21,10.654993
NL22,10.887903
NL23,10.848139
NL31,10.908442
NL32,11.052393
ITG2,16.756159
ITH1,3.039575
ITH2,6.5418944
FRI3,13.073389
FRJ1,12.69961
FRJ2,11.946314
FRK1,10.575129
FRK2,9.596125
FRL0,11.592127
FRM0,15.76568
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,16.959986
TR32,16.435785
TR33,13.37414
HR03,14.058802
HR02,12.201258
HU11,11.640467
HU12,11.54104
HU21,11.461054
HU22,11.558985
PT16,15.2052555
PT17,16.743494
FRF2,11.110559
FRF3,10.581751
FRG0,12.490961
FRH0,12.291529
FRI1,13.655085
FRI2,11.614222
ITC4,10.835657
ITF1,12.867609
ITF2,13.950129
ITF3,15.194086
ITF4,17.087732
ITF5,15.061274
ITF6,16.522669
ITG1,17.93255
LT01,7.651117
LT02,7.9005065
LU00,9.585199
PL22,9.19372
PL41,9.676081
PL42,9.449518
PT18,16.992762
PT20,-273.15
PT30,-273.15
RO11,9.4042
RO12,8.140375
RO21,9.194208
RO22,12.011347
RO31,11.630335
RO32,12.447046
ITH3,11.630243
ITH4,10.709345
ITH5,13.84646
ITI1,14.545618
ITI2,13.140467
ITI3,14.15719
ITI4,14.240992
LI00,6.2524962
FI1D,2.7813964
TR82,11.422388
TR83,11.8482
TR90,9.0846195
TRA1,6.6620727
TRA2,5.5001464
PL43,10.101374
PL51,9.288172
PL52,9.701532
PL61,9.148127
PL62,8.513147
PL63,8.840174
PL71,9.427942
PL72,9.381159
PL81,9.137232
PL82,9.017115
PL84,8.391596
PL91,9.20376
PL92,9.024103
PT11,13.616602
PT15,17.445093
TRB1,11.111841
TRB2,8.911615
TRC1,16.022486
RS12,12.709803
RS21,11.007929
RS22,11.2867985
SE11,7.5795836
SE12,7.2474914
NL33,11.139399
NL34,11.364588
NL41,11.177118
NL42,11.061548
PL21,8.638605
UKM6,9.131128
TR22,15.161371
TRC2,17.13064
TRC3,17.357386
UKC1,9.464167
UKC2,9.389795
UKD1,9.291498
UKD3,9.849695
UKD4,9.858454
UKD6,10.335596
UKD7,10.712061
UKE1,10.404505
UKE2,9.573725
UKE3,10.144007
RO41,11.509302
RO42,10.745783
RS11,12.978205
TR41,13.235804
TR42,12.662378
TR51,12.56106
TR52,12.625879
TR61,14.218744
TR62,14.873072
TR63,14.763422
TR71,12.514154
TR72,9.791407
TR81,11.992884
UKK1,10.862085
UKK2,11.231073
UKK3,11.868921
UKK4,11.207148
UKL1,10.572687
UKL2,9.956568
UKM5,8.700098
UKM7,8.51449
UKM8,9.285303
UKM9,9.386652
UKN0,10.049799
SE21,7.9526
SE22,8.619379
SE23,7.9443297
SE31,5.489221
SE32,3.4374328
SE33,1.7535645
SI03,10.596613
SI04,10.517054
SK01,11.1600895
SK02,10.475977
SK03,8.255915
SK04,8.769556
TR10,15.280176
TR21,14.82522
UKE4,9.654383
UKF1,10.182306
UKF2,10.614893
UKF3,10.703791
UKG1,10.47555
UKG2,10.088526
UKG3,10.518427
UKH1,10.929255
UKH2,10.901514
UKH3,11.1774235
UKI3,11.139795
UKI4,11.139795
UKI5,11.091242
UKI6,11.085962
UKI7,11.0245
UKJ1,10.762598
UKJ2,11.375391
UKJ3,11.300318
UKJ4,11.381067
NO09,5.4929748
NO0A,4.9074035
NO0B,0.97814333
HR05,12.240839
HR06,12.009821
NO02,2.4228454
NO06,4.170007
NO07,2.13479
NO08,4.5005126
