nuts,Annual Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,10.266169
DE60,10.009974
DE71,10.271631
DE72,9.4491825
DE73,9.248102
DE80,9.769312
DE91,9.656061
BG41,10.148096
BG42,11.7208805
CH01,4.843347
AT32,4.6419616
AT33,3.070642
AT34,4.609369
BE10,11.177881
BE23,11.311853
BE24,11.138025
BE25,11.407587
BE31,10.887018
BE32,10.922052
BE33,9.819117
BE34,9.6531315
BE35,10.251093
BG31,12.174036
BG32,12.354975
BG33,12.441553
BG34,12.851099
DE92,10.217218
DE93,10.193506
DE94,10.416254
CZ07,9.019678
CZ08,8.846308
AL01,12.36178
AL02,13.397089
AL03,13.827326
AT11,10.806391
AT12,9.608637
AT13,10.945398
AT21,6.2892394
AT22,7.1315246
AT31,8.423273
DK05,9.43548
BE21,11.25503
BE22,11.008631
ES43,16.466486
ES51,13.696222
ES52,16.082819
ES53,18.657251
ES61,17.031824
ES62,16.965998
ES63,18.03036
ES64,19.651606
CH02,7.1396422
CH03,10.146051
CH04,9.7182865
CH05,4.5754943
CH06,6.07287
CH07,6.858972
CY00,20.304255
CZ01,9.982508
CZ02,9.467676
CZ03,8.60409
CZ04,8.564875
CZ05,8.681757
CZ06,9.600397
DE40,10.189661
EL53,11.92251
EL54,13.830225
EL61,15.338831
EL62,18.278772
EL63,15.96557
ES70,19.757349
ITC1,9.238611
ITC2,3.1143737
DE11,9.84701
DE12,10.32406
DE13,9.94195
DE14,9.246149
DE21,8.832422
DE22,9.513178
DE23,9.0854435
DE24,9.025629
DE25,9.716822
DE26,9.778528
DE27,8.421045
DE30,10.288385
EL42,19.018763
LV00,7.4127135
ME00,10.653803
MK00,11.55755
MT00,19.827112
NL11,10.404963
NL12,10.766077
EL64,16.09228
EL65,17.04458
ES11,13.020746
ES12,12.10232
ES13,12.547998
ES21,13.131311
ES22,12.804987
ES23,11.923334
ES24,13.125147
ES30,14.032251
IE05,10.580622
IE06,10.318232
IS00,2.7516418
ITC3,13.594049
FI19,5.1832824
FI1B,6.334619
FI1C,6.0146422
DEA1,10.987726
DEA2,10.114374
DEA3,10.739283
DEA4,10.078608
