nuts,January Mean Temperature (°C) ensemble median - RCP8.5 - (2011 - 2040)
DE50,2.4167418
DE60,2.0512023
DE71,1.5822998
DE72,1.0334107
DE73,0.82750857
DE80,1.2982422
DE91,1.1239258
BG41,-0.26346436
BG42,1.3124329
CH01,-4.16355
AT32,-4.9081483
AT33,-6.2477784
AT34,-4.6148744
BE10,4.0184264
BE23,4.3724303
BE24,3.9173522
BE25,4.829614
BE31,3.673181
BE32,3.8631835
BE33,2.3035827
BE34,1.9586731
BE35,2.839624
BG31,0.47237548
BG32,0.80144656
BG33,1.8010498
BG34,2.416101
DE92,1.9985901
DE93,2.0397887
DE94,2.8009276
CZ07,-1.2502502
CZ08,-1.4297241
AL01,2.9370666
AL02,4.0768676
AL03,4.9990478
AT11,0.54363406
AT12,-0.27161255
AT13,0.65175784
AT21,-3.855597
AT22,-2.9046388
AT31,-1.1580871
DK05,2.577539
BE21,4.0059752
BE22,3.5677428
ES43,7.9226317
ES51,6.0776305
ES52,8.663263
ES53,13.120935
ES61,9.121454
ES62,9.314692
ES63,13.87002
ES64,13.425989
CH02,-1.4014343
CH03,1.7583252
CH04,1.2198426
CH05,-4.7937074
CH06,-2.44245
CH07,-2.3556886
CY00,13.098291
CZ01,0.31542358
CZ02,-0.05005493
CZ03,-0.8398498
CZ04,-0.7081665
CZ05,-1.0650085
CZ06,-0.46292725
DE40,0.98442996
EL53,1.8143555
EL54,5.089288
EL61,6.4924865
EL62,12.295465
EL63,7.9908385
ES70,17.744562
ITC1,-0.14288941
ITC2,-6.4544435
DE11,0.9948975
DE12,1.5643555
DE13,1.3602844
DE14,0.50823367
DE21,-0.38822022
DE22,0.03688965
DE23,-0.28665772
DE24,-0.02576294
DE25,0.66689456
DE26,0.9398438
DE27,-0.5014404
DE30,0.9984375
EL42,13.534143
LV00,-3.0179505
ME00,1.4236695
MK00,0.89638674
MT00,14.623529
NL11,3.2310119
NL12,4.2889953
EL64,7.7074523
EL65,9.394678
ES11,7.8693175
ES12,7.0302978
ES13,7.1138244
ES21,7.5137877
ES22,5.72323
ES23,4.905847
ES24,5.0250793
ES30,5.018518
IE05,6.4625487
IE06,5.7607055
IS00,-1.8153137
ITC3,6.0920653
FI19,-5.7352967
FI1B,-3.8845582
FI1C,-4.649634
DEA1,3.2513366
DEA2,2.2891173
DEA3,2.8904052
DEA4,1.9633728
DEA5,1.5788513
DEB1,1.6396729
DEB2,1.4577271
DEB3,2.0775084
DEC0,1.9511048
DED2,0.2911316
DED4,-0.21112671
DED5,1.287561
DEE0,1.2526184
DEF0,2.1474547
DEG0,0.3098999
DK01,1.9435059
DK02,2.1083312
DK03,2.198999
DK04,2.2567687
ES41,4.6716247
ES42,5.758264
HU23,1.1576782
HU31,-0.00256958
HU32,0.44112548
HU33,1.0048462
IE04,6.144403
EE00,-3.1400208
EL30,10.917292
EL41,11.53158
EL43,12.510706
EL51,4.5780272
EL52,5.205377
FI20,-0.060186766
FR10,4.445123
FRB0,4.9076476
FRC1,3.8151183
FRC2,2.5259643
FRD1,5.820001
FRD2,4.989465
FRE1,4.615442
FRE2,4.1452575
FRF1,2.1263366
NL13,3.0627685
NL21,3.2230163
NL22,3.4869933
NL23,3.8727355
NL31,3.8600707
NL32,4.7672973
ITG2,10.112055
ITH1,-6.8896546
ITH2,-3.5919862
FRI3,6.2229247
FRJ1,5.393213
FRJ2,4.658014
FRK1,3.2202086
FRK2,1.1720825
FRL0,3.554132
FRM0,9.370813
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,8.083887
TR32,7.232202
TR33,3.0153747
HR03,5.5869994
HR02,1.545343
HU11,0.77782595
HU12,0.6247498
HU21,0.7355591
HU22,0.9780518
PT16,8.813868
PT17,12.000391
FRF2,3.4251037
FRF3,2.40484
FRG0,6.205774
FRH0,7.3703246
FRI1,6.7568297
FRI2,4.522241
ITC4,0.6785828
ITF1,4.4755187
ITF2,5.8011107
ITF3,7.7678466
ITF4,9.645502
ITF5,6.9979796
ITF6,9.730494
ITG1,11.441614
LT01,-3.4904542
LT02,-2.6607728
LU00,1.6528565
PL22,-1.2014221
PL41,-0.32834473
PL42,0.3019348
PT18,10.135523
PT20,-273.15
PT30,-273.15
RO11,-1.6591552
RO12,-2.5705934
RO21,-2.4452882
RO22,0.66167605
RO31,-0.02121582
RO32,0.26699218
ITH3,1.7831055
ITH4,1.0246521
ITH5,4.2941527
ITI1,6.6055236
ITI2,4.27865
ITI3,5.685785
ITI4,6.2362304
LI00,-3.016852
FI1D,-9.342596
TR82,1.5651795
TR83,1.6053406
TR90,-1.7757324
TRA1,-6.5915895
TRA2,-6.9458375
PL43,0.3558899
PL51,-0.49277344
PL52,-0.4041809
PL61,-0.8972534
PL62,-1.8034118
PL63,-0.4657654
PL71,-0.8594116
PL72,-1.2022766
PL81,-1.678778
PL82,-1.8256897
PL84,-2.444861
PL91,-1.3226074
PL92,-1.5329651
PT11,6.956079
PT15,12.047998
TRB1,-2.826819
TRB2,-5.027838
TRC1,3.2364745
RS12,1.556543
RS21,0.296167
RS22,0.35256347
SE11,-0.6548828
SE12,-1.8067383
NL33,4.4131713
NL34,4.5940795
NL41,3.8554626
NL42,3.5052428
PL21,-1.8849548
UKM6,5.3176208
TR22,6.350824
TRC2,3.557489
TRC3,3.9633117
UKC1,4.5255675
UKC2,4.5768065
UKD1,4.284326
UKD3,4.531549
UKD4,4.737085
UKD6,4.961969
UKD7,5.5929503
UKE1,5.1689086
UKE2,4.4608397
UKE3,4.6637206
RO41,0.15108642
RO42,0.058221437
RS11,1.7770325
TR41,3.1597228
TR42,3.3245788
TR51,1.4385926
TR52,1.1205078
TR61,4.4569335
TR62,4.5568175
TR63,3.2640014
TR71,0.73821414
TR72,-2.5493836
TR81,2.844812
