nuts,April Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,9.53631
DE60,9.017481
DE71,9.869745
DE72,9.09115
DE73,8.907618
DE80,8.71258
DE91,9.204706
BG41,10.099939
BG42,11.213892
CH01,3.6523376
AT32,3.8322692
AT33,1.951471
AT34,3.5988402
BE10,10.117609
BE23,10.133112
BE24,10.114405
BE25,9.946558
BE31,9.860224
BE32,9.819483
BE33,8.991846
BE34,8.8594
BE35,9.338648
BG31,12.498865
BG32,12.273554
BG33,11.458002
BG34,11.957148
DE92,9.675074
DE93,9.505457
DE94,9.486536
CZ07,9.583765
CZ08,9.413507
AL01,11.194941
AL02,12.124353
AL03,12.11529
AT11,11.367762
AT12,9.978327
AT13,11.312708
AT21,5.852014
AT22,6.9836364
AT31,8.584681
DK05,7.3099
BE21,10.205774
BE22,10.097437
ES43,13.987421
ES51,11.555841
ES52,13.683893
ES53,15.4461
ES61,14.731226
ES62,14.623194
ES63,15.82284
ES64,17.386744
CH02,6.236505
CH03,9.594355
CH04,9.133844
CH05,3.5733275
CH06,4.9083495
CH07,5.5663085
CY00,17.819757
CZ01,9.987757
CZ02,9.5619755
CZ03,8.879236
CZ04,8.615137
CZ05,9.0342045
CZ06,10.0220585
DE40,9.910395
EL53,10.775843
EL54,11.977381
EL61,13.373957
EL62,15.292383
EL63,13.615839
ES70,17.91366
ITC1,7.9595275
ITC2,1.5727783
DE11,9.556086
DE12,9.952784
DE13,9.504541
DE14,8.933374
DE21,8.739679
DE22,9.719416
DE23,9.253046
DE24,8.991816
DE25,9.576349
DE26,9.53927
DE27,8.110102
DE30,10.073267
EL42,16.29458
LV00,7.007898
ME00,9.409082
MK00,10.94607
MT00,16.198694
NL11,9.207392
NL12,8.8995
EL64,13.883783
EL65,14.453028
ES11,10.991205
ES12,9.846827
ES13,10.212091
ES21,10.879175
ES22,10.707666
ES23,9.749964
ES24,11.000025
ES30,11.493158
IE05,8.98736
IE06,8.817194
IS00,0.67452395
ITC3,11.61941
FI19,4.0103087
FI1B,4.578302
FI1C,4.466394
DEA1,10.209497
DEA2,9.389551
DEA3,10.086451
DEA4,9.547419
DEA5,9.12887
DEB1,9.197199
DEB2,8.782404
DEB3,10.120111
DEC0,9.611109
DED2,9.617273
DED4,8.741907
DED5,10.070185
DEE0,9.691187
DEF0,8.437342
DEG0,8.906214
DK01,6.8593993
DK02,7.3453918
DK03,7.645227
DK04,7.363977
ES41,9.8997135
ES42,12.2922
HU23,12.413843
HU31,11.944605
HU32,12.598902
HU33,12.699305
IE04,8.8501835
EE00,5.731073
EL30,15.813898
EL41,15.455133
EL43,16.006983
EL51,12.783014
EL52,13.636408
FI20,3.5585265
FR10,10.467005
FRB0,10.778437
FRC1,10.699579
FRC2,10.089624
FRD1,9.909723
FRD2,9.810816
FRE1,9.801813
FRE2,10.013483
FRF1,10.098505
NL13,9.533899
NL21,9.768793
NL22,9.952051
NL23,9.594873
NL31,9.744013
NL32,9.097345
ITG2,13.713312
ITH1,1.9104859
ITH2,5.5218444
FRI3,11.517267
FRJ1,10.78985
FRJ2,10.139124
FRK1,9.128595
FRK2,8.344019
FRL0,9.722162
FRM0,12.897974
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,15.007715
TR32,14.471888
TR33,12.229517
HR03,12.320368
HR02,12.324305
HU11,12.330683
HU12,12.245935
HU21,12.075678
HU22,12.107996
PT16,13.18606
PT17,14.985193
FRF2,10.158533
FRF3,9.822199
FRG0,10.87414
FRH0,10.314264
FRI1,11.999567
FRI2,10.163019
ITC4,9.865717
ITF1,10.770044
