nuts,Summer Mean Temperature (°C) ensemble median - RCP8.5 - (2041 - 2070)
DE50,18.408228
DE60,18.342432
DE71,19.591974
DE72,18.473383
DE73,18.17309
DE80,18.568018
DE91,18.491419
BG41,21.83755
BG42,23.425013
CH01,15.213251
AT32,14.830683
AT33,13.378534
AT34,14.683039
BE10,19.05459
BE23,18.968622
BE24,19.066523
BE25,18.740107
BE31,18.810114
BE32,18.76571
BE33,18.028772
BE34,18.123041
BE35,18.381556
BG31,24.57049
BG32,24.583094
BG33,24.115137
BG34,24.378077
DE92,18.731592
DE93,18.64657
DE94,18.408625
CZ07,19.140467
CZ08,18.858698
AL01,23.22442
AL02,24.241022
AL03,24.448145
AT11,21.396814
AT12,19.857477
AT13,21.443903
AT21,16.73443
AT22,17.41665
AT31,18.404383
DK05,17.204004
BE21,19.16714
BE22,19.120264
ES43,27.269129
ES51,23.256647
ES52,25.379938
ES53,26.008387
ES61,26.87005
ES62,26.467371
ES63,23.209253
ES64,27.041437
CH02,16.905664
CH03,19.632685
CH04,19.312464
CH05,14.878595
CH06,15.852289
CH07,17.38476
CY00,28.85174
CZ01,19.968317
CZ02,19.408716
CZ03,18.519281
CZ04,18.354517
CZ05,18.61883
CZ06,19.857508
DE40,19.649652
EL53,23.754816
EL54,24.48614
EL61,25.986353
EL62,26.050135
EL63,25.928522
ES70,21.799463
ITC1,19.957758
ITC2,14.279993
DE11,19.392084
DE12,19.810541
DE13,19.490168
DE14,18.817286
DE21,18.648066
DE22,19.458582
DE23,18.954279
DE24,18.615992
DE25,19.392298
DE26,19.224787
DE27,18.095575
DE30,19.873316
EL42,25.955622
LV00,18.282526
ME00,21.42901
MK00,23.46377
MT00,26.314447
NL11,18.007288
NL12,17.842707
EL64,26.296534
EL65,26.696772
ES11,19.70962
ES12,18.490595
ES13,19.215113
ES21,19.98501
ES22,21.465723
ES23,20.771723
ES24,23.476526
ES30,25.760065
IE05,16.09817
IE06,16.298822
IS00,10.146845
ITC3,22.617517
FI19,17.039118
FI1B,17.634302
FI1C,17.653254
DEA1,19.303553
DEA2,18.556177
DEA3,19.079187
DEA4,18.592463
DEA5,18.181543
DEB1,18.711573
DEB2,18.349848
DEB3,20.073694
DEC0,19.447992
DED2,19.257837
DED4,18.299524
DED5,19.899958
DEE0,19.377527
DEF0,18.010706
DEG0,18.491327
DK01,17.988184
DK02,18.036829
DK03,17.48318
DK04,17.178827
ES41,21.976923
ES42,26.337885
HU23,22.869104
HU31,22.492182
HU32,23.564234
HU33,23.55517
IE04,15.702051
EE00,18.091639
EL30,27.863611
EL41,26.182337
EL43,26.53103
EL51,25.49682
EL52,26.358484
FI20,16.993616
FR10,20.182093
FRB0,20.814234
FRC1,20.917597
FRC2,20.175623
FRD1,18.564234
FRD2,18.750818
FRE1,18.612757
FRE2,19.217646
FRF1,20.10763
NL13,18.182917
NL21,18.583002
NL22,18.87884
NL23,18.427088
NL31,18.601313
NL32,18.003595
ITG2,25.583918
ITH1,13.715448
ITH2,17.039667
FRI3,21.49743
FRJ1,22.009058
FRJ2,21.065485
FRK1,19.68307
FRK2,19.567133
FRL0,21.523157
FRM0,24.294703
