nuts,Summer Mean Temperature (°C) ensemble median - RCP4.5 - (2011 - 2040)
DE50,17.509912
DE60,17.436792
DE71,18.3977
DE72,17.265924
DE73,17.011469
DE80,17.734674
DE91,17.404016
BG41,19.992304
BG42,21.732416
CH01,13.703608
AT32,13.643091
AT33,12.027796
AT34,13.43487
BE10,17.788141
BE23,17.78457
BE24,17.81698
BE25,17.644007
BE31,17.561945
BE32,17.492914
BE33,16.838495
BE34,16.887323
BE35,17.159967
BG31,22.840662
BG32,22.916285
BG33,22.514338
BG34,22.782648
DE92,17.701563
DE93,17.726496
DE94,17.45901
CZ07,18.162653
CZ08,17.837976
AL01,21.509333
AL02,22.410242
AL03,22.61712
AT11,20.278345
AT12,18.826685
AT13,20.414423
AT21,15.534327
AT22,16.241602
AT31,17.376795
DK05,16.43719
BE21,17.931269
BE22,17.922419
ES43,25.1943
ES51,21.694727
ES52,23.826899
ES53,24.61645
ES61,25.10473
ES62,24.772882
ES63,22.19842
ES64,25.671198
CH02,15.665461
CH03,18.340204
CH04,18.046625
CH05,13.522608
CH06,14.605738
CH07,15.859888
CY00,27.281946
CZ01,18.950617
CZ02,18.394678
CZ03,17.487787
CZ04,17.282953
CZ05,17.612085
CZ06,18.906275
DE40,18.563745
EL53,21.876673
EL54,22.67074
EL61,24.335413
EL62,24.524775
EL63,24.165125
ES70,21.170893
ITC1,18.385553
ITC2,12.525171
DE11,18.214869
DE12,18.629572
DE13,18.224573
DE14,17.61239
DE21,17.537073
DE22,18.377161
DE23,17.850794
DE24,17.537745
DE25,18.274195
DE26,18.07458
DE27,16.909754
DE30,18.74914
EL42,24.65661
LV00,17.316095
ME00,19.806086
MK00,21.704615
MT00,24.997705
NL11,17.109522
NL12,16.995325
EL64,24.702051
EL65,25.067316
ES11,18.227625
ES12,17.210169
ES13,17.982447
ES21,18.717188
ES22,20.013147
ES23,19.268915
ES24,21.866388
ES30,23.652826
IE05,15.008387
IE06,15.144342
IS00,8.725977
ITC3,21.15307
FI19,16.004572
FI1B,16.66656
FI1C,16.692896
DEA1,18.065027
DEA2,17.353907
DEA3,17.883112
DEA4,17.466913
DEA5,17.001154
DEB1,17.486994
DEB2,17.070398
DEB3,18.84994
DEC0,18.170343
DED2,18.141901
DED4,17.19848
DED5,18.766138
DEE0,18.237543
DEF0,17.188593
DEG0,17.343622
DK01,17.077814
DK02,17.237146
DK03,16.71081
DK04,16.409723
ES41,20.176874
ES42,24.287683
HU23,21.626978
HU31,21.225214
HU32,22.208948
HU33,22.227533
IE04,14.711908
EE00,17.17193
EL30,26.355585
EL41,24.780695
EL43,25.159021
EL51,23.93838
EL52,24.774866
FI20,15.914576
FR10,18.819818
FRB0,19.384546
FRC1,19.596308
FRC2,18.870111
FRD1,17.400751
FRD2,17.562647
FRE1,17.471796
FRE2,17.912592
FRF1,18.90011
NL13,17.20968
NL21,17.497858
NL22,17.650202
NL23,17.36181
NL31,17.467524
NL32,17.108881
ITG2,23.949427
ITH1,12.232904
ITH2,15.598719
FRI3,19.946558
FRJ1,20.453089
FRJ2,19.540277
FRK1,18.243464
FRK2,18.1477
FRL0,19.879389
FRM0,22.76443
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,25.978144
TR32,25.754877
TR33,23.326258
HR03,22.512506
HR02,21.84353
HU11,21.668024
HU12,21.565607
HU21,21.24801
HU22,21.184626
PT16,21.397638
PT17,21.025324
FRF2,18.587488
FRF3,18.448969
FRG0,18.803247
FRH0,17.281885
FRI1,20.574457
FRI2,18.926874
ITC4,20.333704
ITF1,21.550867
ITF2,22.501001
ITF3,23.067408
ITF4,25.222895
ITF5,23.78811
ITF6,23.877222
ITG1,24.745386
LT01,17.684992
LT02,17.574854
LU00,17.04223
PL22,18.312586
PL41,18.629236
PL42,17.825891
PT18,23.52334
PT20,-273.15
PT30,-273.15
RO11,19.249384
RO12,18.000635
RO21,19.60232
RO22,22.687555
RO31,22.386255
RO32,23.523737
ITH3,20.906275
ITH4,19.772516
ITH5,23.182642
ITI1,22.629908
ITI2,22.199152
ITI3,22.913507
ITI4,22.542902
LI00,14.902185
FI1D,14.625086
TR82,20.531214
TR83,20.957758
TR90,18.231379
TRA1,17.813562
TRA2,15.860376
PL43,18.884577
PL51,18.163904
PL52,18.708918
PL61,18.091486
PL62,17.773737
PL63,17.40658
PL71,18.658655
PL72,18.787073
PL81,18.867792
PL82,18.508387
PL84,18.122705
PL91,18.632624
PL92,18.451288
PT11,20.24035
PT15,22.494745
TRB1,23.421259
TRB2,21.596827
TRC1,27.830835
RS12,22.777948
RS21,20.672663
RS22,21.366846
SE11,16.548609
SE12,16.602625
NL33,17.485254
NL34,17.780176
NL41,17.886469
NL42,18.015009
PL21,17.83291
UKM6,13.035791
TR22,24.066675
TRC2,30.03982
TRC3,30.270716
UKC1,14.714289
UKC2,14.514429
UKD1,14.439661
UKD3,15.224054
UKD4,15.052607
UKD6,15.718439
UKD7,15.833857
UKE1,15.881464
UKE2,14.94372
UKE3,15.810877
RO41,22.110987
RO42,20.439722
RS11,22.952631
TR41,22.763544
TR42,21.470057
TR51,22.917475
TR52,23.138666
TR61,23.70257
TR62,24.231104
TR63,24.675135
TR71,23.106867
TR72,20.199213
TR81,20.565638
UKK1,16.413172
UKK2,16.337091
UKK3,16.094385
UKK4,15.927698
UKL1,15.252832
UKL2,15.232782
UKM5,13.395136
UKM7,13.620813
UKM8,14.27273
UKM9,14.154139
UKN0,14.514734
SE21,16.419
SE22,16.609522
SE23,16.457575
SE31,15.4352665
SE32,13.69372
SE33,13.048304
SI03,19.882685
SI04,19.617823
SK01,20.879938
SK02,20.071924
SK03,17.696314
SK04,18.403772
TR10,23.994226
TR21,24.346064
UKE4,15.169916
UKF1,15.898645
UKF2,16.485712
UKF3,16.52334
UKG1,16.10763
UKG2,15.581507
UKG3,16.190424
UKH1,16.738337
UKH2,16.855738
UKH3,17.10821
UKI3,17.080072
UKI4,17.080072
UKI5,17.046991
UKI6,17.028986
UKI7,16.919031
UKJ1,16.572748
UKJ2,16.86886
UKJ3,16.741846
UKJ4,17.158716
NO09,14.072748
NO0A,12.36529
NO0B,4.8254333
HR05,21.9555
HR06,21.590326
NO02,12.522577
NO06,12.576197
NO07,11.244501
NO08,14.219233
