nuts,May Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,14.435877
DE60,14.155207
DE71,14.793665
DE72,13.870996
DE73,13.663904
DE80,14.150293
DE91,14.184656
BG41,15.915522
BG42,17.117426
CH01,9.019922
AT32,9.869654
AT33,8.116388
AT34,9.567347
BE10,14.727106
BE23,14.585413
BE24,14.733606
BE25,14.196924
BE31,14.444757
BE32,14.326654
BE33,13.6922245
BE34,13.642908
BE35,13.978601
BG31,18.81695
BG32,18.768549
BG33,17.83996
BG34,17.953577
DE92,14.554468
DE93,14.590326
DE94,14.251764
CZ07,14.820307
CZ08,14.586267
AL01,16.92904
AL02,17.692896
AL03,17.726862
AT11,16.726831
AT12,15.324701
AT13,16.66479
AT21,11.963007
AT22,13.128748
AT31,14.083277
DK05,12.777704
BE21,14.912378
BE22,14.828424
ES43,18.999994
ES51,16.336206
ES52,18.225885
ES53,19.259089
ES61,19.636774
ES62,19.281305
ES63,18.65011
ES64,21.099298
CH02,11.410913
CH03,14.55224
CH04,14.229334
CH05,9.286829
CH06,10.285486
CH07,11.484613
CY00,22.653559
CZ01,15.320948
CZ02,14.884821
CZ03,14.11471
CZ04,13.850855
CZ05,14.287165
CZ06,15.363947
DE40,15.331751
EL53,16.914606
EL54,17.67489
EL61,19.284784
EL62,19.91833
EL63,19.126795
ES70,19.42431
ITC1,13.544611
ITC2,7.31521
DE11,14.594446
DE12,14.938349
DE13,14.501642
DE14,14.018244
DE21,14.12063
DE22,15.011621
DE23,14.426477
DE24,14.0437565
DE25,14.744867
DE26,14.525476
DE27,13.422571
DE30,15.542322
EL42,20.432398
LV00,13.75979
ME00,15.424158
MK00,17.068048
MT00,19.919977
NL11,13.793573
NL12,13.299799
EL64,19.745264
EL65,19.944818
ES11,14.290247
ES12,13.258417
ES13,13.912867
ES21,14.70315
ES22,15.392786
ES23,14.271082
ES24,16.117243
ES30,16.836206
IE05,12.27334
IE06,12.261896
IS00,5.501123
ITC3,16.443567
FI19,12.027399
FI1B,11.935114
FI1C,12.295343
DEA1,15.018824
DEA2,14.165461
DEA3,14.888086
DEA4,14.327967
DEA5,13.849817
DEB1,14.046808
DEB2,13.663446
DEB3,15.102167
DEC0,14.534571
DED2,14.801996
DED4,13.829706
DED5,15.315027
DEE0,14.915247
DEF0,13.640955
DEG0,13.873621
DK01,12.603601
DK02,13.085169
DK03,13.084375
DK04,12.927698
ES41,14.537561
ES42,17.629358
HU23,18.175348
HU31,17.712427
HU32,18.625086
HU33,18.663935
IE04,12.063227
EE00,12.764246
EL30,21.15243
EL41,20.162683
EL43,20.6401
EL51,18.724665
EL52,19.645594
FI20,9.5646
FR10,15.034754
FRB0,15.369654
FRC1,15.474543
FRC2,14.944635
FRD1,13.972193
FRD2,14.0469
FRE1,14.110865
FRE2,14.520533
FRF1,15.018274
NL13,14.185297
NL21,14.5290165
NL22,14.733698
NL23,14.246454
NL31,14.436609
NL32,13.480249
ITG2,18.590906
ITH1,8.113489
ITH2,11.7981205
FRI3,15.9934635
FRJ1,15.613245
FRJ2,15.014887
FRK1,14.007227
FRK2,13.4448185
FRL0,14.984552
FRM0,17.662165
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,20.893885
TR32,20.378412
TR33,18.350245
HR03,17.776545
HR02,18.172663
HU11,18.133204
HU12,18.050043
HU21,17.776941
HU22,17.669336
PT16,17.056879
PT17,17.75976
FRF2,14.918451
FRF3,14.688379
FRG0,15.232965
FRH0,14.097742
FRI1,16.459925
FRI2,14.817804
ITC4,15.702417
ITF1,16.544092
ITF2,17.444666
ITF3,17.920862
ITF4,19.828882
ITF5,18.39773
ITF6,18.653315
ITG1,19.52807
LT01,14.811029
LT02,14.38238
LU00,13.702204
PL22,15.1878605
PL41,15.436274
PL42,14.454706
PT18,19.027918
PT20,-273.15
PT30,-273.15
RO11,16.132776
RO12,14.854914
RO21,16.329187
RO22,18.273981
RO31,18.393549
RO32,19.569666
ITH3,16.473108
ITH4,15.716272
ITH5,18.280756
ITI1,17.547998
ITI2,16.896418
ITI3,17.849176
ITI4,17.297571
LI00,11.694696
FI1D,10.255823
TR82,15.67898
TR83,16.267145
TR90,13.846247
TRA1,12.693079
TRA2,10.952478
PL43,15.629633
PL51,14.93191
PL52,15.508509
PL61,14.967096
PL62,14.610956
PL63,13.803186
PL71,15.571039
PL72,15.689722
PL81,15.845942
PL82,15.455927
PL84,15.147669
PL91,15.672602
PL92,15.457239
PT11,15.680933
PT15,18.843103
TRB1,17.013514
TRB2,14.9882145
TRC1,21.553522
RS12,19.26739
RS21,17.109247
RS22,17.528559
SE11,11.420099
SE12,12.557154
NL33,14.169489
NL34,14.457483
NL41,14.903162
NL42,14.975061
PL21,14.819971
UKM6,10.357447
TR22,19.003138
TRC2,22.91076
TRC3,23.119379
UKC1,11.424524
UKC2,11.296076
UKD1,11.43078
UKD3,12.299494
UKD4,12.086756
UKD6,12.750635
UKD7,12.833094
UKE1,12.3806095
UKE2,11.638361
UKE3,12.4873905
RO41,18.161127
RO42,17.065607
RS11,19.371058
TR41,18.0393
TR42,16.703394
TR51,17.8576
TR52,18.009882
TR61,18.454523
TR62,19.240229
TR63,19.750574
TR71,18.037012
TR72,15.37005
TR81,15.881556
UKK1,13.244165
UKK2,13.178553
UKK3,12.943872
UKK4,12.820032
UKL1,12.40539
UKL2,12.211359
UKM5,10.376795
UKM7,10.7477665
UKM8,11.494074
UKM9,11.257288
UKN0,11.728296
SE21,12.3866825
SE22,12.647699
SE23,12.844263
SE31,11.962793
SE32,10.083002
SE33,8.359217
SI03,16.273615
SI04,15.657373
SK01,17.147852
SK02,16.563105
SK03,14.544672
SK04,15.244379
TR10,18.28042
TR21,18.900202
UKE4,11.996607
UKF1,12.580896
UKF2,13.052698
UKF3,12.91012
UKG1,12.888086
UKG2,12.474512
UKG3,12.981897
UKH1,12.921717
UKH2,13.419458
UKH3,13.337305
UKI3,13.727228
UKI4,13.727228
UKI5,13.683527
UKI6,13.698572
UKI7,13.580561
UKJ1,13.270533
UKJ2,13.384668
UKJ3,13.469934
UKJ4,13.405909
NO09,10.372828
NO0A,8.631342
NO0B,2.3600707
HR05,18.081842
HR06,17.898401
NO02,8.942194
NO06,9.552118
NO07,7.185785
NO08,10.500574
