nuts,June Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,16.781488
DE60,16.618677
DE71,17.889215
DE72,16.816431
DE73,16.564661
DE80,16.945032
DE91,16.826685
BG41,19.76681
BG42,21.276514
CH01,13.329523
AT32,13.90539
AT33,12.136774
AT34,13.393549
BE10,17.078669
BE23,16.890345
BE24,17.14184
BE25,16.600306
BE31,16.866205
BE32,16.71383
BE33,16.269342
BE34,16.271387
BE35,16.502405
BG31,22.499018
BG32,22.660883
BG33,22.194971
BG34,22.327234
DE92,17.073542
DE93,17.058588
DE94,16.666315
CZ07,18.010248
CZ08,17.675196
AL01,20.810205
AL02,21.706903
AL03,21.908655
AT11,20.350702
AT12,18.738153
AT13,20.213343
AT21,15.632654
AT22,16.463984
AT31,17.316156
DK05,15.611139
BE21,17.243402
BE22,17.311152
ES43,24.56701
ES51,20.773127
ES52,22.663294
ES53,23.037348
ES61,24.189264
ES62,23.69082
ES63,21.148249
ES64,24.671442
CH02,15.34762
CH03,18.026209
CH04,17.796106
CH05,13.402826
CH06,14.497034
CH07,15.709467
CY00,26.534021
CZ01,18.60995
CZ02,18.08761
CZ03,17.24856
CZ04,16.9479
CZ05,17.350306
CZ06,18.700098
DE40,18.150354
EL53,21.432856
EL54,21.965113
EL61,23.949305
EL62,23.525476
EL63,23.363276
ES70,20.714624
ITC1,17.846735
ITC2,11.99914
DE11,17.839289
DE12,18.147943
DE13,17.898859
DE14,17.420984
DE21,17.396357
DE22,18.130518
DE23,17.554438
DE24,17.091486
DE25,17.882105
DE26,17.6383
DE27,16.847681
DE30,18.341578
EL42,24.123438
LV00,17.029718
ME00,19.142878
MK00,21.240015
MT00,23.526117
NL11,16.167841
NL12,15.738459
EL64,24.340784
EL65,24.3117
ES11,18.032953
ES12,16.64651
ES13,17.196924
ES21,17.82287
ES22,19.278986
ES23,18.39248
ES24,20.898584
ES30,22.665094
IE05,14.774775
IE06,14.812006
IS00,8.886194
ITC3,20.149073
FI19,15.776026
FI1B,15.959589
FI1C,16.282038
DEA1,17.48968
DEA2,16.799738
DEA3,17.356897
DEA4,16.912409
DEA5,16.490168
DEB1,16.942194
DEB2,16.497156
DEB3,18.220789
DEC0,17.531855
DED2,17.847559
DED4,16.769342
DED5,18.307703
DEE0,17.698359
DEF0,16.23849
DEG0,16.850672
DK01,16.310572
DK02,16.342768
DK03,15.7529545
DK04,15.522303
ES41,19.559748
ES42,23.195063
HU23,21.663294
HU31,21.125513
HU32,22.0357
HU33,22.052515
IE04,14.319269
EE00,16.612085
EL30,25.677637
EL41,24.424128
EL43,24.608637
EL51,23.23733
EL52,24.19845
FI20,14.221857
FR10,17.941431
FRB0,18.614557
FRC1,18.737574
FRC2,18.260706
FRD1,16.754755
FRD2,16.731562
FRE1,16.471735
FRE2,17.040216
FRF1,18.339441
NL13,16.43551
NL21,16.809229
NL22,17.03573
NL23,16.440577
NL31,16.644983
NL32,15.812189
ITG2,22.617273
ITH1,12.261133
ITH2,15.665949
FRI3,19.531336
FRJ1,19.61944
FRJ2,18.802729
FRK1,17.436243
FRK2,17.355188
FRL0,19.058466
FRM0,21.379236
FRY1,-273.15
FRY2,-273.15
FRY3,-273.15
FRY4,-273.15
FRY5,-273.15
TR31,25.52627
TR32,25.037348
TR33,22.715815
HR03,21.738947
HR02,21.645716
HU11,21.575861
HU12,21.427149
HU21,21.27633
HU22,21.297205
PT16,21.207453
PT17,20.847437
FRF2,17.796778
FRF3,17.758326
FRG0,18.46673
FRH0,16.96499
FRI1,20.09759
FRI2,18.249384
ITC4,19.948053
ITF1,20.573755
ITF2,21.618586
ITF3,21.91479
ITF4,24.22024
ITF5,22.899775
ITF6,22.802454
ITG1,23.493158
LT01,17.609583
LT02,17.37356
LU00,16.436945
PL22,18.195978
PL41,18.431452
PL42,17.26803
PT18,23.275812
PT20,-273.15
PT30,-273.15
RO11,19.255793
RO12,18.001123
RO21,19.773188
RO22,22.505884
RO31,22.246485
RO32,23.475153
ITH3,20.57989
ITH4,19.645472
ITH5,22.521051
ITI1,21.616327
ITI2,21.071222
ITI3,21.943476
ITI4,21.345362
LI00,15.081293
FI1D,14.702631
TR82,19.670465
TR83,20.128809
TR90,17.576868
TRA1,17.053339
TRA2,15.438807
PL43,18.608728
PL51,17.925196
PL52,18.528345
PL61,17.860987
PL62,17.546564
PL63,16.866816
PL71,18.528467
PL72,18.692652
PL81,18.804071
PL82,18.507746
PL84,17.984919
PL91,18.608454
PL92,18.394007
PT11,20.106836
PT15,22.02682
TRB1,22.433344
TRB2,20.600458
TRC1,26.988306
RS12,22.555597
RS21,20.316431
RS22,21.001612
SE11,15.60589
SE12,16.175226
NL33,16.42364
NL34,16.776789
NL41,17.208612
NL42,17.416315
PL21,17.847559
UKM6,12.585688
TR22,23.65771
TRC2,28.973505
TRC3,29.18545
UKC1,13.855585
UKC2,13.730341
UKD1,13.804621
UKD3,14.626795
UKD4,14.414576
UKD6,15.106958
UKD7,15.179407
UKE1,14.831324
UKE2,14.082575
UKE3,14.998529
RO41,21.860712
RO42,20.226496
RS11,22.648767
TR41,22.307917
TR42,20.86831
TR51,22.224237
TR52,22.4461
TR61,22.976374
TR62,23.53753
TR63,24.062464
TR71,22.36181
TR72,19.588556
TR81,19.978815
UKK1,15.904749
UKK2,15.829584
UKK3,15.599604
UKK4,15.493647
UKL1,14.738306
UKL2,14.7279
UKM5,12.713709
UKM7,13.0932255
UKM8,13.891169
UKM9,13.581202
UKN0,14.076654
SE21,15.75683
SE22,15.884943
SE23,15.928217
SE31,15.077539
SE32,13.976374
SE33,13.240259
SI03,19.875208
SI04,19.516779
SK01,20.70724
SK02,19.98382
SK03,17.66958
SK04,18.454554
TR10,23.20083
TR21,23.802362
UKE4,14.441675
UKF1,15.117029
UKF2,15.666529
UKF3,15.475702
UKG1,15.485834
UKG2,14.958857
UKG3,15.559229
UKH1,15.525782
UKH2,16.0422
UKH3,16.0357
UKI3,16.457727
UKI4,16.457727
UKI5,16.308191
UKI6,16.310083
UKI7,16.257502
UKJ1,15.921595
UKJ2,15.971827
UKJ3,16.10415
UKJ4,16.063684
NO09,13.839746
NO0A,12.0689335
NO0B,4.4881835
HR05,21.874506
HR06,21.59704
NO02,12.693018
NO06,12.8475895
NO07,11.520441
NO08,13.896387
