nuts,February Mean Temperature (°C) ensemble median - RCP4.5 - (2071 - 2100)
DE50,3.433618
DE60,3.0839477
DE71,3.0000548
DE72,2.2876525
DE73,2.10885
DE80,2.5891662
DE91,2.4651122
BG41,2.552545
BG42,3.8950133
CH01,-2.6617494
AT32,-2.914435
AT33,-4.591986
AT34,-3.0400147
BE10,4.7992797
BE23,5.0355773
BE24,4.7134643
BE25,5.420648
BE31,4.5075316
BE32,4.647424
BE33,3.1934142
BE34,2.931726
BE35,3.7791076
BG31,3.497766
BG32,3.6855102
BG33,4.1474853
BG34,4.9874816
DE92,3.2092528
DE93,3.1585937
DE94,3.753015
CZ07,1.2226502
CZ08,1.0283448
AL01,5.264734
AL02,6.6078734
AL03,7.227197
AT11,2.7014403
AT12,1.7965943
AT13,2.827722
AT21,-1.6207641
AT22,-0.6821655
AT31,0.82991946
DK05,3.36593
BE21,4.7997985
BE22,4.4496703
ES43,9.949579
ES51,7.5030456
ES52,10.151728
ES53,13.374842
ES61,10.992884
ES62,11.0655155
ES63,14.546564
ES64,14.865412
CH02,-0.13046876
CH03,3.142877
CH04,2.6186461
CH05,-3.1379762
CH06,-1.261969
CH07,-0.717749
CY00,14.3424015
CZ01,2.349237
CZ02,1.8324829
CZ03,1.0134522
CZ04,0.92870486
CZ05,0.9942261
CZ06,1.7953125
DE40,2.6994567
EL53,4.4999022
EL54,7.215387
EL61,8.582605
EL62,13.02273
EL63,9.695612
ES70,17.924616
ITC1,1.8156983
ITC2,-4.775
DE11,2.4464965
DE12,2.969995
DE13,2.800836
DE14,1.9840332
DE21,1.3703552
DE22,2.0119262
DE23,1.5472046
DE24,1.5154663
DE25,2.200189
DE26,2.3765197
DE27,1.0794922
DE30,2.7453246
EL42,14.344019
LV00,-1.2693847
ME00,3.568811
MK00,4.010614
MT00,15.199823
NL11,3.9451232
NL12,4.707971
EL64,9.468012
EL65,10.771723
ES11,8.697687
ES12,7.747705
ES13,7.9656005
ES21,8.369684
ES22,6.993646
ES23,6.1578307
ES24,6.5993285
ES30,6.9694457
IE05,6.950525
IE06,6.3609557
IS00,0.51494753
ITC3,7.0997252
FI19,-3.838324
FI1B,-2.7208314
FI1C,-3.3430848
DEA1,4.322931
DEA2,3.3271117
DEA3,3.9722228
DEA4,3.1690612
DEA5,2.6839232
DEB1,2.718164
DEB2,2.5100036
DEB3,3.422113
DEC0,3.212335
DED2,2.209741
DED4,1.3190857
DED5,2.8696227
DEE0,2.6797729
DEF0,3.109796
DEG0,1.8243958
DK01,2.8429198
DK02,3.0248046
DK03,3.0812926
DK04,3.0305724
ES41,6.130029
ES42,7.7737365
HU23,3.5989623
HU31,2.7068114
HU32,3.1130004
HU33,3.5521483
IE04,6.6430297
EE00,-1.8016113
EL30,12.204798
EL41,12.49209
EL43,13.4057865
EL51,6.838342
EL52,7.829828
FI20,0.14504394
FR10,5.133905
FRB0,5.632623
FRC1,4.912866
FRC2,3.8292174
FRD1,6.3655944
FRD2,5.55224
FRE1,5.1844115
FRE2,4.940271
FRF1,3.4383483
NL13,3.8626342
NL21,4.0574584
NL22,4.320398
NL23,4.4734435
NL31,4.49917
NL32,5.111322
ITG2,10.816126
